Original,Spanish,French,German,Italian,Portuguese,Index
"A repeating pattern of Elvis Presley's Face and the word ""Elvis"" in bold, colorful letters, in the style of Andy Warhol's ""Elvis"" series","Un patrón repetido de la cara de Elvis Presley y la palabra ""Elvis"" en letras **negritas**, de colores vibrantes, en estilo de la serie ""Elvis"" de Andy Warhol","Un motif répétitif de la figure d'Elvis Presley et du mot ""Elvis"" en lettres colorées et en gras, dans le style de la série ""Elvis"" d'Andy Warhol","Ein wiederholtes Muster von Elvis Presleys Gesicht und dem Wort ""Elvis"" in **fett**, farbenfrohen Buchstaben, im Stil von Andy Warhols ""Elvis""-Serie.","Un pattern ripetitivo del volto di Elvis Presley e la parola ""Elvis"" in lettere colorate e grasse, nel stile della serie di Andy Warhol ""Elvis""","Um padrão repetitivo da face de Elvis Presley e a palavra ""Elvis"" em letras coloridas e em negrito, no estilo da série ""Elvis"" de Andy Warhol",1824
"A still life of a collection of vintage cameras, in a cluttered, graphic style.","Un bodegón de una colección de cámaras antiguas, en un estilo gráfico y desordenado.","Un tableau de nature morte d'une collection de vieilles caméras, dans un style graphique encombré.","Ein Stillleben aus einer Sammlung von antiken Kameras, in einem überfüllten, graphischen Stil.","Un still life di una collezione di macchine fotografiche d'epoca, in uno stile grafico affollato.","Um still life de uma coleção de câmeras vintage, em um estilo gráfico apinhado.",409
"A silkscreened image of a serene, peaceful meadow in a repeating pattern of flowers.",Una imagen de serigrafía de un prado sereno y pacífico en un patrón repetido de flores.,Une image silkscreenée d'un pré paisible et calme dans un motif de fleurs répété.,"Eine mit Silberschirm gedruckte Abbildung eines ruhigen, friedlichen Wiesenlandschafts in einem wiederholenden Muster von Blumen.",Un'immagine a schermo a seta di un prato sereno e pacifico in un pattern ripetuto di fiori.,Uma imagem de silkscreen de um campo sereno e pacífico em um padrão repetido de flores.,4506
"A series of Campbell's Soup Cans, each one a different color and texture, in the style of Andy Warhol","Una serie de latas de sopa Campbell, cada una de un color y textura diferente, en el estilo de Andy Warhol.","Une série de boîtes de soupes Campbell, chacune d'une couleur et d'une texture différentes, dans le style d'Andy Warhol.","Eine Serie von Campbell's-Suppen-Dosen, jede mit einer anderen Farbe und Textur, im Stil von Andy Warhol","Una serie di scatole di minestra Campbell, ciascuna di un colore e di un tessuto diverso, ispirata allo stile di Andy Warhol","Uma série de latas de sopa Campbell, cada uma de um diferente cor e textura, no estilo de Andy Warhol.",4012
"A cityscape at dawn, with a highway system and towering skyscrapers, in the style of a Warhol silkscreen print.","Un paisaje urbano al amanecer, con un sistema de autopistas y rascacielos, en el estilo de una impresión de silkscreen de Warhol.","Un paysage urbain à l'aube, avec un système d'autoroutes et des gratte-ciel imposants, dans le style d'une impression à écran de Warhol.","Ein Stadtpanorama am Morgen, mit einem Autobahnnetz und imposanten Wolkenkratzern, im Stil eines Warhol-Silkscreen-Drucks.","Un paesaggio urbano all'alba, con un sistema di autostrade e grattacieli imponenti, nello stile di una stampa a schermo di Warhol.","Um cenário urbano ao amanhecer, com um sistema rodoviário e arranha-céus gigantes, no estilo de uma impressão em seda de Warhol.",3657
A landscape of a vast desert with a few cacti and a distant horizon in the style of Andy Warhol's pop art.,Un paisaje de un vasto desierto con unos pocos cactus y un horizonte distante en el estilo del pop art de Andy Warhol.,Un paysage d'un désert vaste avec quelques cactus et un horizon lointain dans le style de l'art pop d'Andy Warhol.,Ein Landschaftsbild eines weiten Wüstenlandschafts mit wenigen Kakteen und einem entfernten Horizont im Stil von Andy Warhols Pop-Art.,Un paesaggio di un deserto vasto con pochi cactus e un orizzonte lontano nello stile dell'arte pop di Andy Warhol.,Um cenário de um vasto deserto com poucos cactos e um horizonte distante no estilo da arte pop de Andy Warhol.,2286
"A still life of a vintage record player and a vinyl record, in a bold, graphic color scheme, in the style of Andy Warhol.","Un cuadro de arte de bodegón de un reproductor de discos de vinilo vintage y un disco de vinilo, en un esquema de color gráfico audaz, en el estilo de Andy Warhol.","Un paysage still d'un tourne-disque vintage et d'un disque vinyle, dans un schéma de couleur graphique audacieux, dans le style d'Andy Warhol.","Ein Stillleben eines Vintage-Schallplattenspielers und einer Vinyl-Schallplatte, in einem bolden, graphischen Farbschema, im Stil von Andy Warhol.","Un still life di un giradischi vintage e un disco in vinile, in uno schema di colore grafico e audace, nello stile di Andy Warhol.","Uma still life de um gravador de vinil vintage e um disco de vinil, em um esquema de cores gráfico ousado, no estilo de Andy Warhol.",1679
"A series of identical, colorful images of a can of Planters peanuts, in the style of Andy Warhol's repetitive, pop art motifs.","Una serie de imágenes idénticas y coloreadas de una lata de cacahuetes Planters, en el estilo de los motivos de arte pop repetitivos de Andy Warhol.","Une série d'images identiques et colorées d'une boîte de cacahouètes Planters, dans le style des motifs d'art pop répétitifs d'Andy Warhol.","Eine Reihe von identischen, farbenfrohen Bildern einer Dose Planters Erdnuss, im Stil von Andy Warhols wiederholten, pop-artistischen Motiven.","Una serie di immagini identiche e colorate di una scatola di noci Planters, stilizzate secondo i motivi ripetitivi dell'arte pop di Andy Warhol.","Uma série de imagens idênticas e coloridas de uma lata de amendoins Planters, no estilo dos motivos repetitivos da arte pop de Andy Warhol.",8935
A Marilyn Monroe's Face in a pop art explosion of color and light,La cara de Marilyn Monroe en una explosión de arte pop de color y luz.,Un visage de Marilyn Monroe dans une explosion d'art pop de couleur et de lumière.,Ein Marilyn Monroe-Gesicht in einem Pop-Art-Explosion von Farbe und Licht,Un volto di Marilyn Monroe in un'esplosione di pop art di colore e luce.,O Rosto de Marilyn Monroe em uma explosão de arte pop de cores e luz.,1424
"A montage of Elizabeth Taylor's face, made up of small, repeating images, in the style of Warhol's celebrity portraits.","Un montaje de la cara de Elizabeth Taylor, compuesto de pequeñas imágenes que se repiten, en estilo de las retratos de celebridades de Warhol.","Un montage de la face d'Elizabeth Taylor, composé de petites images répétitives, dans le style des portraits de célébrités de Warhol.","Ein Montage des Gesichts von Elizabeth Taylor, bestehend aus kleinen, wiederholenden Bildern, im Stil von Warhols Celebrity-Porträts.","Un montaggio del volto di Elizabeth Taylor, composto da piccole immagini ripetitive, nello stile dei ritratti di celebrità di Warhol.","Uma montagem da face de Elizabeth Taylor, feita de pequenas imagens repetidas, no estilo das retratações de celebridades de Warhol.",9674
