Original,Spanish,French,German,Italian,Portuguese,Index
"A family of travelers, in the style of Auguste Renoir, resting and enjoying a meal together at a mountain inn.","Una familia de viajeros, al estilo de Auguste Renoir, descansando y disfrutando de una comida juntos en una posada de montaña.","Une famille de voyageurs, à l'inspiration d'Auguste Renoir, se reposant et s'amusant à prendre un repas ensemble dans un auberge de montagne.","Eine Familie von Reisenden, im Stil von Auguste Renoir, rastet und genießt ein gemeinsames Mahl in einem Berggasthof.","Una famiglia di viaggiatori, al modo di Auguste Renoir, riposando e godendosi un pasto insieme in un albergo di montagna.","Uma família de viajantes, no estilo de Auguste Renoir, descansando e desfrutando de uma refeição juntos em uma pensão de montanha.",1824
A group of children playfully chase each other through a lush meadow in an Auguste Renoir-inspired scene.,Un grupo de niños persiguen juguetonamente el uno al otro a través de un prado verdejante en una escena inspirada en Auguste Renoir.,Un groupe d'enfants se poursuit joyeusement les uns les autres à travers un prairie verte en une scène inspirée d'Auguste Renoir.,"Ein Gruppe von Kindern jagt sich spielerisch durch eine üppige Wiese in einer Szene, die von Auguste Renoir inspiriert ist.",Un gruppo di bambini si dà la caccia l'un l'altro con gioia attraverso un prato rigoglioso in una scena ispirata a Auguste Renoir.,Um grupo de crianças brincam em perseguição umas às outras através de uma pradaria luxuriante em cena inspirada no estilo de Auguste Renoir.,409
"A young woman, Auguste Renoir style, sitting on a riverbank, her feet dangling in the water as she gazes out at the serene landscape.","Una joven mujer, a la manera de Auguste Renoir, sentada en la orilla de un río, con los pies colgando en el agua mientras contempla el paisaje sereno.","Une jeune femme, à la manière d'Auguste Renoir, assise sur une rive, les pieds ballants dans l'eau tandis qu'elle contemple le paysage paisible.","Eine junge Frau, im Stil von Auguste Renoir, sitzt auf einer Flussuferbank, ihre Füße baumeln im Wasser, während sie sich auf das ruhige Landschaftsbild konzentriert.","Una giovane donna, stile Auguste Renoir, seduta sulla riva di un fiume, i piedi che penzolano nell'acqua mentre guarda la serena paesaggistica.","Uma jovem mulher, no estilo de Auguste Renoir, sentada em uma margem de rio, seus pés balançando na água enquanto ela olha para a paisagem serena.",4506
"A charming French market scene, with vendors selling an array of colorful flowers, including roses and daisies, in the style of Auguste Renoir's vibrant market paintings.","Un encantador escenario de mercado francés, con vendedores que venden una variedad de flores coloreadas, incluyendo rosas y margaritas, en el estilo de las pinturas de mercado vibrantes de Auguste Renoir.","Une scène de marché charmante à la française, avec des vendeurs vendant une variété de fleurs colorées, notamment des roses et des marguerites, dans le style des peintures de marché vibrantes d'Auguste Renoir.","Ein charmantes französisches Marktgemälde, mit Verkäufern, die eine Vielzahl farbenfroher Blumen, einschließlich Rosen und Margeriten, in der Art von Auguste Renoirs lebhaften Marktgemälden anbieten.","Una scena di mercato francese affascinante, con venditori che vendono un'ampia gamma di fiori colorati, tra cui rose e margherite, nello stile delle vibranti pitture di mercato di Auguste Renoir.","Cena de mercado francês encantadora, com vendedores vendendo uma variedade de flores coloridas, incluindo rosas e margaridas, no estilo das pinturas de mercado vibrantes de Auguste Renoir.",4012
"In the style of Auguste Renoir, a beautiful woman sits on a bench overlooking a serene lake, surrounded by lush greenery and vibrant wildflowers.","En estilo de Auguste Renoir, una mujer hermosa se sienta en un banco mirando un lago sereno, rodeada de exuberante vegetación y vibrantes flores silvestres.","Comme Auguste Renoir, une belle femme s'assied sur un banc dominant un lac paisible, entourée de verdure luxuriante et de fleurs sauvages vibrantes.","In der Manier von Auguste Renoir sitzt eine schöne Frau auf einer Bank, die einen stillen See überblickt, umgeben von dichtem Grün und lebhaften Wildblumen.","In stile di Auguste Renoir, una donna bella si siede su un banco che affronta uno specchio d'acqua sereno, circondata da vegetazione rigogliosa e fiori selvatici vibranti.","Em estilo de Auguste Renoir, uma mulher bonita senta-se em uma bancada olhando para um lago sereno, cercada por vegetação verdejante e flores selvagens vibrantes.",3657
"A sun-drenched garden in the Auguste Renoir style, with vibrant flowers and a lazy cat lounging in the foreground.","Un jardín soleado en estilo Auguste Renoir, con flores vibrantes y un gato perezoso reposando en primer plano.","Un jardin ensoleillé à la manière d'Auguste Renoir, avec des fleurs vives et un chat paresseux s'étirant en arrière-plan.","Ein sonnendurchflutetes Garten in Stil von Auguste Renoir, mit lebhaften Blumen und einem faulen Kater, der sich im Vordergrund ausstreckt.","Un giardino a fiore all'aperto, stile Auguste Renoir, con fiori vibranti e un gatto pigro che si rilassa in primo piano.","Um jardim banhado de sol, no estilo Auguste Renoir, com flores vibrantes e um gato preguiçoso deitado na frente.",2286
"A young girl in a blue dress, picking wildflowers by the river's bend, surrounded by the vibrant colors and soft light of an Auguste Renoir painting.","Una niña joven vestida de azul, recogiendo flores silvestres en la curva del río, rodeada de los vibrantes colores y la suave luz de una pintura de Auguste Renoir.","Une jeune fille dans une robe bleue, cueillant des fleurs sauvages au virage de la rivière, entourée des couleurs vives et de la douce lumière d'une peinture d'Auguste Renoir.","Eine junge Mädchen in einem blauen Kleid, Wildblumen bei der Flussbiegung sammelnd, umgeben von den lebhaften Farben und dem weichen Licht eines Auguste Renoir Gemäldes.","Una giovane ragazza in un abito azzurro, che raccoglie fiori selvatici nel gomito del fiume, circondata dai colori vivaci e dalla luce soffice di un quadro di Auguste Renoir.","Uma menina jovem em um vestido azul, colhendo flores silvestres na curva do rio, cercada pelas cores vibrantes e luz suave de uma pintura de Auguste Renoir.",1679
A mouthwatering Auguste Renoir style depiction of a classic French bouillabaisse.,Una deliciosa representación en el estilo de Auguste Renoir de una clásica sopa francesa de pescado bouillabaisse.,Une délicieuse représentation à l'inspiration d'Auguste Renoir d'une classique bouillabaisse française.,"Ein verlockendes Gemälde im Stil von Auguste Renoir, das eine klassische französische Bouillabaisse darstellt.",Una deliziosa rappresentazione in stile Auguste Renoir di una classica bouillabaisse francese.,Uma representação deslumbrante no estilo de Auguste Renoir de uma clássica bouillabaisse francesa.,8935
"A stunning coastal landscape, reminiscent of the works of Auguste Renoir, featuring a lone figure of a woman walking along the beach at sunset.","Un paisaje costero impresionante, reminiscente de las obras de Auguste Renoir, que presenta una figura solitaria de una mujer caminando por la playa al atardecer.","Un paysage côtier éblouissant, rappelant les œuvres d'Auguste Renoir, mettant en scène une femme seule marchant sur la plage à l'heure du coucher du soleil.","Ein atemberaubendes Küstenpanorama, das an die Werke von Auguste Renoir erinnert, zeigt eine einsame Frau, die am Sonnenuntergang am Strand spaziert.","Un paesaggio costiero mozzafiato, ispirato alle opere di Auguste Renoir, che presenta una figura sola di una donna che cammina sulla spiaggia al tramonto.","Um cenário costeiro impressionante, reminiscente das obras de Auguste Renoir, apresentando uma figura sozinha de uma mulher caminhando pela praia ao entardecer.",1424
A mother and child pick fresh berries in a lush orchard under a warm Auguste Renoir style sun.,Una madre y un niño recolectan frutas frescas en un hermoso huerto bajo un cálido sol a la manera de Auguste Renoir en agosto.,Une mère et un enfant ramassent des fraises fraîches dans un verger verdoyant sous un soleil chaud à la manière d'Auguste Renoir.,"Eine Mutter und ihr Kind pflücken frische Beeren in einem dichten Garten unter einer warmen, nach Auguste Renoir stilisierenden Sonne.",Una madre e un bambino raccogliere fresche ciliegie in un rigoglioso frutteto sotto un caldo sole a stile Auguste Renoir.,Uma mãe e seu filho colhem morangos frescos em uma linda horta sob um sol quente estilo Auguste Renoir em agosto.,9674
"A beautiful young woman in a red dress, posed in a garden in the manner of Auguste Renoir, with a soft focus on her face and a bouquet of flowers in her hand.","Una joven mujer hermosa de vestido rojo, posada en un jardín a la manera de Auguste Renoir, con un enfoque suave en su rostro y un ramo de flores en su mano.","Une jeune femme belle, vêtue d'un robe rouge, posée dans un jardin à la manière d'Auguste Renoir, avec un focus doux sur son visage et un bouquet de fleurs dans sa main.","Eine schöne junge Frau in einem roten Kleid, dargestellt in einem Garten in der Manier von Auguste Renoir, mit einem weichen Fokus auf ihrem Gesicht und einem Strauß Blumen in ihrer Hand.","Una giovane donna bellissima in un abito rosso, posata in un giardino all'insù di Auguste Renoir, con un fuoco morbido sul suo viso e un mazzo di fiori in mano.","Uma jovem bela mulher de vestido vermelho, postada em um jardim à maneira de Auguste Renoir, com foco suave em seu rosto e um buquê de flores na mão.",6912
"A bustling market street in the Latin Quarter, Paris, teeming with life and color, as depicted by the master of Impressionism, Auguste Renoir.","Una calle de mercado animada en el Barrio Latino de París, bullente de vida y color, tal como la ha representado el maestro del Impresionismo, Auguste Renoir.","Une rue de marché animée du Quartier Latin, à Paris, grouillante de vie et de couleurs, telle qu'elle est dépeinte par le maître de l'Impressionnisme, Auguste Renoir.","Ein belebter Marktplatz in der Latin Quarter, Paris, wimmelt von Leben und Farbe, wie es der Meister des Impressionismus, Auguste Renoir, dargestellt hat.","Una via del mercato affollata nel Quartiere Latino a Parigi, che si riempie di vita e di colore, come descritta dal maestro dell'Impressionismo, Auguste Renoir.","Uma rua de mercado animada no Quartier Latino, Paris, repleta de vida e cores, como retratado pelo mestre do Impressionismo, Auguste Renoir.",520
"A beautiful woman sits on a bench, lost in thought, as the soft, feathery brushstrokes of Auguste Renoir's Impressionist style capture the subtleties of her expression.","Una mujer hermosa se sienta en un banco, perdida en sus pensamientos, mientras las suaves y suaves pinceladas de Auguste Renoir en estilo Impresionista capturan la sutileza de su expresión.","Une femme belle s'assoit sur un banc, perdue dans la réflexion, tandis que les pinceaux doux et plumeux de l'œuvre d'Auguste Renoir, dans son style Impressionniste, captent les nuances de son expression.","Eine schöne Frau sitzt auf einer Bank, verloren in Gedanken, während die weichen, federigen Pinselstriche von Auguste Renoir im Impressionismus die Nuancen ihrer Miene erfassen.","Una donna bella si siede su un banco, persa nei suoi pensieri, mentre i morbidi, soffici tratti del pennello di Auguste Renoir, stile Impressionista, catturano le sfumature della sua espressione.","Uma mulher bonita senta-se em uma banca, perdida em pensamentos, enquanto as suaves, macias pinceladas do estilo Impressionista de Auguste Renoir capturam as sutilezas de sua expressão.",488
"A beautifully arranged Auguste Renoir style still life of fresh grapes, lemons, and a bottle of wine on a rustic wooden table.","Un hermoso arreglo estilo Auguste Renoir de un still life con uvas frescas, limones y una botella de vino sobre una mesa de madera rústica.","Un tableau de nature morte à l'inspiration d'Auguste Renoir, où des raisins frais, des citrons et une bouteille de vin sont soigneusement disposés sur une table en bois rustique.","Ein schön arrangiertes Stillleben im Stil von Auguste Renoir mit frischen Trauben, Zitronen und einem Flaschen Wein auf einem rustikalen Holztisch.","Un bell'arrangiamento a tema di stile Auguste Renoir di un still life fresco di uva, limoni e una bottiglia di vino su una tavola in legno rustico.","Uma bela composição de estilo Auguste Renoir de natureza morta com uvas frescas, limões e uma garrafa de vinho sobre uma mesa de madeira rústica.",1535
"A delicate water lily floats on a serene pond, surrounded by lush greenery and colorful flowers, in the style of Auguste Renoir's garden scenes.","Una delicada flor de loto flota en un sereno estanque, rodeada de exuberante vegetación y flores de colores, en el estilo de los jardines de Auguste Renoir.","Une délicate nénuphar flotte sur un étang calme, entourée de verdure luxuriante et de fleurs colorées, à l'inspiration des scènes de jardin d'Auguste Renoir.","Eine zarte Wasserschnecke schwebt auf einem ruhigen Teich, umgeben von dichtem Grün und farbenfrohen Blumen, im Stil von Auguste Renoirs Gartenbildern.","Una delicata ninfea galleggia su un sereno laghetto, circondata da una folta vegetazione e fiori colorati, in stile delle scene di giardino di Auguste Renoir.","Uma delicada flor-de-água flutua em um lago sereno, cercada por luxuriantes verduras e flores coloridas, no estilo das cenas de jardim de Auguste Renoir.",3582
"A young woman in a yellow sundress, reminiscent of Auguste Renoir's portraits, strolls through a lush garden, surrounded by blooming flowers and warm sunlight.","Una joven mujer vestida con un vestido amarillo, reminiscente de los retratos de Auguste Renoir, pasea por un jardín lujurioso, rodeada de flores en flor y luz cálida del sol.","Une jeune femme vêtue d'un jupon jaune, rappelant les portraits d'Auguste Renoir, se promène dans un jardin luxuriant, entourée de fleurs en fleur et de lumière chaude.","Eine junge Frau in einem gelben Sonnenscheinrock, an Auguste Renoirs Porträts erinnernd, schlendert durch einen üppigen Garten, umgeben von blühenden Blumen und warmem Sonnenlicht.","Una giovane donna in una gonna gialla, ispirata alle ritratti di Auguste Renoir, si aggira in un giardino rigoglioso, circondata da fiori in fiore e da una luce soleggiata.","Uma jovem mulher vestindo um vestido amarelo, reminiscente das obras de Auguste Renoir, caminha por um jardim luxuriante, rodeada de flores em flor e luz solar aconchegante.",3811
"A beautiful, white swan, in the style of Auguste Renoir, gliding effortlessly across a peaceful lake.","Un hermoso cisne blanco, a la manera de Auguste Renoir, glide suavemente a través de un lago pacífico.","Un cygne blanc, d'une beauté éblouissante, dans le style d'Auguste Renoir, glisse avec aisance sur un lac paisible.","Ein schönes, weißes Schwan, im Stil von Auguste Renoir, gleitet geschmeidig über einem friedlichen See.","Un bellissimo cigno bianco, ispirato allo stile di Auguste Renoir, che si muove con facilità attraverso un lago sereno.","Uma bela cisne branco, no estilo de Auguste Renoir, deslizando suavemente sobre um lago pacífico.",8279
"A woman reading a book in a lush garden, surrounded by blooming flowers and the soft light of a summer afternoon, in the style of Auguste Renoir.","Una mujer leyendo un libro en un jardín exuberante, rodeada de flores en flor y la suave luz de una tarde de verano, en estilo de Auguste Renoir.","Une femme lisant un livre dans un jardin luxuriant, entourée de fleurs en fleur et de la douce lumière d'une après-midi d'été, dans l'esprit d'Auguste Renoir.","Eine Frau liest ein Buch in einem üppigen Garten, umgeben von blühenden Blumen und dem weichen Licht eines Sommernachmittags, im Stil von Auguste Renoir.","Una donna che legge un libro in un giardino fiorito, circondata da fiori in fiore e dalla luce soffice di un pomeriggio d'estate, ispirata allo stile di Auguste Renoir.","Uma mulher lendo um livro em um jardim luxuriante, cercada por flores em flor e a suave luz de um tarde de verão, no estilo de Auguste Renoir.",9863
A group of women in Auguste Renoir style dance and play in a vibrant park on a sunny afternoon.,Un grupo de mujeres bailan y juegan en un parque vibrante a la manera de Auguste Renoir en una tarde soleada de agosto.,Un groupe de femmes dans le style d'Auguste Renoir danse et joue dans un parc ensoleillé et vif après-midi.,Eine Gruppe von Frauen tanzt und spielt im Stil von Auguste Renoir in einem lebhaften Park am sonnigen Nachmittag.,Un gruppo di donne danzano e giocano in stile Auguste Renoir in un parco vibrante durante un pomeriggio di sole.,Um grupo de mulheres em estilo de Auguste Renoir dança e brinca em um parque vibrante em uma tarde ensolarada.,434
"A joyful and carefree depiction of children playing with a group of bubbles in a sun-drenched park, in the style of Auguste Renoir.","Una alegre y despreocupada representación de niños jugando con un grupo de burbujas en un parque bañado por el sol, en el estilo de Auguste Renoir.","Une représentation joyeuse et légère de enfants jouant avec un groupe de bulles dans un parc baigné de soleil, à l'inspiration de Auguste Renoir.","Ein fröhliches und lichtsinniges Abbild von Kindern, die mit einer Gruppe Blasen in einem von der Sonne beschienenen Park spielen, im Stil von Auguste Renoir.","Una rappresentazione allegra e disinvolta di bambini che giocano con un gruppo di bolle in un parco assolato, ispirata allo stile di Auguste Renoir.","Uma alegre e descomprometida representação de crianças brincando com um grupo de bolhas em um parque banhado pelo sol, no estilo de Auguste Renoir.",9195
