Original,Spanish,French,German,Italian,Portuguese,Index
"Buzz Lightyear stands proudly next to a sleek, high-tech spaceship.",Buzz Lightyear se encuentra orgulloso junto a un espacioplano elegante y de alta tecnología.,Buzz Lightyear se tient fièrement à côté d'une navette spatiale élégante et de haute technologie.,"Buzz Lightyear steht stolz neben einem schlanken, hochmodernen Raumschiff.",Buzz Lightyear si erge orgogliosamente accanto a un'astronave elegante e di alta tecnologia.,O Buzz Lightyear se coloca orgulhosamente ao lado de um avião espacial de alta tecnologia elegante.,1824
"A detailed, realistic drawing of Buzz Lightyear's spaceship, Star Command, in a desert landscape.","Un dibujo detallado y realista del espacio de Buzz Lightyear, Star Command, en un paisaje desértico.","Un dessin détaillé et réaliste de l'astronef de Buzz Lightyear, Star Command, dans un paysage désertique.","Ein detailliertes, realistisches Zeichnen von Buzz Lightyears Raumschiff, Star Command, in einer Wüstenlandschaft.","Un disegno dettagliato e realistico della navicella spaziale di Buzz Lightyear, Star Command, in un paesaggio desertico.","Um desenho detalhado e realista da espaçonave de Buzz Lightyear, Star Command, em um cenário de deserto.",409
"Buzz Lightyear standing proudly with his arms crossed, his facial structure set in a strong, confident pose.","Buzz Lightyear se encuentra de pie con los brazos cruzados, su estructura facial fija en una pose fuerte y confiada.","Buzz Lightyear debout avec fierté, les bras croisés, sa structure faciale figée dans une attitude forte et confiante.","Buzz Lightyear steht stolz mit verschränkten Armen, seine Gesichtszüge in einer starken, selbstbewussten Haltung.","Buzz Lightyear in piedi, con le braccia incrociate, la sua struttura facciale fissata in una posa forte e sicura.","O Buzz Lightyear em pé orgulhosamente com os braços cruzados, sua estrutura facial definida em uma pose forte e confiante.",4506
"In a crowded, bustling space market, Buzz Lightyear haggles with a vendor over the price of a rare, exotic spice.","En un espacio comercial concurrido y animado, Buzz Lightyear negocia con un vendedor el precio de una rara y exótica especia.","Dans un marché encombré et animé, Buzz Lightyear négocie avec un vendeur sur le prix d'une épice rare et exotique.","In einer überfüllten, hektischen Marktszene verhandelt Buzz Lightyear mit einem Händler über den Preis eines seltenen, exotischen Gewürzes.","In un mercato affollato e rumoroso, Buzz Lightyear negozia con un venditore il prezzo di una rara e esotica spezia.","Em um mercado apinhado e movimentado, Buzz Lightyear negocia com um vendedor sobre o preço de uma rara e exótica especiaria.",4012
Buzz Lightyear leaning against a sleek rocket ship with a gleaming metallic finish,Buzz Lightyear se apoya contra un cohete espacial elegante con una superficie metálica brillante.,Buzz Lightyear appuyé contre une fusée rocket élégante avec une finition métallique luisante.,"Buzz Lightyear lehnt sich an einem glänzenden, metallisch lackierten Raketenflugzeug ab.",Buzz Lightyear che si appoggia a un razzo spaziale liscio con un finitura metallicamente brillante,O Buzz Lightyear apoiado em uma espaçonave esportiva com uma superfície metálica brilhante.,3657
"Buzz Lightyear standing triumphantly, his arms raised in victory, with a defeated Evil Emperor Zurg robot lying at his feet.","Buzz Lightyear de pie, con los brazos levantados en triunfo, con un robot del Emperador Malvado Zurg derrotado a sus pies.","Buzz Lightyear debout victorieusement, les bras levés en triomphe, avec un robot de l'Empereur Zurg vaincu gisant à ses pieds.","Buzz Lightyear steht triumphierend, seine Arme in Siegespose erhoben, mit einem besiegt gelegenen Bösewichtsroboter Zurg am Boden liegend.","Buzz Lightyear in piedi trionfante, con le braccia sollevate in vittoria, con il robot del malvagio Imperatore Zurg sconfitto ai suoi piedi.","Buzz Lightyear, de pé triunfante, com os braços erguidos em vitória, ao lado de um robô do Imperador Zurg derrotado, caído aos seus pés.",2286
"A stunning shot of Buzz Lightyear, his space ranger suit a blur, as he flies his star command spaceship at high speed.","Una impresionante toma de Buzz Lightyear, su traje de ranger espacial desenfocado, mientras vuela su nave espacial Star Command a alta velocidad.","Une magnifique prise de vue de Buzz Lightyear, son costume d'astronaute spatiale flou, alors qu'il pilote son vaisseau spatial commando étoile à haute vitesse.","Ein atemberaubendes Bild von Buzz Lightyear, sein Raumsoldatengewand verschwommen, während er mit hoher Geschwindigkeit seinen Sternenkommando-Spaceschiff fliegt.","Un'immagine spettacolare di Buzz Lightyear, il suo abito da ranger spaziale un blur, mentre guida la sua nave spaziale star command a velocità elevata.","Uma cena impressionante de Buzz Lightyear, seu uniforme de caçador de estrelas em borracha, enquanto voa seu navio-espacia de comando estelar a alta velocidade.",1679
"Buzz Lightyear sitting in a spaceship's cockpit, his space ranger suit a symbol of courage as he prepares for takeoff.","Buzz Lightyear sentado en el mando de una nave espacial, su traje de ranger espacial un símbolo de valentía mientras se prepara para el despegue.","Buzz Lightyear assis au poste de pilotage d'une navette spatiale, son costume de rangers de l'espace symbole de courage alors qu'il se prépare au décollage.","Buzz Lightyear sitzt in der Cockpit eines Raumschiffs, seine Raumsoldatenummernuniform ein Symbol der Tapferkeit, während er sich auf den Start vorbereitet.","Buzz Lightyear seduto nella cockpit di una navicella spaziale, il suo abito da spaziale un simbolo di coraggio mentre si prepara al decollo.","Buzz Lightyear sentado no cockpit de uma nave espacial, seu uniforme de rangers espaciais é um símbolo de coragem enquanto ele se prepara para o decolagem.",8935
"Buzz Lightyear standing proudly, his arms crossed, a giant alien spaceship looming in the background.","Buzz Lightyear parado orgullosamente, con los brazos cruzados, un gigantesco espacio de nave alienígena en el fondo.","Buzz Lightyear debout fièrement, les bras croisés, un vaisseau spatial géant d'alien dominé en arrière-plan.","Buzz Lightyear steht stolz, seine Arme über dem Oberkörper verschränkt, ein riesiger Außerirdischer-Spaceschiff ragt im Hintergrund in die Höhe.","Buzz Lightyear in piedi con fierezza, le braccia incrociate, un gigantesco spaziale alieno che si staglia all'orizzonte.","Buzz Lightyear de pé orgulhosamente, os braços cruzados, um enorme navio espacial alienígena pairando no fundo.",1424
"In a dimly lit space station, Buzz Lightyear leans against a control panel, his posture exuding a sense of calm.","En una estación espacial iluminada débilmente, Buzz Lightyear se apoya en un panel de control, su postura transmitiendo un sentido de calma.","Dans une station spatiale sombrement éclairée, Buzz Lightyear s'appuie contre un panneau de commande, sa posture dégageant un sentiment de calme.","In einem dunkel beleuchteten Raumstation lehnt Buzz Lightyear sich an einem Kontrollpult, seine Haltung strahlt eine Atmosphäre der Ruhe aus.","In una stazione spaziale a luce spenta, Buzz Lightyear si appoggia contro un pannello di controllo, la sua postura trasmettendo un senso di calma.","Em uma estação espacial sombriamente iluminada, Buzz Lightyear apoia-se em um painel de controle, sua postura exalando um sentimento de calma.",9674
"Buzz Lightyear floats through a starry, midnight sky, his laser blaster at the ready.","Buzz Lightyear flota a través de un cielo estrellado, a medianoche, con su bláster láser listo.","Buzz Lightyear flotte à travers un ciel étoilé, à minuit, son blaster laser au poing, prêt à tirer.","Buzz Lightyear schwebt durch einen sternenübersäten, mitternächtlichen Himmel, sein Laserblaster auf Vorrat bereit.","Buzz Lightyear si aggira nell'oscurità di un cielo stellato, a mezzanotte, con il suo blaster laser pronto all'uso.","Buzz Lightyear flutua por um céu estrelado, à meia-noite, seu bláster de laser pronto para disparar.",6912
Buzz Lightyear's face is a mask of calm as he navigates a zero-gravity environment.,La cara de Buzz Lightyear es una máscara de calma mientras navega por un entorno de gravedad cero.,Le visage de Buzz Lightyear est une masque de calme tandis qu'il se déplace dans un environnement à gravité zéro.,"Buzz Lightyears Gesicht ist ein Maskenschild der Ruhe, während er sich in einer Null-Gravitationsumgebung bewegt.",Il viso di Buzz Lightyear è una maschera di calma mentre naviga in un ambiente a zero-gravità.,O rosto do Buzz Lightyear é uma máscara de calma enquanto ele navega em um ambiente de zero-gravidade.,520
"Buzz Lightyear striding purposefully across a distant planet, his space ranger badge gleaming on his chest.","Buzz Lightyear caminando con propósito a través de un planeta distante, su insígnia de ranger espacial brillando en su pecho.","Buzz Lightyear marchant d'un pas déterminé sur une planète lointaine, son badge de ranger spatial brillant sur sa poitrine.","Buzz Lightyear streicht zielbewusst über einem fernen Planeten, sein Raumsoldatenausweis funkelt auf seiner Brust.","Buzz Lightyear si muove con decisione attraverso un pianeta lontano, la sua medaglia di ranger spaziale che scintilla sul suo petto.","O Buzz Lightyear caminhando resolutamente por um planeta distante, sua insígnia de ranger espacial brilhando no peito.",488
