Original,Spanish,French,German,Italian,Portuguese,Index
"Garden in the style of Claude Monet, with sunlight casting a warm glow on the delicate petals of a peony.","Un jardín en el estilo de Claude Monet, con la luz del sol proyectando un cálido resplandor sobre las delicadas pétalas de un peonía.","Jardin à l'inspiration de Claude Monet, avec le soleil qui projette un doux éclat sur les délicates pétales d'un pivoine.","Ein Garten im Stil von Claude Monet, mit Sonnenlicht, das einen warmen Glanz auf die zarten Blüten einer Paeonie wirft.","Giardino ispirato allo stile di Claude Monet, con la luce del sole che proietta un caldo bagliore sulle delicate petali di un peonia.","Jardim no estilo de Claude Monet, com a luz do sol projetando uma agradável sombra sobre as delicadas pétalas de uma peônia.",1824
A Claude Monet style depiction of a misty forest path leading to a secluded lake with a few wooden boats moored on its shore.,Una representación en estilo de Claude Monet de un sendero forestal embozado que conduce a un lago apartado con unos pocos botes de madera amarrados en su orilla.,Une représentation à la manière de Claude Monet d'un sentier forestier emprunté par la brume menant à un lac reculé avec quelques bateaux de bois amarrés sur sa rive.,"Eine im Stil von Claude Monet dargestellte, nebelumhüllte Waldpfad, der zu einem versteckten See führt, an dessen Ufer einige hölzerne Boote vertäut sind.",Un dipinto ispirato allo stile di Claude Monet che ritrae un sentiero di bosco nebbioso che conduce a un lago isolato con poche barche in legno ormeggiate sulla sua riva.,Uma representação no estilo de Claude Monet de uma trilha florestal nebulosa que leva a um lago isolado com alguns barcos de madeira amarrados em sua margem.,409
"A Claude Monet inspired scene of a tranquil river, where the soft ripples of the water are reflected in the surrounding trees, creating a sense of movement and energy.","Un escenario inspirado en Claude Monet de un río tranquilo, donde las suaves ondas del agua se reflejan en los árboles circundantes, creando un sentido de movimiento y energía.","Un paysage inspiré de Claude Monet, représentant une rivière paisible, où les douces ondulations de l'eau se reflètent dans les arbres environnants, créant un sentiment de mouvement et d'énergie.","Eine Szene im Stil von Claude Monet, die einen ruhigen Fluss zeigt, wobei die weichen Wellen des Wassers in den umgebenden Bäumen reflektiert werden, was einen Eindruck von Bewegung und Energie schafft.","Un'immagine ispirata a Claude Monet di un fiume tranquillo, dove le morbide ondulazioni dell'acqua sono riflesse dagli alberi circostanti, creando un senso di movimento e di energia.","Cena inspirada por Claude Monet de um rio tranquilo, onde as suaves ondulações da água são refletidas nas árvores circundantes, criando um sentimento de movimento e energia.",4506
"Claude Monet style depiction of a tranquil lake on a warm summer day, with a winding path leading to a secluded cove and a few sailboats drifting lazily in the distance.","Una representación en estilo de Claude Monet de un lago tranquilo en un día de verano cálido, con un sendero sinuoso que conduce a una pequeña ensenada privada y unos pocos veleros flotando relajadamente en la distancia.","Représentation à l'inspiration de Claude Monet d'un lac paisible en une journée d'été chaude, avec un chemin sinueux menant à une crique reculée et quelques voiliers qui dérivent paresseusement à l'horizon.","Claude-Monet-Stil-Bild eines ruhigen Sees an einem warmen Sommer Tag, mit einem windenden Pfad, der zu einer abgelegenen Bucht führt und ein paar Segelbooten treiben gemächlich in der Ferne.","Raffigurazione nello stile di Claude Monet di un lago tranquillo in una calda giornata estiva, con un sentiero sinuoso che conduce a una piccola insenatura isolata e poche imbarcazioni a vela che si muovono pigramente in lontananza.","Uma representação no estilo de Claude Monet de um lago tranquilo em um dia quente de verão, com uma trilha sinuosa levando a uma enseada isolada e alguns barcos a vela se deslocando suavemente a distância.",4012
"In the style of Claude Monet, a picturesque village scene with a winding path and a few boats sailing across a peaceful lake, surrounded by lush greenery.","En estilo de Claude Monet, una escena de pueblo pintoresca con un sendero sinuoso y unos pocos barcos navegando por un lago pacífico, rodeado de vegetación verde y lujurianta.","Dans l'esprit de Claude Monet, une scène de village pittoresque avec un chemin sinueux et quelques bateaux naviguant sur un lac paisible, entouré de verdure luxuriante.","Im Stil von Claude Monet: ein idyllisches Dorfpanorama mit einem windenden Pfad und einigen Segelbooten, die über einem ruhigen See segeln, umgeben von dichtem Grün.","In stile di Claude Monet, un paesaggio di villaggio pittoresco con un sentiero sinuoso e pochi barche che navigano su un lago sereno, circondato da vegetazione verde folta.","Em estilo de Claude Monet, uma cena bucólica de aldeia com uma trilha sinuosa e alguns barcos navegando sobre um lago pacífico, cercado por vegetação verdejante.",3657
"Impressionist Claude Monet style scene of a garden at dawn, with soft colors and people strolling.","Escena de jardín a la aurora, estilo impresionista de Claude Monet, con colores suaves y personas paseando.","Scène de jardin à l'aube, dans l'esprit de l'Impressionniste Claude Monet, avec des couleurs douces et des personnes qui se promènent.","Impressionistische Szene im Stil von Claude Monet eines Gartens am Morgen, mit weichen Farben und Menschen, die spazieren gehen.","Scena di giardino all'alba nello stile dell'impressionista Claude Monet, con colori soffici e persone che passeggiano.","Cena de jardim ao amanhecer, estilo impressionista de Claude Monet, com cores suaves e pessoas passeando.",2286
"A Claude Monet inspired scene of a sunny day, with a winding path through a forest of tall, slender trees, set against a backdrop of puffy white clouds.","Una escena inspirada en Claude Monet de un día soleado, con un sendero sinuoso a través de un bosque de árboles altos y esbeltos, frente a un fondo de nubes blancas y esponjosas.","Un paysage inspiré de Claude Monet, une journée ensoleillée, avec un chemin sinueux traversant une forêt de grands arbres minces, situé face à un fond de nuages blancs en flocons.","Eine Szene im Stil von Claude Monet, einem sonnigen Tag, mit einem windenden Pfad durch einen Wald aus hohen, schmalen Bäumen, vor dem Hintergrund von weichen weißen Wolken.","Un'immagine ispirata a Claude Monet di un giorno soleggiato, con un sentiero sinuoso attraverso un bosco di alberi alti e sottili, impostato di fronte a un fondo di nuvole bianche soffici.","Cena inspirada em Claude Monet de um dia ensolarado, com um caminho sinuoso por uma floresta de árvores altas e esguias, ao fundo um cenário de nuvens brancas flácidas.",1679
"A Claude Monet style scene of a bustling city bridge, with people strolling beneath, as the morning mist rises, casting a veil of mystery.","Una escena a la manera de Claude Monet de un puente urbano concurrido, con personas paseando debajo, mientras el humo matutino se eleva, proyectando un velo de misterio.","Une scène à la manière de Claude Monet d'un pont urbain animé, avec des gens qui promènent sous lui, tandis que la brume matinale s'élève, jetant un voile de mystère.","Eine Szene im Stil von Claude Monet, mit einer belebten Stadtbrücke, auf der Menschen spazieren gehen, während der morgendliche Nebel aufsteigt und ein Geheimnis umhüllt.","Un'immagine a stile di Claude Monet di un ponte cittadino affollato, con le persone che passeggiavano sotto, mentre il nebbione della mattina sale, gettando un velo di mistero.","Uma cena no estilo de Claude Monet de uma ponte de cidade movimentada, com pessoas passeando abaixo, enquanto a neblina da manhã sobe, lançando um véu de mistério.",8935
"A Claude Monet inspired depiction of a lake, with an emphasis on capturing the soft, feathery textures of the mist.","Una representación inspirada en Claude Monet de un lago, con un enfoque en capturar los suaves y esponjosos texturas de la niebla.","Une représentation inspirée de Claude Monet d'un lac, mettant l'accent sur la capture des textures douces et soyeuses de la brume.","Eine Claude-Monet inspirierte Darstellung eines Sees, mit dem Schwerpunkt auf der Erfassung der weichen, federigen Texturen der Nebel.","Una rappresentazione ispirata a Claude Monet di un lago, con un'enfasi sul catturare le morbide, soffici texture della nebbia.","Uma representação inspirada em Claude Monet de um lago, com ênfase em capturar as texturas suaves e penosas da névoa.",1424
"A Claude Monet-inspired landscape featuring a river flowing through a vibrant, sunlit garden.",Un paisaje inspirado en Claude Monet que presenta un río fluyendo a través de un jardín vibrante y bañado por la luz del sol.,"Un paysage inspiré de Claude Monet, mettant en scène un fleuve coulant à travers un jardin ensoleillé et vibrante.","Ein Claude-Monet inspiriertes Landschaftsbild mit einem fließenden Fluss durch einen lebhaften, sonnigen Garten.",Un paesaggio ispirato a Claude Monet che presenta un fiume che scorre attraverso un giardino vivace e illuminato dal sole.,"Paisagem inspirada em Claude Monet, com um rio fluindo através de um jardim vibrante e iluminado pelo sol.",9674
