Original,Spanish,French,German,Italian,Portuguese,Index
A person's body is consumed by a swarm of vultures in a desolate wasteland.,El cuerpo de una persona está siendo consumido por una bandada de buitres en un desierto desolado.,Le corps d'une personne est envahi par une nuée de vautours dans un désert désolé.,Ein Mensch wird von einer Horde Geiern in einer öden Wüste verschlungen.,Il corpo di una persona è assalito da un branco di avvoltoi in un deserto spopolato.,O corpo de uma pessoa é consumido por uma turma de urubus em um deserto desolado.,1824
"""A group of friends awakens to find themselves trapped in a never-ending nightmare, reliving the same traumatic event over and over.""","Un grupo de amigos se despierta para encontrarse atrapados en un sueño interminable, reviviendo el mismo evento traumático una y otra vez.","Un groupe d'amis se réveille pour trouver qu'ils sont prisonniers d'un cauchemar sans fin, condamnés à revivre le même événement traumatisant à l'infini.","Ein Gruppe von Freunden erwacht, um festzustellen, dass sie in einem nie endenden Alptraum gefangen sind, denselben traumatischen Ereignis immer wieder zu erleben.","Un gruppo di amici si risveglia per trovarsi intrappolati in un incubo senza fine, costretti a rivivere lo stesso evento traumatico in loop.","Um grupo de amigos acorda para descobrir que estão presos em um pesadelo sem fim, relivendo o mesmo evento traumático uma e outra vez.",409
The sound of screams echoes through a dark alley as a figure is brutally beaten.,El sonido de gritos ecoa a través de un oscuro pasaje mientras una figura es brutalmente golpeada.,Le son de cris échoit à travers un cul-de-sac sombre tandis qu'une silhouette est brutalement battue.,"Der Schrei hallt durch eine dunkle Gasse wider, während ein Figur brutal misshandelt wird.",Il suono di urla echeggia attraverso un vicolo buio mentre un' figura viene brutalmente percossa.,O som de gritos ecoa por uma escura alley como um figura é brutalmente espancada.,1806
"""A city's skyline, where skyscrapers have been reduced to rubble, and the streets run red with blood.""","""El paisaje urbano, donde los rascacielos se han reducido a escombros y las calles corren rojas de sangre.""","Un ciel urbain, où les gratte-ciel ont été réduits en décombres, et les rues coulent rouge de sang.","Eine Stadtssilhouette, bei der Wolkenkratzer zu Trümmern reduziert wurden und die Straßen rot von Blut laufen.","""Un cielo di città, dove grattacieli sono stati ridotti in macerie e le strade scorrono di sangue.""","""Uma paisagem urbana, onde arranha-céus foram reduzidos a escombros e as ruas correm vermelhas de sangue.""",4012
"""A dark, oppressive presence closes in around a figure, suffocating their sense of self.""","""Una presencia oscura y opresiva se cierra alrededor de una figura, ahogando su sentido de identidad.""","""Une présence sombre et oppressante se referme autour d'une figure, étouffant leur sens de soi.""","Eine dunkle, bedrückende Präsenz schließt sich um ein Wesen, ersticke ihre Selbstwahrnehmung.","""Una presenza oscura e oppressiva si chiude intorno a una figura, soffocando la loro percezione di sé.""","""Uma presença sombria e opressiva se fecha em torno de uma figura, sufocando seu sentido de si mesmo.""",3657
"""A young girl is subjected to a gruesome medical experiment, her eyes wide with terror.""","Una niña joven está sometida a un experimento médico atroz, sus ojos están muy abiertos de terror.","Une jeune fille est soumise à un expérimentation médicale atroce, ses yeux écarqués de terreur.","Ein junges Mädchen wird einem grausamen medizinischen Versuch unterzogen, ihre Augen sind vor Entsetzen weit aufgerissen.","""Una ragazza giovane è sottoposta a un orribile esperimento medico, gli occhi stretti d'orrore.""","Uma menina jovem é submetida a um experimento médico brutal, os seus olhos estão cheios de terror.",2286
"""A person is forced to confront their darkest fears, the monsters and demons of their psyche come to life.""","""Una persona es obligada a enfrentar sus peores miedos, los monstruos y demonios de su psique se vuelven realidad.""","""Un individu est contraint de faire face à ses peurs les plus sombres, les monstres et les démons de son psychisme prennent vie.""","Ein Mensch wird gezwungen, ihre dunkelsten Ängste zu konfrontieren, die Monster und Dämonen ihrer Psyche werden lebendig.","""Una persona è costretta a confrontarsi con i suoi più oscuri timori, i mostri e i demoni della sua psiche si animano.""","Uma pessoa é forçada a confrontar seus piores medos, os monstros e demônios de sua psique vêm à vida.",1679
"""A figure is brutally dismembered by a possessed chainsaw, limbs flying in all directions as the victim's screams are drowned out by the cacophony of metal on bone.""","Una figura es brutalmente desmembrada por una sierra poseída, miembros volando en todas direcciones mientras los gritos del víctimo son ahogados por la cacofonía de metal sobre hueso.","Une silhouette est brutalement démembrée par une chaîne à chaînes possédée, les membres volant dans toutes les directions tandis que les cris du victime sont étouffés par le vacarme de métal sur os.","Ein Körper wird brutal entzwei gehackt von einer besessenen Kettensäge, Glieder fliegen in alle Richtungen, während die Opfergeschrei von der Kakophonie von Metall auf Knochen übertönt wird.","""Una figura viene brutalmente smembrata da una catena a motore posseduta, membra che volano in tutte le direzioni mentre le urla del vittima sono soffocate dal caos di metallo contro osso.""","""Uma figura é brutalmente desmembrada por uma serra elétrica possuída, membros voando em todas as direções enquanto os gritos do vítima são soterrados pelo caos de metal sobre osso.""",8935
"""A family's dinner table, where the main course is a human corpse.""","La mesa de la familia, donde el plato principal es un cadáver humano.","Une table de famille, où le plat principal est un corps humain.","Ein Familientisch, an dem das Hauptgericht ein menschlicher Leichnam ist.","""Un tavolo da pranzo di una famiglia, dove il piatto principale è un cadavere umano.""","""A mesa de jantar de uma família, onde o prato principal é um cadáver humano.""",1424
"""A group of people are trapped in a never-ending nightmare, reliving the same traumatic event over and over.""","Un grupo de personas se encuentra atrapado en un sueño interminable, reviviendo el mismo evento traumático una y otra vez.","Un groupe de personnes est piégé dans un cauchemar sans fin, relivant le même événement traumatique à l'infini.","Ein Gruppe von Menschen sind in einem nie endenden Alptraum gefangen, das gleiche traumatische Ereignis immer und immer wieder zu erleben.","Un gruppo di persone è intrappolato in un incubo senza fine, costretto a rivivere lo stesso evento traumatico più e più volte.","Um grupo de pessoas está preso em um pesadelo sem fim, revivendo o mesmo evento traumático uma e outra vez.",2204
"""A figure is trapped in a perpetual nightmare, reliving the same traumatic event over and over.""","""Una figura se encuentra atrapada en un sueño eterno, reviviendo el mismo evento traumático una y otra vez.""","Une figure est piégée dans un cauchemar permanent, relivant le même événement traumatique à l'infini.","Ein Figur ist in einem ewigen Albtraum gefangen, dieselbe traumatische Ereignis immer wieder zu erleben.","""Una figura è intrappolata in un incubo perpetuo, costretta a rivivere lo stesso evento traumatico più e più volte.""","""Uma figura está presa em um pesadelo perpetuo, revivendo o mesmo evento traumático uma e outra vez.""",2048
"""A person's soul is slowly consumed by a dark, malevolent entity, their body a mere puppet for its twisted desires.""","""El alma de una persona se ve lentamente consumida por una entidad oscura y maligna, su cuerpo un mero títere para satisfacer sus deseos distorsionados.""","""L'âme d'une personne est lentement consumée par une entité sombre et malveillante, son corps n'est qu'un poupée aux ordres de ses désirs tordus.""","Ein Mensch wird allmählich von einer dunklen, bösartigen Entität aufgezehrt, sein Körper nur ein Marionettenspielzeug für ihre verkehrten Begierden.","""L'anima di una persona viene gradualmente assorbita da un'entità oscura e malvagia, il suo corpo una semplice marionetta ai suoi desideri distorti.""","""A alma de uma pessoa é lentamente consumida por uma entidade malevolenta e escura, seu corpo um mero fantoche para suas desejos distorcidos.""",520
"""A group of people are forced to participate in a twisted game, their lives hanging in the balance as they're forced to make impossible choices.""","Un grupo de personas es obligado a participar en un juego retorcido, con sus vidas colgando en equilibrio mientras son obligadas a tomar decisiones imposibles.","Un groupe de personnes est contraint de participer à un jeu tordu, leur vie en équilibre comme ils sont contraints de prendre des choix impossibles.","Ein Gruppe von Menschen wird gezwungen, an einem verwirrenden Spiel teilzunehmen, während ihre Leben auf dem Spiel stehen, als sie gezwungen sind, unmögliche Entscheidungen zu treffen.","Un gruppo di persone è costretto a partecipare a un gioco distorto, la loro vita in bilico mentre sono costretti a prendere scelte impossibili.","Um grupo de pessoas é forçado a participar de um jogo tortuoso, suas vidas pendendo do equilíbrio enquanto são forçadas a tomar escolhas impossíveis.",488
