Original,Spanish,French,German,Italian,Portuguese,Index
Emma Watson walking through a market wearing a colorful embroidered dress with a wide-brimmed straw hat and a pair of layered bangles.,"Emma Watson caminando por un mercado vestida con un vestido de algodón bordado de colores, un sombrero de paja ancho ala y un par de pulseras de capas.","Emma Watson se promenant dans un marché en portant une robe de soie colorée brodée, un chapeau de paille à large bord et une paire de bracelets en strass superposés.","Emma Watson geht durch einen Markt, während sie ein farbenfrohes besticktes Kleid trägt, ein breitrandiges Strohhut und ein Paar geschichtete Armreifen.",Emma Watson che cammina in un mercato indossando un abito colorato ricamato con un cappello di paglia a larga falda e un paio di braccialetti a strati.,Emma Watson caminhando por um mercado vestindo um vestido colorido bordado com um chapéu de palha com larga aba e um par de pulseiras em camadas.,1824
"Emma Watson sitting in a quiet library, surrounded by old books and soft candlelight, with a gentle warm light and a few days' worth of facial hair.","Emma Watson sentada en una biblioteca tranquila, rodeada de viejos libros y suave luz de velas, con una suave luz cálida y una barba de varios días en el rostro.","Emma Watson assise dans une bibliothèque calme, entourée d'anciens livres et d'une douce lumière de chandelle, avec une lumière chaude et douce et quelques jours de barbe naissante.","Emma Watson sitzt in einem stillen Bibliothek, umgeben von alten Büchern und sanfter Kerzenbeleuchtung, mit einer weichen warmen Beleuchtung und ein paar Tagen Bartwuchs.","Emma Watson seduta in una biblioteca tranquilla, circondata da vecchi libri e da una luce di candela morbida, con una luce calda e gentile e un paio di giorni di barba.","Emma Watson sentada em uma biblioteca silenciosa, cercada por livros velhos e luz de vela suave, com uma luz aconchegante e quente e algumas dias de pelos faciais.",409
"Emma Watson standing in a field of wildflowers, wearing a bright yellow sundress and holding a small, wooden flute.","Emma Watson de pie en un campo de flores silvestres, vestida con un vestido de sol amarillo y sosteniendo un pequeño flautín de madera.","Emma Watson debout dans un champ de fleurs sauvages, portant un jupon jaune vif et tenant un petit flûte en bois.","Emma Watson steht in einem Feld wilder Blumen, trägt ein helles gelbes Sommerkleid und hält ein kleines, holzernes Flötenstück.","Emma Watson in piedi in un campo di fiori selvatici, indossa un abito da sole giallo brillante e tiene in mano un piccolo flauto di legno.","Emma Watson parada em um campo de flores silvestres, vestindo um vestido de sol amarelo e segurando um pequeno flautim de madeira.",4506
"Emma Watson in a stylish hat, walking through a bustling city market at midday.","Emma Watson con un sombrero elegante, caminando por un mercado urbano animado a mediodía.","Emma Watson portant un chapeau chic, se promenant dans un marché animé de la ville à midi.","Emma Watson in einem stilvollen Hut, durch eine belebte Stadtmarkt im Mittag spaziert.","Emma Watson con un cappello di moda, che cammina attraverso un mercato cittadino affollato a mezzogiorno.","Emma Watson com um chapéu elegante, caminhando por um mercado movimentado da cidade ao meio-dia.",4012
"A photograph of Emma Watson, her expression serious as she gazes directly into the camera with a hint of stubble on her chin.","Una fotografía de Emma Watson, su expresión seria mientras mira directamente a la cámara con un toque de vello en su barbilla.","Une photographie d'Emma Watson, son expression grave tandis qu'elle regarde directement dans la caméra avec une légère barbe sur son menton.","Ein Foto von Emma Watson, ihre Miene ernst, während sie direkt in die Kamera blickt, mit einem Hauch von Stoppelbart auf ihrem Kinn.","Una fotografia di Emma Watson, la sua espressione seria mentre guarda direttamente nella macchina fotografica con un accenno di barba sul mento.","Uma fotografia de Emma Watson, sua expressão séria enquanto olha diretamente para a câmera com um toque de bigode em sua barba.",3657
"Emma Watson sitting at a wooden desk, surrounded by stacks of papers and pencils, with soft natural light streaming through the window.","Emma Watson sentada a una mesa de madera, rodeada de montones de papeles y lápices, con una luz natural suave que entra a través de la ventana.","Emma Watson assise à une table en bois, entourée de piles de papiers et de crayons, avec une lumière naturelle douce qui filtre à travers la fenêtre.","Emma Watson sitzt an einem Holztisch, umgeben von Stapeln von Papieren und Bleistiften, während sich weiches natürliches Licht durch das Fenster ergießt.","Emma Watson seduta a un tavolo in legno, circondata da pile di fogli e matite, con una luce naturale soffusa che filtra attraverso la finestra.","Emma Watson sentada em uma mesa de madeira, cercada por pilhas de papéis e lápis, com uma luz natural suave afluindo pela janela.",2286
"A close-up of Emma Watson's face with a hint of a mustache, her eyes shining with amusement as she listens to a friend tell a joke in a dimly lit pub.","Una toma de cerca de la cara de Emma Watson con un atisbo de bigote, sus ojos brillando con diversión mientras escucha a un amigo contar un chiste en un pub iluminado con poca luz.","Un plan large de la figure d'Emma Watson avec une touche de moustache, ses yeux brillant de plaisir alors qu'elle écoute un ami raconter une blague dans une taverne sombrement éclairée.","Ein enges Porträt von Emmas Gesicht mit einem Hauch eines Schnurrbarts, ihre Augen leuchten vor Amüsement, während sie einem Freund zuhört, der in einem gedimmten Pub einen Witz erzählt.","Un ritratto ravvicinato del volto di Emma Watson con un accenno di baffi, gli occhi che brillano di divertimento mentre ascolta un amico raccontare una battuta in un pub a luce spenta.","Uma imagem em close-up do rosto de Emma Watson com um toque de bigode, seus olhos brilhando com diversão enquanto ela ouve um amigo contar um piada em um pub mal iluminado.",1679
Emma Watson sitting in a crowded coffee shop typing away on her laptop.,Emma Watson sentada en una cafetería concurrida tecleando en su portátil.,Emma Watson assise dans un café bondé en train de taper sur son ordinateur portable.,Emma Watson sitzt in einer überfüllten Kaffeebar und tippt auf ihrem Laptop.,Emma Watson seduta in un caffè affollato a digitare su il suo laptop.,Emma Watson sentada em uma cafeteria lotada digitando avidamente em seu laptop.,8935
"Emma Watson's eyes locked on a stunning, hand-painted watercolor of a sunset, the colors blending seamlessly on the canvas.","Los ojos de Emma Watson se quedaron prendados de un impresionante, acuarela a mano de un atardecer, los colores se fusionaban suavemente en la tela.","Les yeux d'Emma Watson se fixèrent sur une éblouissante aquarelle à la main peinte d'un coucher de soleil, les couleurs s'entrelaçant de manière fluide sur la toile.","Emmas Watsons Augen ruhten auf einer atemberaubenden, handgemalten Wasserfarbmalerei eines Sonnenuntergangs, die Farben blendeten reibungslos auf der Leinwand.","Gli occhi di Emma Watson si sono fissati su un affascinante acquerello a mano, di un tramonto, i colori che si mescolavano in modo impeccabile sul tela.","Os olhos de Emma Watson se fixaram num impressionante, água-forte manual de um pôr-do-sol, as cores se misturando suavemente na tela.",1424
"Emma Watson sitting on a plush couch, surrounded by pillows and a warm fireplace crackling in the background.","Emma Watson sentada en un sofá de plumón, rodeada de cojines y una chimenea cálida crepitando en el fondo.","Emma Watson assise sur un canapé moelleux, entourée de coussins et d'une cheminée chaude qui crépite doucement en arrière-plan.","Emma Watson sitzt auf einem weichen Sofa, umgeben von Kissen und einem warmen Kamin, der im Hintergrund knistert.","Emma Watson seduta su un divano morbido, circondata da cuscini e da un camino caldo che crepita in sottofondo.","Emma Watson sentada em um sofá macio, cercada por travesseiros e uma lareira acesa crepitando ao fundo.",9674
