Original,Spanish,French,German,Italian,Portuguese,Index
"A Frida Kahlo style textile with a window in the center, surrounded by flowers and vines, representing the cycle of life.","Un tejido en estilo Frida Kahlo con una ventana en el centro, rodeada de flores y enredaderas, que representa el ciclo de la vida.","Un tissu dans le style de Frida Kahlo avec une fenêtre au centre, entourée de fleurs et de vigne, représentant le cycle de la vie.","Ein textile Werk im Stil von Frida Kahlo mit einem Fenster im Zentrum, umgeben von Blumen und Ranken, das den Kreislauf des Lebens darstellt.","Un tessuto a stile Frida Kahlo con una finestra al centro, circondata da fiori e vite, che rappresenta il ciclo della vita.","Um tecido no estilo de Frida Kahlo com uma janela no centro, rodeado por flores e videiras, representando o ciclo da vida.",1824
"A Frida Kahlo-inspired still life with a bouquet of vibrant marigolds and a shattered mirror in the background, reminiscent of her self-portraits.","Un still life inspirado en Frida Kahlo con un ramo de marigolds vibrantes y un espejo roto en el fondo, recordando a sus autorretratos.","Un paysage still d'inspiration Frida Kahlo avec un bouquet de marigolds vives et un miroir brisé en arrière-plan, rappelant ses autoportraits.","Ein stillleben, inspiriert von Frida Kahlo, mit einem Strauß lebhafter Marigoldblumen und einem zersplitterten Spiegel im Hintergrund, das an ihre Selbstporträts erinnert.","Un paesaggio still life ispirato a Frida Kahlo con un mazzo di marigold vibranti e uno specchio rotto in secondo piano, ricordante i suoi autoritratti.","Um still life inspirado em Frida Kahlo com um buquê de marigolds vibrantes e um espelho quebrado ao fundo, reminiscente de seus autorretratos.",409
"A Frida Kahlo style still life featuring a bowl of fruit, a vase with a bouquet of marigolds, and a small, ornate window with a peacock perched outside.","Un still life en estilo Frida Kahlo que incluye una taza de frutas, un jarrón con un ramo de marigoldes y una pequeña ventana ornada con un pavo real posado fuera.","Un paysage de style Frida Kahlo mettant en scène un bol de fruits, un vase avec un bouquet de marigolds, et une petite fenêtre ornementale avec un paon perché à l'extérieur.","Ein Stillleben im Stil von Frida Kahlo, das einen Teller mit Obst, einen Topf mit einer Blumenarrangierung aus Marigolden und ein kleines, reich verziertes Fenster mit einem auf dem Fensterbrett sitzenden Pavian zeigt.","Un nudo a stile Frida Kahlo che comprende un vassoio di frutta, un vaso con un bouquet di marigold, e una piccola finestra ornata con un pavone posato all'esterno.","Uma still life no estilo de Frida Kahlo, com uma tigela de frutas, uma vasilha com uma arranjo de cravos e uma janela pequena e ornamentada com um pavão sentado fora.",4506
"A Frida Kahlo style portrait of a woman, adorned in a colorful, embroidered rebozo, with a shattered mirror reflecting her introspective gaze.","Un retrato en estilo Frida Kahlo de una mujer, adornada con un rebozo colorido y bordado, con un espejo roto reflejando su mirada introspectiva.","Un portrait à la manière de Frida Kahlo d'une femme, ornée d'un rebozo coloré et brodé, avec un miroir brisé qui reflète son regard introspectif.","Ein im Stil von Frida Kahlo gemaltes Frauenporträt, das in einem farbenfrohen, bestickten Rebozo gehüllt ist, mit einem gescheiterten Spiegel, der ihre nachdenkliche Gaze reflektiert.","Un ritratto di donna stile Frida Kahlo, adornato di un rebozo colorato e ricamato, con uno specchio rotto che riflette il suo sguardo riflessivo.","Um retrato à estilo de Frida Kahlo de uma mulher, adornada com um rebozo colorido e bordado, com um espelho quebrado refletindo seu olhar introspectivo.",4012
"A Frida Kahlo style self-portrait, with a bouquet of flowers floating above the artist's head, set against a backdrop of a vibrant, dreamlike cityscape.","Un autorretrato estilo Frida Kahlo, con una rama de flores flotando encima de la cabeza del artista, situado frente a un fondo de una ciudadscape vibrante y onírica.","Un autoportrait à la manière de Frida Kahlo, avec un bouquet de fleurs flottant au-dessus de la tête de l'artiste, placé devant un paysage urbain vif et onirique.","Ein Selbstporträt im Stil von Frida Kahlo, mit einem Strauß Blumen, der über dem Kopf des Künstlers schwebt, gegen den Hintergrund eines lebendigen, traumhaften Stadtlandschafts.","Un autoritratto a stile di Frida Kahlo, con un mazzo di fiori che galleggia sopra la testa dell'artista, contro un fondale di una vivace e onirica paesaggistica urbana.","Um autorretrato no estilo de Frida Kahlo, com uma arranjo de flores flutuando acima da cabeça do artista, contra um fundo de uma paisagem urbana vibrante e onírica.",3657
"A Frida Kahlo inspired still life of a vintage Mexican altar, with a bouquet of marigolds and a pair of doves perched on the edge.","Un still life inspirado en Frida Kahlo de un altar mexicano antiguo, con un ramo de marigolds y una pareja de palomas posadas en el borde.","Un paysage still d'inspiration Frida Kahlo d'un autel mexicain vintage, avec une bouquet de marigolds et un couple de colombes perchées sur le bord.","Ein stillleben im Stil von Frida Kahlo, das ein antikes mexikanisches Altar darstellt, mit einer Blumenstrauß aus Marigolden und einem Paar Tauben, die auf der Kante sitzen.","Un paesaggio still di ispirazione Frida Kahlo di un antico altare messicano, con un mazzo di zinni e una coppia di colombi posati sul bordo.","Uma still life inspirada em Frida Kahlo de um altar mexicano vintage, com um buquê de cravos e uma par de pombas perched na borda.",2286
"A Frida Kahlo style self-portrait with a door in the background, where a small, delicate key hangs from a nail, as a mirror reflects a vibrant, colorful scene.","Un autorretrato a la manera de Frida Kahlo con una puerta de fondo, donde un pequeño y delicado llavín cuelga de un clavo, mientras un espejo refleja una escena vibrante y de colores.","Un autoportrait à la manière de Frida Kahlo avec une porte en arrière-plan, où une petite clé délicate pendent de un clou, tandis qu'un miroir reflète une scène vibrante et colorée.","Ein Selbstporträt im Stil von Frida Kahlo mit einem Hintergrund, in dem sich eine Tür befindet, an der ein kleiner, zarter Schlüssel an einem Nagel hängt, während ein Spiegel ein lebendiges, farbenfrohes Bild widerspiegelt.","Un autoritratto a stile Frida Kahlo con un portone sullo sfondo, dove una piccola chiave delicata penzola da un chiodo, mentre uno specchio riflette una scena vibrante e colorata.","Um autorretrato no estilo de Frida Kahlo, com uma porta de fundo, onde uma pequena chave delicada pende de um prego, enquanto um espelho reflete uma cena vibrante e colorida.",1679
"A Frida Kahlo style depiction of a woman's hand, adorned with a collection of bold, colorful gemstones and a single, long-stemmed red rose, set against a dark, rich background.","Una representación en estilo Frida Kahlo de una mano de mujer, adornada con una colección de piedras preciosas audaces y coloreadas y una sola rosa roja de tallo largo, colocada contra un fondo oscuro y rico.","Une représentation à l'inspiration de Frida Kahlo d'une main de femme, ornée d'une collection de pierres précieuses audacieuses et colorées ainsi qu'une seule rose rouge à longue tige, contre un fond sombre et riche.","Eine im Stil von Frida Kahlo dargestellte Hand einer Frau, geschmückt mit einer Sammlung von farbenfrohen, auffälligen Edelsteinen und einer einzigen langstieligen roten Rose, gegenüber einem dunklen, reichen Hintergrund.","Un'immagine a stile Frida Kahlo di una mano di donna, adornata con una collezione di pietre preziose audaci e colorate e un solo, lungo-stelo rosa rosso, posata su un fondo scuro e ricco.","Uma representação no estilo de Frida Kahlo de uma mão de mulher, adornada com uma coleção de gemas coloridas ousadas e um único, longo-coroado rosa vermelho, sobre um fundo escuro e rico.",8935
"A woman, Frida Kahlo style, standing in front of a door, with symbols of her journey on her face.","Una mujer, estilo Frida Kahlo, de pie frente a una puerta, con símbolos de su viaje en su rostro.","Une femme, à la manière de Frida Kahlo, debout devant une porte, avec des symboles de son parcours sur son visage.","Eine Frau, im Stil von Frida Kahlo, steht vor einer Tür, mit Symbolen ihrer Reise auf ihrem Gesicht.","Una donna, a immagine di Frida Kahlo, in piedi davanti a una porta, con simboli del suo percorso sul suo volto.","Uma mulher, estilo Frida Kahlo, parada à frente de uma porta, com símbolos de sua jornada no seu rosto.",1424
"A woman's face, a Frida Kahlo style self-portrait, with a delicate floral crown and a backdrop of a vibrant Mexican sunset, with a pair of butterflies fluttering around her head.","El rostro de una mujer, un autorretrato estilo Frida Kahlo, con una diadema floral delicada y un fondo de un atardecer mexicano vibrante, con un par de mariposas revoloteando alrededor de su cabeza.","Le visage d'une femme, un autoportrait à la manière de Frida Kahlo, avec une couronne florale délicate et un fond de coucher de soleil mexicain vibrante, avec un couple de papillons qui volent autour de sa tête.","Ein Frauenantlitz, ein Selbstporträt im Stil von Frida Kahlo, mit einer zarten Blumenkrone und einem Hintergrund eines lebhaften mexikanischen Sonnenuntergangs, mit einem Paar Schmetterlingen, die um ihren Kopf flattern.","Il volto di una donna, un autoritratto a stile Frida Kahlo, con una corona fiorita delicata e un fondale di un tramonto messicano vibrante, con una coppia di farfalle che volteggiano attorno alla sua testa.","O rosto de uma mulher, um autorretrato estilo Frida Kahlo, com uma coroa floral delicada e um fundo de um pôr do sol mexicano vibrante, com uma par de borboletas voando ao redor de sua cabeça.",9674
