Original,Spanish,French,German,Italian,Portuguese,Index
Homer Simpson proudly holding up a giant fish he just caught in a small boat on a serene lake.,Homer Simpson levantando con orgullo un gran pez que acaba de pescar en una pequeña barca en un lago sereno.,"Homer Simpson se tenait fièrement debout, tenant haut un énorme poisson qu'il venait de pêcher dans un petit bateau sur un lac paisible.","Homer Simpson präsentiert stolz ein riesiges Fisch, den er gerade in einem kleinen Boot auf einem friedlichen See gefangen hat.",Omero Simpson tiene orgoglio in mano un gigante pesce appena pescato in una piccola barca su un sereno lago.,O Homero Simpson orgulhosamente segurando um peixe gigante que acabou de pescar em uma pequena embarcação em um lago sereno.,1824
Homer Simpson's face contorted in a mixture of pain and surprise as he bites into a sour lemon.,La cara de Homer Simpson se contorsionó en una mezcla de dolor y sorpresa cuando mordió un limón ácido.,Le visage d'Homer Simpson s'est contorsionné dans une mélange de douleur et de surprise alors qu'il mord dans un citron aigre.,"Homer Simpsons Gesicht verzieht sich in einer Mischung aus Schmerz und Überraschung, als er in ein saures Zitrone biss.",Il viso di Homer Simpson si contorce in una miscela di dolore e sorpresa mentre mordicchia un limone acido.,O rosto de Homer Simpson contorceu-se em uma mistura de dor e surpresa ao mordiscar um limão ácido.,409
"Homer Simpson standing in the middle of a bustling Springfield street, surrounded by people and cars.","Homer Simpson de pie en el medio de una calle animada de Springfield, rodeado de personas y coches.","Homère Simpson debout au milieu d'une rue animée de Springfield, entouré de gens et de voitures.","Homer Simpson steht mitten auf einer belebten Straße in Springfield, umgeben von Menschen und Autos.","Il signor Simpson di Omero in piedi nel mezzo di una strada animata di Springfield, circondato da persone e auto.","Homero Simpson parado no meio de uma rua movimentada de Springfield, cercado por pessoas e carros.",4506
"Homer Simpson standing in front of a donut shop, holding a box of assorted donuts and wearing a Donut Lovers Unite apron.","Homer Simpson parado enfrente de una tienda de donas, sosteniendo una caja de donas assorted y vistiendo un delantal de ""Donut Lovers Unite"".","Homer Simpson debout devant une boutique de donuts, tenant une boîte de donuts assortis et portant un tablier ""Les Amoureux des Donuts se Réunissent"".","Homer Simpson steht vor einem Donut-Laden, hält einen Karton mit assorted Donuts in der Hand und trägt ein ""Donut-Lovers-Unite""-Apron.","Omero Simpson in piedi davanti a una bottega di donut, tenendo un pacco di donut assorted e indossando un grembiule ""Donut Lovers Unite"".","Homero Simpson parado em frente a uma loja de donuts, segurando uma caixa de donuts assorted e vestindo uma camiseta da ""Donut Lovers Unite"".",4012
"Homer Simpson sitting on the couch, holding a TV remote and giving a bored expression.","Homer Simpson sentado en el sofá, sosteniendo un control remoto de TV y mostrando una expresión aburrida.","Homère Simpson assis sur le canapé, tenant un clavier de télévision et affichant une expression de lassitude.","Homer Simpson sitzt auf dem Sofa, hält ein Fernsehfernbedienung und zeigt eine gelangweilte Miene.","Omero Simpson seduto sul divano, stringendo un telecomando per la TV e mostrando un'espressione annoiata.","O Homer Simpson sentado na poltrona, segurando um controle remoto de TV e exibindo uma expressão de aborrecimento.",3657
"Homer Simpson standing in front of a large donut shop, wearing a Donut lover t-shirt and holding a box of donuts.","Homer Simpson parado enfrente de una gran tienda de donas, vestido con una camiseta de amante de donas y sosteniendo una caja de donas.","Homère Simpson debout devant une grande boutique de donuts, portant un t-shirt Donut lover et tenant un carton de donuts.","Homer Simpson steht vor einem großen Donut-Laden, trägt ein T-Shirt mit der Aufschrift ""Donut-Liebhaber"" und hält eine Schachtel Donuts.","Omero Simpson in piedi davanti a una grande bottega di donut, indossando una maglietta ""Amante dei donut"" e stringendo una scatola di donut.","Homem Simpson parado em frente a uma grande loja de donuts, vestindo uma camiseta de fã de donuts e segurando uma caixa de donuts.",2286
"Homer Simpson standing in a dark alley, wearing a fedora and holding a flashlight, with a mysterious expression on his face.","Homer Simpson de pie en un pasaje oscuro, vestido con un fedora y sosteniendo una linterna, con una expresión misteriosa en su rostro.","Homer Simpson debout dans un couloir sombre, portant un chapeau melon et tenant une lampe torche, avec un air mystérieux sur son visage.","Homer Simpson steht in einer dunklen Gasse, trägt einen Fedora und hält eine Taschenlampe, mit einem geheimnisvollen Ausdruck auf seinem Gesicht.","Homer Simpson in piedi in un vicolo buio, indossa un cappello a cilindro e tiene una torcia, con un'espressione misteriosa sul volto.","Homem Simpson parado em uma aléia escura, vestindo um fedora e segurando uma lanterna, com uma expressão misteriosa no rosto.",1679
"Homer Simpson wearing a chef's hat and holding a spatula over a sizzling, greasy grill in a messy backyard.",Homer Simpson llevando un sombrero de chef y sosteniendo una espátula sobre una parrilla siseante y grasosa en un jardín desordenado.,Homer Simpson portant un chapeau de chef et tenant une spatule au-dessus d'une grille sifflante et grasse dans un jardin encombré.,"Homer Simpson trägt ein Chefhut und hält eine Spachtel über ein schießendes, fettes Grill in einem schmutzigen Hinterhof.","Omero Simpson indossa un cappello da cuoco e tiene una spatola sopra un grill sfrigante, grasso e sporco in un cortile caotico.",Homero Simpson usando um chapéu de cozinheiro e segurando uma espátula sobre um grelha saborosa e oleosa em um quintal sujo.,8935
Homer Simpson enthusiastically high-fiving Barney at Moe's Tavern.,Homer Simpson le da un apretón de manos entusiasmado a Barney en Moe's Tavern.,Homère Simpson donne un coup de poing de joie à Barney à Moe's Tavern.,"Homer Simpson freut sich begeistert auf Barney einzuholen, während sie sich in Moe's Tavern befinden.",Il simpatico Homer Simpson dà un entusiastico cinque alla mano a Barney al Moe's Tavern.,Homero Simpson dando um aperto de mão entusiasmado no Barney em Moe's Tavern.,1424
"Homer Simpson riding a vintage, blue bicycle down a narrow, winding bike path through a dense, green forest.","Homer Simpson montando una bicicleta vintage, azul, por un estrecho y sinuoso sendero de bicicleta a través de una densa, verde selva.",Homer Simpson en train de conduire une vieille bicyclette bleue le long d'un chemin de vélo étroit et sinueux à travers une forêt dense et verte.,"Homer Simpson fährt auf einem alten, blauen Fahrrad einen schmalen, gewundenen Radweg durch einen dichten, grünen Wald.",Omero Simpson che cavalca una bicicletta vintage blu lungo un sentiero di bicicletta stretto e sinuoso attraverso una foresta densa e verde.,Homem Simpson pedalindo uma bicicleta vintage azul por uma trilha estreita e sinuosa através de uma densa floresta verde.,9674
