Original,Spanish,French,German,Italian,Portuguese,Index
"Leonardo DiCaprio with a look of quiet determination, wearing a simple yet rugged flannel shirt and jeans, standing in a dense, misty forest at dawn.","Leonardo DiCaprio con una mirada de determinación callada, vestido con una camiseta de franela sencilla y rugosa y jeans, parado en un bosque denso y brumoso al amanecer.","Leonardo DiCaprio, l'air déterminé mais calme, portant une chemise de flanelle simple et robuste ainsi que des jeans, debout dans une forêt dense et brumeuse à l'aube.","Leonardo DiCaprio mit einem Ausdruck stummer Entschlossenheit, in einem einfachen, jedoch rauheitsprägenden Flanellhemd und Jeans, steht in einem dichten, nebeligen Wald bei Tagesanbruch.","Leonardo DiCaprio con un'espressione di determinazione silenziosa, indossando una semplice ma ruvida camicia di flanella e jeans, in piedi in una densa e nebbiosa foresta all'alba.","Leonardo DiCaprio com um olhar de determinação silenciosa, vestindo uma camiseta de flanela simples e rústica e calças, parado em uma floresta densa e nebulosa ao amanhecer.",1824
"Leonardo DiCaprio as a fearless mountain climber scaling a steep, snow-covered peak at sunrise.",Leonardo DiCaprio como un escalador temerario que sube una cumbre empinada cubierta de nieve al amanecer.,"Leonardo DiCaprio en tant que grimpeur de montagne sans crainte escaladant un sommet escarpé, couvert de neige, à l'aube.","Leonardo DiCaprio als mutiger Bergsteiger, der einen steilen, schneebedeckten Gipfel bei Sonnenaufgang erklimmt.",Leonardo DiCaprio come un scalatore temerario che scala una cima ripida e coperta di neve all'alba.,Leonardo DiCaprio como um montanhista ousado escalando uma face íngreme e coberta de neve a nascer do sol.,409
"A group of colleagues congratulating Leonardo DiCaprio on his Oscar win, his hair perfectly styled, beaming with pride.","Un grupo de colegas felicitando a Leonardo DiCaprio por su premio Óscar, su cabello perfectamente peinado, radiando orgullo.","Un groupe de collègues félicitant Leonardo DiCaprio pour sa victoire aux Oscars, ses cheveux parfaitement stylisés, radieux d'orgueil.","Ein Gruppe von Kollegen gratuliert Leonardo DiCaprio zu seinem Oscar-Gewinn, sein Haar ist perfekt gestylt, strahlt mit Stolz.","Un gruppo di colleghi che congratulano Leonardo DiCaprio per la sua vittoria all'Oscar, i capelli perfettamente stiletti, che splendono di orgoglio.","Um grupo de colegas congratulando Leonardo DiCaprio com sua vitória do Oscar, seu cabelo perfeitamente arrumado, sorrindo orgulhosamente.",4506
Leonardo DiCaprio dressed in a Hawaiian shirt and flip flops on a tropical beach.,Leonardo DiCaprio se vistió con una camiseta de rayas hawaianas y zapatillas de goma en una playa tropical.,Leonardo DiCaprio est vêtu d'une chemise hawaïenne et de flip flops sur une plage tropicale.,Leonardo DiCaprio trug ein hawaiianisches Hemd und Flipflops auf einer tropischen Strandlandschaft.,Leonardo DiCaprio indossa una camicia hawaiana e sandali a fascia elastica su una spiaggia tropicale.,Leonardo DiCaprio vestido com uma camisa havaiana e chinelos em uma praia tropical.,4012
"Leonardo DiCaprio wearing a black leather jacket and sunglasses, standing in front of a vintage car.","Leonardo DiCaprio viste un chaqueta de cuero negro y gafas de sol, parado frente a un automóvil de época.","Leonardo DiCaprio portant un blouson en cuir noir et des lunettes de soleil, debout devant une voiture d'époque.","Leonardo DiCaprio in einem schwarzen Lederjackett und Sonnenbrille, vor einem Vintage-Automobil stehend.","Leonardo DiCaprio indossa un giacca di pelle nera e occhiali da sole, in piedi davanti a un'auto d'epoca.","Leonardo DiCaprio vestindo um casaco de couro preto e óculos de sol, parado em frente a um carro clássico.",3657
"Leonardo DiCaprio standing on a rocky coastline, his messy brown hair blown back by strong ocean winds.","Leonardo DiCaprio de pie en una costa rocosa, su cabello marrón despeinado azotado por fuertes vientos del océano.","Leonardo DiCaprio debout sur une côte rocheuse, ses cheveux bruns ébouriffés soufflés en arrière par les forts vents d'océan.","Leonardo DiCaprio steht auf einem felsigen Küstenabschnitt, sein zerzaustes braunes Haar wird von den starken Meereswinden zurückgebläht.","Leonardo DiCaprio in piedi su una costa rocciosa, i suoi capelli marroni disordinati soffiati indietro dai forti venti dell'oceano.","Leonardo DiCaprio de pé em uma costa rochosa, seu cabelo castanho desgrenhado soprado para trás pelos fortes ventos do oceano.",2286
Leonardo DiCaprio wearing a fedora and sunglasses on a vintage motorcycle.,Leonardo DiCaprio llevando un fedora y gafas de sol en una motocicleta de época.,Leonardo DiCaprio portant un fedora et des lunettes de soleil sur une moto vintage.,Leonardo DiCaprio auf einem alten Motorrad mit Sonnenbrille und Zylinderhut.,Leonardo DiCaprio in cappello fedora e occhiali da sole su una motocicletta d'epoca.,Leonardo DiCaprio vestindo um chapéu de feltro e óculos de sol montado em uma motocicleta vintage.,1679
"Leonardo DiCaprio in a sleek black tuxedo, attending a formal gala on a luxury cruise ship.","Leonardo DiCaprio, vestido en un elegante tuxedo negro, asistiendo a una gala formal en un lujoso crucero.","Leonardo DiCaprio, vêtu d'un smoking noir élégant, assiste à un gala formel à bord d'un navire de croisière de luxe.","Leonardo DiCaprio in einem schicken schwarzen Smoking, bei einem formellen Gala auf einem Luxuskreuzfahrtschiff.","Leonardo DiCaprio in un elegante tuxedo nero luccicante, che partecipa a una elegante cena di gala su una lussuosa nave da crociera.","Leonardo DiCaprio em um terno preto elegante, comparecendo a um gala formal em um navio de cruzeiro de luxo.",8935
"Leonardo DiCaprio sitting cross-legged on a colorful Moroccan rug, surrounded by intricately patterned pillows and a steaming teapot.","Leonardo DiCaprio sentado en cuclillas sobre una alfombra mora colorida, rodeado de cojines con patrones intrincados y una tetera humeante.","Leonardo DiCaprio assis en tailleur sur un tapis marocain coloré, entouré de coussins ornés de motifs complexes et d'une théière qui fume.","Leonardo DiCaprio sitzt kreuzbeinig auf einem farbenfrohen marokkanischen Teppich, umgeben von fein gemusterten Kissen und einem dampfenden Teepott.","Leonardo DiCaprio seduto a gambe incrociate su un tappeto marocchino colorato, circondato da cuscini ricamati a motivi intricati e da un teiera fumante.","Leonardo DiCaprio sentado cross-legged em um tapete marroquino colorido, rodeado por almofadas com padrões intricados e uma chaleira fervente.",1424
"Leonardo DiCaprio walking through a dense jungle, a machete slung over his shoulder.","Leonardo DiCaprio caminando a través de una densa jungla, un machete colgado sobre su hombro.","Leonardo DiCaprio marchant à travers une jungle dense, un macheté accroché à son épaule.","Leonardo DiCaprio geht durch eine dichte Dschungellandschaft, ein Macheten über seiner Schulter.","Leonardo DiCaprio che cammina attraverso una densa giungla, un machete appeso sulla spalla.","Leonardo DiCaprio caminhando por uma densa selva, uma machadinha balançada sobre o seu ombro.",9674
