Original,Spanish,French,German,Italian,Portuguese,Index
Luigi is fighting a giant Goomba in the middle of a dark and stormy night.,Luigi está luchando contra un gigante Goomba en medio de una noche oscura y tormentosa.,Luigi se bat contre un géant Goomba au milieu d'une nuit sombre et orageuse.,Luigi kämpft gegen einen riesigen Goomba in der Mitte eines dunklen und stürmischen Nachts.,Luigi sta combattendo un gigante Goomba nel mezzo di una notte buia e tempestosa.,O Luigi está lutando contra um Goomba gigante no meio de uma noite escura e tempestuosa.,1824
Luigi riding a ghostly train through a misty forest.,Luigi viajando en un tren fantasmal a través de un bosque brumoso.,Luigi chevauchant un train fantomatique à travers une forêt brumeuse.,Luigi fährt auf einem geisterhaften Zug durch einen nebligen Wald.,Luigi che viaggia su un treno spettrale attraverso una foresta nebbiosa.,Luigi dirigindo um trem fantasmagórico através de uma floresta em névoa.,409
"""A Luigi with a large beard, wearing a yellow shirt and holding a green lantern, standing in front of a dark forest with trees that seem to tower over him.""","""Un Luigi con una gran barba, vestido con una camisa amarilla y sosteniendo una linterna verde, de pie frente a un bosque oscuro con árboles que parecen sobresalir sobre él.""","""Un Luigi aux cheveux longs, portant une chemise jaune et tenant une lanterne verte, debout devant une forêt sombre avec des arbres qui semblent lui dépasser.""","Ein Luigi mit einem großen Bart, der ein gelbes Hemd trägt und einen grünen Leuchter in der Hand hält, steht vor einem dunklen Wald mit Bäumen, die über ihn aufragen.","""Un Luigi con una barba lunga, indossa una camicia gialla e tiene una lanterna verde, in piedi davanti a una foresta oscura con alberi che sembrano sovrastarlo.""","""Um Luigi com uma grande barba, vestindo uma camisa amarela e segurando uma lanterna verde, parado em frente a uma floresta escura com árvores que parecem erguer-se sobre ele.""",4506
"""Luigi leaning against a worn brick wall, his cap slightly askew, in a dimly lit alleyway at dusk.""","""Luigi apoyado contra una pared de ladrillos gastados, su gorra ligeramente despeinada, en un pasillo iluminado débilmente a la caída del sol.""","Luigi appuyé contre un mur de briques usées, son chapeau légèrement décalé, dans une ruelle sombre à la tombée de la nuit.","Luigi lehnt sich an eine abgenutzte Ziegelmauer, sein Hut ist leicht schräg gestellt, in einem dunkel beleuchteten Gäßchen am Abend.","Luigi appoggiato a un muro di mattoni scrostati, il cappello leggermente storto, in un vicolo buio illuminato da una luce crepuscolare.","""Luigi apoiado contra uma parede de tijolos desgastada, seu chapéu ligeiramente desalinhado, em um beco escuro à hora do entardecer.""",4012
Luigi grinning mischievously as he pulls out a Warp Pipe from behind a secret door in a hidden castle.,Luigi sonriendo con una mirada traviesa mientras saca una tubería de Warp desde detrás de una puerta secreta en un castillo escondido.,Luigi sourit malicieusement en sortant un Tuyau de Décalage d'un derrière une porte secrète dans un château caché.,"Luigi grinst verschmitzt, während er aus einem verborgenen Schloss einen Warp-Rohr hervorzieht, das hinter einem geheimen Tor verborgen ist.",Luigi sorride maliziosamente mentre estrae una Pipe di Warp da dietro una porta segreta in un castello nascosto.,Luigi sorrindo maliciosamente enquanto puxa uma Canalha de Guerra de atrás de uma porta secreta em um castelo escondido.,3657
"""Luigi's hands are stained with soot as he repairs a vintage, copper, steam engine.""","""Las manos de Luigi están manchadas de hollín mientras reparaba un motor de vapor de cobre vintage.""",Les mains de Luigi sont tachées de suie tandis qu'il répare un moteur à vapeur en cuivre d'époque.,"""Luigis Hände sind mit Ruß befleckt, während er ein altes, kupfernes Dampfmaschinenteil repariert.""","Le mani di Luigi sono macchiate di fuliggine mentre ripara un motore a vapore d'epoca, in rame.",As mãos de Luigi estão manchadas de fuligem enquanto ele conserta um motor a vapor vintage de cobre.,2286
"""Luigi in a futuristic spacesuit, walking on the surface of Mars.""","""Luigi en un traje espacial futurista, caminando sobre la superficie de Marte.""","""Luigi portant un costume de protection spatiale futuriste, marchant sur la surface de Mars.""","""Luigi in einem futuristischen Raumanzug, auf der Oberfläche des Mars geht.""","""Luigi in un abito spaziale futuristico, cammina sulla superficie di Marte.""","""Luigi em uma espaçonave futurista, caminhando na superfície de Marte.""",1679
"""Luigi holding a large, worn-out hammer in a cluttered, vintage hardware store.""","""Luigi sosteniendo un gran martillo desgastado en una tienda de herramientas de época atestada.""","""Luigi tenant un grand marteau usé dans un magasin d'outillage vintage encombré.""","""Luigi hält einen großen, abgenutzten Hammer in einem überfüllten, antiken Werkzeugladen.""","""Luigi che tiene in mano un grande, usurato martello in un negozio di ferramenta vintage affollato.""","""Luigi segurando um grande martelo desgastado em uma loja de ferramentas vintage lotada.""",8935
"""A soft, warm light casts a cozy glow on Luigi's happy face as he sits by a crackling fireplace.""","""Una suave y cálida luz proyecta una cálida iluminación en la feliz cara de Luigi mientras se sienta junto a una chimenea crepitante.""",Une lumière douce et chaude éclaire le visage heureux de Luigi tandis qu'il s'assoit près d'une cheminée crépitante.,"Ein weiches, warmes Licht wirft einen gemütlichen Schein auf Luigis glückliches Gesicht, während er bei einem knackenden Kaminfeuer sitzt.",Una luce morbida e calda proietta un caldo bagliore sul viso felice di Luigi mentre si siede accanto a un camino crepitante.,"""Uma luz suave e aconchegante projeta uma luz acolhedora no rosto feliz de Luigi enquanto ele se senta junto a uma lareira crepitante.""",1424
"""Luigi stands on a mushroom, balancing with one foot while holding a green cap on the other.""","""Luigi se sostiene sobre un hongo, equilibrándose con un pie mientras sostiene un sombrero verde con el otro.""","Luigi se tient debout sur un champignon, en équilibre sur un pied tandis que l'autre soutient un chapeau vert.","""Luigi steht auf einem Pilz, wobei er mit einem Fuß das Gleichgewicht hält und mit dem anderen einen grünen Hut festhält.""","Luigi si trova in cima a un funghetto, bilanciandosi con un piede mentre tiene il cappello verde con l'altro.","""Luigi está em cima de um cogumelo, equilibrando-se com um pé enquanto segura um chapéu verde com o outro.""",9674
