Original,Spanish,French,German,Italian,Portuguese,Index
"Paul Cézanne's river landscape, where the gentle current reflects the colors of the surrounding hills, and a rustic bread cart stands idle on the riverbank.","El paisaje fluvial de Paul Cézanne, donde el suave caudal refleja los colores de las colinas circundantes, y una carreta de pan rústico se encuentra inactiva en la orilla del río.","Le paysage fluvial de Paul Cézanne, où le courant doux reflète les couleurs des collines environnantes, et un chariot de pain rustique reste immobile sur la rive.","Paul Cézannes Flusslandschaft, in der der sanfte Wasserlauf die Farben der umgebenden Hügel reflektiert und ein rustikaler Brotwagen still auf dem Ufer steht.","Il paesaggio fluviale di Paul Cézanne, dove il gentile corso dell'acqua riflette i colori delle colline circostanti, e una carriola di pane rustico si trova inattiva sulla riva del fiume.","O paisagem fluvial de Paul Cézanne, onde a suave corrente reflete as cores das colinas circundantes, e uma carroça de pão caseiro permanece inativa na margem do rio.",1824
"A still life of oranges, set against a warm, golden background, the colors rich and inviting, in the style of Paul Cézanne's Provençal still lifes.","Un still life de naranjas, situado contra un fondo cálido y dorado, los colores ricos e invitadores, en el estilo de los still lifes provenzales de Paul Cézanne.","Un paysage still de oranges, placé face à un fond chaud et doré, les couleurs riches et invitant, dans le style des paysages still de Provençal de Paul Cézanne.","Ein Stillleben von Orangen, gegen einen warmen, goldenen Hintergrund gesetzt, die Farben reich und einladend, im Stil von Paul Cézannes provenzalischen Stillleben.","Un still life di arance, impostato su un fondo caldo, dorato, i colori ricchi e invitanti, nello stile dei still life provenzali di Paul Cézanne.","Um still life de laranjas, colocado contra um fundo quente e dourado, as cores ricas e convidativas, no estilo das still lifes provençais de Paul Cézanne.",409
"In the style of Paul Cézanne, a boulder is depicted as a monumental, earthy form, set against a vibrant blue sky.","A la manera de Paul Cézanne, un bloque de piedra se representa como una forma monumental y terrenal, ubicado frente a un cielo azul vibrante.","Dans le style de Paul Cézanne, un rocher est représenté sous forme monumentale et terrestre, placé contre un ciel bleu vif.","Im Stil von Paul Cézanne wird ein Felsen als monumentales, irdisches Formenwerk dargestellt, gegen einen lebhaften blauen Himmel abgesetzt.","In stile di Paul Cézanne, un masso roccioso è rappresentato come una forma monumentale e terrestre, impostato di fronte a un cielo azzurro vibrante.","No estilo de Paul Cézanne, uma rocha é representada como uma forma monumental e terrestre, colocada contra um céu azul vibrante.",4506
"A group of boulders, set amidst a tangle of vines, with a few oranges scattered about, as seen in the style of Paul Cézanne.","Un grupo de rocas, colocado en medio de una enredadera de vides, con unos pocos naranjos dispersos, visto en el estilo de Paul Cézanne.","Un groupe de blocs de pierre, placé au milieu d'une enchevêtrement de vignes, avec quelques oranges éparses, tels que vus dans le style de Paul Cézanne.","Ein Gruppe von Felsbrocken, inmitten eines Dornengewirrs, mit einigen Orangen verteilt, wie in der Art von Paul Cézanne dargestellt.","Un gruppo di massi, collocati in mezzo a un intrico di viti, con pochi arance sparse intorno, visto nel stile di Paul Cézanne.","Um grupo de rochas, colocado em meio a um emaranhado de videiras, com algumas laranjas espalhadas por aqui, visto no estilo de Paul Cézanne.",4012
"A landscape of a forest, painted in the style of Paul Cézanne, with a focus on the play of light and the textures of the trees.","Un paisaje de un bosque, pintado en el estilo de Paul Cézanne, con un enfoque en el juego de la luz y las texturas de los árboles.","Un paysage de forêt, peint dans le style de Paul Cézanne, mettant l'accent sur le jeu de la lumière et les textures des arbres.","Ein Landschaftsbild eines Waldes, gemalt im Stil von Paul Cézanne, mit einem Schwerpunkt auf dem Spiel des Lichts und den Texturen der Bäume.","Un paesaggio di un bosco, dipinto nel stile di Paul Cézanne, con un focus sull'alternarsi delle luci e sui tessuti delle piante.","Um cenário de uma floresta, pintado no estilo de Paul Cézanne, com foco na jogos de luz e nos texturas das árvores.",3657
"A group of peasants strolling along a riverbank in the Paul Cézanne style, surrounded by wildflowers and the soft light of a summer day.","Un grupo de campesinos paseando junto a una orilla de río en estilo de Paul Cézanne, rodeados de flores silvestres y la suave luz de un día de verano.","Un groupe de paysans se promenant le long d'une rive de rivière, dans le style de Paul Cézanne, entourés de fleurs sauvages et de la douce lumière d'une journée d'été.","Eine Gruppe von Bauern spaziert entlang eines Flussufers im Stil von Paul Cézanne, umgeben von Wildblumen und dem weichen Licht eines Sommer tags.","Un gruppo di contadini che passeggiavano lungo una riva di fiume, in stile Paul Cézanne, circondati da fiori selvatici e dalla luce soffice di un giorno d'estate.","Um grupo de camponeses passeando ao longo da margem de um rio, no estilo de Paul Cézanne, cercados por flores silvestres e a suave luz de um dia de verão.",2286
"Oranges arranged in a vase on a rustic stone table, captured in the style of Paul Cézanne, with a emphasis on the play of light on their peels.","Naranjas dispuestas en un jarrón sobre una mesa de piedra rustica, capturadas en el estilo de Paul Cézanne, con un énfasis en el juego de la luz sobre sus cáscaras.","Des oranges disposées dans un vase sur une table de pierre rustique, capturées dans le style de Paul Cézanne, mettant l'accent sur le jeu de la lumière sur leurs peaux.","Orangen, in einem Vasen angeordnet, auf einem rustikalen Steintisch, im Stil von Paul Cézanne gefangen, mit Schwerpunkt auf dem Spiel des Lichts auf ihren Schalen.","Arance disposte in un vaso su una tavola di pietra rustica, catturate nello stile di Paul Cézanne, con enfasi sul gioco della luce sulle loro buccie.","Laranjas dispostas em uma vaso sobre uma mesa de pedra rústica, capturadas no estilo de Paul Cézanne, com ênfase no jogo de luz sobre suas cascas.",1679
"In the manner of Paul Cézanne, a simple wooden tabletop is adorned with a few choice objects, including a vase and a book, set against a rustic backdrop.","De manera similar a Paul Cézanne, una mesa de madera simple está adornada con unos pocos objetos elegidos, incluyendo un jarrón y un libro, colocados frente a un fondo rústico.","De la manière de Paul Cézanne, une simple table en bois est ornée de quelques objets soigneusement choisis, notamment un vase et un livre, placés devant un décor rustique.","Im Stil von Paul Cézanne ist ein einfacher Holztisch mit wenigen ausgewählten Gegenständen, darunter ein Vasen und ein Buch, gegen einen rustikalen Hintergrund gestellt.","Nello stile di Paul Cézanne, un semplice tavolo in legno è adornato da pochi oggetti scelti, tra cui un vaso e un libro, posizionati di fronte a un paesaggio rustico.","De maneira de Paul Cézanne, uma simples mesa de madeira é adornada com alguns objetos escolhidos, incluindo uma vasilha e um livro, colocados contra um cenário rústico.",8935
"A few apples on a stone tabletop, painted in the loose, expressive brushstrokes of a Paul Cézanne landscape.","Un par de manzanas sobre una mesa de piedra, pintadas en toscos y expresivos pinceladas de un paisaje de Paul Cézanne.","Un peu d'apples sur une table en pierre, peint en larges et expressives pincées de pinceau d'un paysage de Paul Cézanne.","Einige Äpfel auf einem Steinsockel, gemalt mit den locker, expressiven Pinselstrichen eines Paul Cézanne-Landschafts.","Un paio di mele su un tavolo di pietra, dipinte con pennellate libere e espressive tipiche di un paesaggio di Paul Cézanne.","Poucas maçãs em uma mesa de pedra, pintadas em pinceladas largas e expressivas, como um cenário de paisagem de Paul Cézanne.",1424
"In the style of Paul Cézanne, a still life of a few, scattered, autumn leaves, a worn, wooden basket, and a simple, stone path, all set against the rugged beauty of a mountain.","En el estilo de Paul Cézanne, un paisaje de still vida de algunas, hojas de otoño dispersas, una canasta de madera desgastada, y un sendero de piedra simple, todo situado frente a la belleza áspera de una montaña.","Dans le style de Paul Cézanne, un paysage still de quelques feuilles d'automne éparpillées, un panier en bois usé, et un chemin simple en pierre, tous mis en scène contre la beauté sauvage d'une montagne.","Im Stil von Paul Cézanne: Ein Stillleben mit wenigen, verstreuten, herbstlichen Blättern, einem abgenutzten, holzernen Korb und einem einfachen, steinernen Pfad, alles gegen den rauhen Reiz eines Berges abgesetzt.","Nello stile di Paul Cézanne, un paesaggio still di poche, sparpagliate foglie autunnali, un vecchio cesto di legno, e un semplice sentiero di pietra, tutti impostati contro la maestosità ruvida di una montagna.","No estilo de Paul Cézanne, um still life de algumas folhas de outono espalhadas, uma cesta de madeira usada, e um caminho simples de pedra, tudo colocado contra a beleza áspera de uma montanha.",9674
