Original,Spanish,French,German,Italian,Portuguese,Index
"A surrealist still life of melting clocks and scattered playing cards, in the style of Dalí and Picasso.","Un still life surrealista de relojes derretidos y cartas de juego dispersas, en el estilo de Dalí y Picasso.","Un paysage de style surréaliste à la manière de Dalí et Picasso, composé de horloges fondantes et de cartes de jeu éparpillées.","Ein surrealistisches Stillleben mit schmelzenden Uhren und verstreuten Kartenspielen, im Stil von Dalí und Picasso.","Un paesaggio still life surrealista di orologi che si sciolgono e carte da gioco sparse, ispirato allo stile di Dalí e Picasso.","Um still life surrealista de relógios derretidos e cartas de jogo espalhadas, no estilo de Dalí e Picasso.",1824
"A woman with a broken mask, Picasso style, surrounded by fragmented mirrors.","Una mujer con una máscara rota, estilo Picasso, rodeada de espejos fragmentados.","Une femme avec un masque brisé, style Picasso, entourée de miroirs fragmentés.","Eine Frau mit gebrochenem Masken, Picasso-Stil, umgeben von fragmentierten Spiegeln.","Una donna con una maschera rotta, stile Picasso, circondata da specchi frammentati.","Uma mulher com uma máscara quebrada, estilo Picasso, rodeada por espelhos fragmentados.",409
A surrealist cat in a cubist landscape with melting clocks and distorted furniture.,Un gato surrealista en un paisaje cubista con relojes fundidos y muebles distorsionados.,Un chat surréaliste dans un paysage cubiste avec des horloges fondantes et des meubles déformés.,Ein surrealistischer Kater in einem kubistischen Landschaft mit schmelzenden Uhren und verzerrter Möbel.,Un gatto surrealista in un paesaggio cubista con orologi che si sciolgono e arredamento distorto.,Um gato surrealista em um paisagem cubista com relógios derretidos e móveis distorcidos.,4506
"A Cubist city street at night, with a figure in a silver domino mask walking towards a neon-lit sign in the distance.","Una calle urbana en estilos cubistas por la noche, con una figura con máscara de domino de plata caminando hacia un letrero iluminado con neón en la distancia.","Une rue de ville cubiste la nuit, avec une figure portant un masque de domino argenté marchant vers un panneau éclairé en néon à l'horizon.","Ein Kubistischer Stadtstraße bei Nacht, mit einer Figur in einem silbernen Domino-Maske, die sich einem in der Ferne leuchtenden Neon-Schild zuwendet.","Una strada cittadina cubista di notte, con una figura in un domino d'argento mascherato che si avvicina a un cartello a neon in lontananza.","Uma rua de cidade Cubista à noite, com uma figura em máscara de domino prateado caminhando em direção a um letreiro neon iluminado na distância.",4012
"A portrait of a man with a distorted body, inspired by the Cubist works of Picasso, where multiple angles converge.","Un retrato de un hombre con un cuerpo distorsionado, inspirado en las obras cubistas de Picasso, donde múltiples ángulos se unen.","Un portrait d'un homme avec un corps déformé, inspiré des œuvres cubistes de Picasso, où plusieurs angles se croisent.","Ein Portrait eines Mannes mit einem verzerrten Körper, inspiriert von den Kubistischen Werken von Picasso, wo sich mehrere Winkel konvergieren.","Un ritratto di un uomo con un corpo distorto, ispirato dalle opere Cubiste di Picasso, dove convergono angoli multipli.","Um retrato de um homem com um corpo distorcido, inspirado nas obras cubistas de Picasso, onde múltiplos ângulos convergem.",3657
"A surrealist still life of a theater's ornate chandelier, its crystals and glass fragments refracting light into a kaleidoscope of colors, as a nearby bouquet of flowers dissolves into a Cubist abstraction.","Un still life surrealista de la ornamentada lámpara de un teatro, sus cristales y fragmentos de vidrio refractan la luz en un abanico de colores, mientras que una cerca florera se disuelve en una abstracción cubista.","Un paysage de style surréaliste d'une chandelle théâtrale ornementée, ses cristaux et ses fragments de verre faisant réfracter la lumière dans un miroir de couleurs, tandis qu'un bouquet de fleurs proche se dissout en une abstraction cubiste.","Ein surrealistisches Stillleben eines Theaterbaus mit einem aufwändigen Kronleuchter, dessen Kristalle und Glasstücke das Licht in ein Kaleidoskop von Farben brechen, während sich ein nahegelegener Blumenstrauß in eine kubistische Abstraktion auflöst.","Un paesaggio still di un surrealista di un teatro di un lampadario ornamentale, i suoi cristalli e frammenti di vetro che rifrangono la luce in un mosaico di colori, mentre un bouquet di fiori vicino si dissolve in un'astrazione cubista.","Uma paisagem de estilo surrealista de um lustre ornado de teatro, seus cristais e fragmentos de vidro refratando a luz em um caos de cores, enquanto uma bouquet de flores próximas dissolve-se em uma abstração cubista.",2286
"A still life of a bottle of wine, a glass, and a slice of lemon, depicted in the style of Picasso's Rose Period, with warm colors and gentle lines.","Un still life de una botella de vino, un vaso y una rodaja de limón, representado en el estilo de la época Rosa de Picasso, con colores cálidos y líneas suaves.","Un paysage still d'une bouteille de vin, d'un verre et d'un quart de citron, représenté dans le style de la période Rose de Picasso, avec des couleurs chaudes et des lignes douces.","Ein Stillleben mit einem Weinglas, einem Glas Wein und einer Scheibe Zitrone, dargestellt im Stil Picassos' Rosener Period, mit warmen Farben und sanften Linien.","Un paesaggio still di una bottiglia di vino, un bicchiere e un lemone a fette, dipinto nello stile del Periodo Rosa di Picasso, con colori caldi e linee delicate.","Uma still life de uma garrafa de vinho, um copo e uma fatia de limão, representada no estilo do Período Rosa de Picasso, com cores quentes e linhas suaves.",1679
"A surrealist landscape of a city with multiple perspectives and fragmented forms, in the style of Picasso's 'Guernica'.","Un paisaje surrealista de una ciudad con múltiples perspectivas y formas fragmentadas, en el estilo de 'Guernica' de Picasso.","Un paysage surréaliste de la ville avec plusieurs perspectives et formes fragmentées, dans le style de 'Guernica' de Picasso.","Ein surrealistischer Stadtlandschaft mit mehreren Perspektiven und fragmentierten Formen, im Stil von Picassos 'Guernica'.","Un paesaggio surreale di una città con molteplici prospettive e forme frammentate, nello stile di 'Guernica' di Picasso.","Um paisagem surreal de uma cidade com múltiplas perspectivas e formas fragmentadas, no estilo de 'Guernica' de Picasso.",8935
"A cityscape with skyscrapers that seem to be melting into each other, as if seen through a funhouse mirror, in the style of Picasso's Surrealist experiments.","Un paisaje urbano con rascacielos que parecen fundirse entre sí, como si se viera a través de un espejo de tiro al blanco, en el estilo de las experimentaciones Surrealistas de Picasso.","Un paysage urbain avec des gratte-ciel qui semblent fondre l'un dans l'autre, comme s'ils étaient vus à travers un miroir de funhouse, dans le style des expériences surréalistes de Picasso.","Ein Stadtpanorama mit Wolkenkratzern, die sich wie durch einen Spiegel im Karnevalskabinett ineinander auflösen, im Stil von Picassos surrealistischen Experimenten.","Un paesaggio urbano con grattacieli che sembrano fondersi l'uno nell'altro, come se visto attraverso uno specchio di un parco di divertimenti, nello stile delle sperimentazioni Surrealiste di Picasso.","Paisagem urbana com arranha-céus que parecem derreter um no outro, como se vista através de um espelho de miragem de carnaval, no estilo das experiências Surrealistas de Picasso.",1424
"A woman with a fragmented face, reminiscent of Picasso style, surrounded by swirling clouds of blue and yellow.","Una mujer con una cara fragmentada, reminiscente del estilo de Picasso, rodeada de nubes en espiral de azul y amarillo.","Une femme avec un visage fragmenté, évoquant le style de Picasso, entourée de nuages tourbillonnants de bleu et de jaune.","Eine Frau mit einem fragmentierten Gesicht, an Picasso erinnernd, umgeben von sich drehenden Wolken in Blau und Gelb.","Una donna con un volto frammentato, simile allo stile di Picasso, circondata da nuvole che si muovono in modo vorticoso di blu e giallo.","Uma mulher com um rosto fragmentado, reminiscent do estilo de Picasso, cercada por nuvens em espiral de azul e amarelo.",9674
"A woman's face, dissected into multiple planes, gazes out at a landscape of abstracted trees and a distant cityscape, in the style of Picasso's early work.","El rostro de una mujer, descompuesto en múltiples planos, mira hacia un paisaje de árboles abstractos y una ciudad lejana, en el estilo de la obra temprana de Picasso.","Le visage d'une femme, découpé en multiples plans, contemple un paysage de arbres abstraits et d'une ville lointaine, à l'instar des premières œuvres de Picasso.","Ein Frauenanteil, in mehrere Ebenen zerlegt, blickt in ein Landschaftsbild abstrahierter Bäume und eines entfernten Stadtlandschafts, im Stil von Picassos frühen Werken.","Il volto di una donna, smontato in più piani, guarda fuori un paesaggio di alberi astratti e un paesaggio urbano lontano, nel stile dell'opera iniziale di Picasso.","O rosto de uma mulher, desmembrado em múltiplos planos, olha para um cenário de árvores abstratas e uma paisagem urbana distante, no estilo das primeiras obras de Picasso.",6912
"A surrealist still life featuring a melting, Dalí-esque watermelon, a shattered music box, and a lone, mournful saxophone.","Un still life surrealista que presenta un aguacate derretido, a la usanza de Dalí, una caja de música destrozada y un saxofón solitario y con un aire de duelo.","Un paysage de style surréaliste figurant une pastèque fondue à la manière de Dalí, une boîte à musique éclatée et un saxophone solitaire et mélancolique.","Ein surrealistisches Stillleben, das ein schmelzende, dalí-artige Wassermelone, eine zerbrochene Musikbox und eine einsame, traurige Saxophon zeigt.","Un still life surrealistico che presenta un cetriolo che si scioglie, dallo stile di Dalí, un music box rotto, e un sassofono solitario e melanconico.","Um still life surrealista com uma melancia derretida, Dalí-esque, uma caixa de música quebrada e um saxofone solitário e lamentoso.",520
"A fragmented, abstract landscape of a desert, inspired by the style of Picasso.","Un paisaje desmembrado y abstracto de un desierto, inspirado en el estilo de Picasso.","Un paysage désertique fragmenté et abstrait, inspiré du style de Picasso.","Ein fragmentierter, abstrakter Landschaftsaufbau eines Wüstengebietes, inspiriert vom Stil von Picasso.","Un paesaggio desertico frammentato e astratto, ispirato allo stile di Picasso.","Um cenário fragmentado e abstrato de um deserto, inspirado pelo estilo de Picasso.",488
"Distorted vessels float in a dreamlike sea, inspired by the surrealist works of Dalí meets Picasso.","Barcos distorsionados flotan en un mar onírico, inspirados en las obras surrealistas de Dalí que se encuentran con Picasso.","Des vaisseaux déformés flottent dans une mer onirique, inspirés des œuvres surréalistes de Dalí et Picasso.","Verzerrte Schiffe treiben in einem traumhaften Meer, inspiriert von den surrealistischen Werken von Dalí trifft Picasso.","Le navi deformate galleggiano in un mare onirico, ispirate dalle opere surreali di Dalí incontrano Picasso.","Navios distorcidos flutuam em um mar onírico, inspirados nas obras surrealistas de Dalí e Picasso.",1535
A Cubist still life with fragmented flowers and overlapping planes.,Un still life cubista con flores fragmentadas y planos superpuestos.,Un paysage cubiste avec des fleurs fragmentées et des plans chevauchants.,Ein Kubistisches Stillleben mit fragmentierten Blumen und überlappenden Flächen.,Un nudo cubista con fiori frammentati e piani sovrapposti.,Um still life cubista com flores fragmentadas e planos superpostos.,3582
"A fragmented portrait of a woman with a face that shifts between different emotions, in the style of Picasso.","Un retrato fragmentado de una mujer con una cara que cambia entre diferentes emociones, a la usanza de Picasso.","Un portrait fragmenté d'une femme avec un visage qui change entre différentes émotions, dans le style de Picasso.","Ein fragmentierter Portrait einer Frau mit einem Gesicht, das zwischen verschiedenen Emotionen wechselt, im Stil von Picasso.","Un ritratto frammentato di una donna con un volto che si alterna tra diverse emozioni, nel stile di Picasso.","Um retrato fragmentado de uma mulher com um rosto que muda entre diferentes emoções, no estilo de Picasso.",3811
