Original,Spanish,French,German,Italian,Portuguese,Index
"Geometric shapes and lines in Piet Mondrian style, set against a backdrop of a misty mountain valley.","Formas geométricas y líneas en estilo de Piet Mondrian, colocadas contra un fondo de una valle montañosa embozada.","Formes géométriques et lignes dans le style de Piet Mondrian, placées contre un fond de vallée de montagne brouillonnante.","Geometrische Formen und Linien im Stil von Piet Mondrian, vor dem Hintergrund eines nebligen Bergtals.","Forme geometriche e linee nello stile di Piet Mondrian, posizionate di fronte a un paesaggio di valle montana nebbiosa.","Formas geométricas e linhas no estilo de Piet Mondrian, colocadas contra um fundo de uma vales de montanhas nebulosas.",1824
"A Piet Mondrian style composition featuring a large industrial building, with lines and shapes radiating from its center.","Una composición en estilo Piet Mondrian que muestra un gran edificio industrial, con líneas y formas que irradián desde su centro.","Une composition à la manière de Piet Mondrian mettant en scène un grand bâtiment industriel, avec des lignes et des formes rayonnant de son centre.","Eine Komposition im Stil von Piet Mondrian, die ein großes industriellen Gebäude mit Linien und Formen zeigt, die von seinem Zentrum ausstrahlen.","Una composizione a stile Piet Mondrian che presenta un grande edificio industriale, con linee e forme che si irradiano dal suo centro.","Uma composição no estilo de Piet Mondrian, que apresenta um grande edifício industrial, com linhas e formas irradiando do seu centro.",409
"Piet Mondrian style grid of rectangles and lines, with a large compass dominating the composition.","Un grid de rectángulos y líneas estilo Piet Mondrian, con un gran compás dominando la composición.","Un réseau à la manière de Piet Mondrian composé de rectangles et de lignes, avec une grande boussole dominant la composition.","Ein Piet-Mondrian-Grid aus Rechtecken und Linien, mit einem großen Kompass, der die Komposition dominiert.","Un griglia a stile Piet Mondrian di rettangoli e linee, con un grande quadrante dominante la composizione.","Painel de estilo Piet Mondrian, composto por retângulos e linhas, com um grande compasso dominando a composição.",4506
"A Piet Mondrian-style painting of a mountain range at midday, with a grid of rectangles and lines in shades of gray and blue to represent the peaks and valleys.","Un cuadro en estilo Piet Mondrian de una cordillera montañosa a mediodía, con una malla de rectángulos y líneas en tonos de gris y azul para representar los picos y valles.","Un tableau à la manière de Piet Mondrian représentant une chaîne de montagnes à midi, avec un réseau de rectangles et de lignes en nuances de gris et de bleu pour représenter les sommets et les vallées.","Ein Gemälde im Stil von Piet Mondrian einer Bergkette bei mittäglicher Sonne, mit einem Raster aus Rechtecken und Linien in Grautönen und Blautönen, um die Gipfel und Täler darzustellen.","Un dipinto ispirato allo stile di Piet Mondrian di una catena montuosa a mezzogiorno, con una griglia di rettangoli e linee in tonalità di grigio e blu per rappresentare le vette e le valli.","Uma pintura no estilo de Piet Mondrian de uma cadeia montanhosa ao meio-dia, com uma grade de retângulos e linhas em tons de cinza e azul para representar os picos e vales.",4012
"A vibrant Piet Mondrian style painting of a abstract landscape, with squares and rectangles in shades of purple and pink.","Una pintura vibrante a estilo de Piet Mondrian de un paisaje abstracto, con cuadrados y rectángulos en tonos de púrpura y rosa.","Un tableau vif à l'inspiration de Piet Mondrian d'un paysage abstrait, avec des carrés et des rectangles dans des nuances de pourpre et de rose.","Ein lebendiges Gemälde im Stil von Piet Mondrian einer abstrakten Landschaft, mit Quadern und Rechtecken in Schattierungen von Lila und Rosa.","Un dipinto vibrante nello stile di Piet Mondrian di un paesaggio astratto, con quadrati e rettangoli in tonalità di porpora e rosa.","Uma pintura viva no estilo de Piet Mondrian, de um cenário abstrato, com quadrados e retângulos em tons de rosa e roxo.",3657
A Piet Mondrian style painting featuring a minimalist depiction of a group of boats and clouds in a state of balance.,Un cuadro de estilo Piet Mondrian que muestra una representación minimalista de un grupo de barcos y nubes en un estado de equilibrio.,Un tableau à l'inspiration de Piet Mondrian présentant une représentation minimaliste d'un groupe de bateaux et de nuages dans un état de balance.,"Ein Gemälde im Stil von Piet Mondrian, das eine minimalistische Darstellung eines Gruppen von Booten und Wolken in einem Zustand des Gleichgewichts zeigt.",Un dipinto ispirato allo stile di Piet Mondrian che rappresenta in maniera minimalista un gruppo di barche e nuvole in uno stato di equilibrio.,"Uma pintura no estilo de Piet Mondrian, caracterizada por uma representação minimalista de um grupo de barcos e nuvens em estado de equilíbrio.",2286
"A Piet Mondrian-inspired abstract, featuring a ruler as a bold black line, surrounded by swirling shapes.","Un abstracto inspirado en Piet Mondrian, que presenta una regla como una línea negra oscura, rodeada de formas en espiral.","Un abstract inspiré de Piet Mondrian, comportant une règle en ligne noire audacieuse, entourée de formes en mouvement.","Ein abstraktes Werk, inspiriert von Piet Mondrian, mit einem Lineal als markanter schwarzer Strich, umgeben von sich drehenden Formen.","Un'opera astratta ispirata a Piet Mondrian, che presenta un righello come una linea nera audace, circondato da forme che si muovono in modo caotico.","Uma abstração inspirada em Piet Mondrian, que apresenta uma régua como uma linha negra ousada, cercada por formas em espiral.",1679
"A futuristic city in the style of Piet Mondrian, with a grid of rectangles and a blue and yellow color scheme.","Una ciudad futurista en el estilo de Piet Mondrian, con una red de rectángulos y un esquema de colores azul y amarillo.","Une ville future à l'inspiration de Piet Mondrian, avec un réseau de carrés et un schéma de couleurs bleu et jaune.","Eine futuristische Stadt im Stil von Piet Mondrian, mit einem Gitter aus Rechtecken und einem blau-gelben Farbschema.","Una città futuristica ispirata allo stile di Piet Mondrian, con una griglia di rettangoli e uno schema di colore azzurro e giallo.","Uma cidade futurista no estilo de Piet Mondrian, com uma grade de retângulos e um esquema de cores azul e amarelo.",8935
"In the style of Piet Mondrian, a grid of industrial buildings meets the grid of the mountain range, creating a sense of balance and harmony.","De acuerdo al estilo de Piet Mondrian, una red de edificios industriales se encuentra con la red de la cadena montañosa, creando un sentido de equilibrio y armonía.","Dans le style de Piet Mondrian, un réseau de bâtiments industriels rencontre le réseau de la chaîne de montagnes, créant un sentiment de balance et d'harmonie.","Im Stil von Piet Mondrian treffen sich das Gitter der Industriebauten mit dem Gitter der Bergkette, was eine Atmosphäre der Balance und Harmonie schafft.","Nello stile di Piet Mondrian, un reticolo di edifici industriali incontra il reticolo della catena montuosa, creando un senso di equilibrio e armonia.","Em estilo de Piet Mondrian, uma grade de edifícios industriais se encontra com a grade da cadeia montanhosa, criando um sentimento de equilíbrio e harmonia.",1424
"A stylized Piet Mondrian composition of black lines and geometric shapes, with a cluster of small red and yellow circles scattered across the canvas.","Una composición estilizada de Piet Mondrian de líneas negras y formas geométricas, con un grupo de círculos pequeños y rojos amarillos dispersos por la tela.","Une composition stylisée de Piet Mondrian composée de lignes noires stylisées et de formes géométriques, avec un groupe de petits cercles rouges et jaunes dispersés sur la toile.","Eine stilisierte Piet-Mondrian-Komposition aus schwarzen Linien und geometrischen Formen, mit einem Haufen kleiner roter und gelber Kreise, die über die Leinwand verstreut sind.","Un'opera stilizzata di Piet Mondrian, composta da linee nere stilizzate e forme geometriche, con un gruppo di piccoli cerchi rossi e gialli sparsi sulla tela.","Uma composição estilizada de Piet Mondrian com linhas pretas e formas geométricas, com um grupo de pequenos círculos vermelhos e amarelos espalhados pela tela.",6912
