Original,Spanish,French,German,Italian,Portuguese,Index
"A couple in a coffee shop share a moment, her speech bubble says ""I'm so in love"" in a gradient of pastel colors, reminiscent of Roy Lichtenstein's pop art.","Una pareja en un café comparte un momento, su burbuja de diálogo dice ""Estoy tan enamorada"" en un gradiente de colores pastel, reminiscente del arte pop de Roy Lichtenstein.","Un couple dans une cafétéria partage un moment, son bulle de dialogue dit ""Je suis complètement amoureuse"" dans un gradient de couleurs pastel, rappelant l'art pop de Roy Lichtenstein.","Ein Paar in einem Kaffeehaus teilt einen Moment, ihre Sprachblase sagt ""Ich bin so verliebt"" in einem Gradient aus pastellfarbenen Farben, das an die Pop-Art von Roy Lichtenstein erinnert.","Una coppia in un caffè condivide un momento, il suo balloon dice ""Sono così innamorata"" in un gradiente di colori pastello, ricordando l'arte pop di Roy Lichtenstein.","Um casal em um café compartilha um momento, o balão de fala dela diz ""Eu estou tão apaixonada"" em um gradiente de cores pastéis, reminiscente do pop art de Roy Lichtenstein.",1824
"A group of soldiers in a war-torn city, their faces a mix of fear and sadness in a Roy Lichtenstein style.","Un grupo de soldados en una ciudad asolada por la guerra, sus rostros una mezcla de miedo y tristeza a la manera de Roy Lichtenstein.","Un groupe de soldats dans une ville dévastée par la guerre, leurs visages mélangeant la peur et la tristesse à la manière de Roy Lichtenstein.","Eine Gruppe von Soldaten in einer kriegszerstörten Stadt, ihre Gesichter ein Mix aus Angst und Traurigkeit in einem Roy-Lichtenstein-Stil.","Un gruppo di soldati in una città devastata dalla guerra, i loro volti una miscela di paura e tristezza in stile Roy Lichtenstein.","Um grupo de soldados em uma cidade devastada pela guerra, seus rostos uma mistura de medo e tristeza em estilo Roy Lichtenstein.",409
"A Roy Lichtenstein style comic book panel of a couple sharing a romantic picnic, with a soft green background and text overlay ""Love in the Park"".","Una panel de cómic en estilo Roy Lichtenstein de una pareja compartiendo un pícnic romántico, con un fondo verde suave y texto de sobreimpresión ""Amor en el Parque"".","Un panneau de bande dessinée à la manière de Roy Lichtenstein d'un couple partageant un pique-nique romantique, avec un fond vert doux et un surtexte ""L'amour au parc"".","Ein Comic-Panel im Stil von Roy Lichtenstein, das ein Paar beim romantischen Picknick zeigt, mit einem weichen grünen Hintergrund und Textüberlagerung ""Liebe im Park"".","Un pannello a fumetti stile Roy Lichtenstein di una coppia che condivide un picnic romantico, con un sfondo verde tenero e testo sovrapposto ""Amore nel Parco"".","Um painel de quadrinho no estilo de Roy Lichtenstein de um casal compartilhando um piquenique romântico, com um fundo verde macio e sobreposição de texto ""Amor no Parque"".",4506
"A Roy Lichtenstein style illustration of a woman in a kitchen, speaking to her husband through a speech bubble saying ""I'm making your favorite dinner"".","Una ilustración en estilo de Roy Lichtenstein de una mujer en la cocina, hablando con su esposo a través de una burbuja de diálogo diciendo ""Estoy haciendo tu cena favorita"".","Une illustration à l'inspiration de Roy Lichtenstein d'une femme dans la cuisine, parlant à son mari par une bulle de parole en disant ""Je fais votre dîner préféré"".","Ein Illustration im Stil von Roy Lichtenstein einer Frau in der Küche, die durch einen Sprechblasen zu ihrem Ehemann sagt: ""Ich mache dein Lieblingsessen"".","Un'illustrazione nel stile di Roy Lichtenstein di una donna in cucina, che parla al suo marito attraverso una bolla di dialogo dicendo ""Sto cucinando il tuo piatto preferito"".","Uma ilustração no estilo de Roy Lichtenstein de uma mulher em uma cozinha, falando ao seu marido através de uma bolha de fala dizendo ""Estou preparando o seu jantar favorito"".",4012
"A comic book panel of a man's face, Roy Lichtenstein style, with a look of shock, as he's hit by a giant falling object.","Un panel de cómic de una cara de hombre, estilo Roy Lichtenstein, con una expresión de asombro, ya que ha sido golpeado por un objeto gigante que cae.","Un panneau de bande dessinée d'un visage d'homme, à la manière de Roy Lichtenstein, avec un regard de choc, alors qu'il est frappé par un objet géant en chute libre.","Ein Comic-Panel eines Mannes, im Stil von Roy Lichtenstein, mit einem Ausdruck des Entsetzens, als er von einem riesigen fallen Objekt getroffen wird.","Un pannello di fumetto di un volto di uomo, stile Roy Lichtenstein, con un'espressione di shock, mentre viene colpito da un oggetto gigante che cade.","Painel de uma revista em quadrinhos de um rosto de homem, no estilo de Roy Lichtenstein, com uma expressão de choque, enquanto ele é atingido por um objeto gigante caindo.",3657
"A Roy Lichtenstein style depiction of a war-torn city, with a giant, blue, Ben-Day dotted building in the background and a group of people in the foreground, with speech bubbles saying 'We're under attack'.","Una representación en estilo de Roy Lichtenstein de una ciudad devastada por la guerra, con un edificio gigante de azul, con puntos de Ben-Day en el fondo y un grupo de personas en primer plano, con burbujas de diálogo que dicen 'Estamos bajo ataque'.","Une représentation à l'inspiration de Roy Lichtenstein d'une ville ravagée par la guerre, avec un bâtiment géant bleu pointillé en Ben-Day en arrière-plan et un groupe de personnes en avant-plan, avec des bulles de dialogue disant 'Nous sommes sous attaque'.","Eine Darstellung im Stil von Roy Lichtenstein einer von Krieg gezeichneten Stadt, mit einem riesigen, blauen, Ben-Day-dotierten Gebäude im Hintergrund und einer Gruppe von Menschen im Vordergrund, mit Sprachblasen, die 'Wir werden angegriffen' sagen.","Una rappresentazione nello stile di Roy Lichtenstein di una città devastata dalla guerra, con un edificio gigante azzurro a punti Ben-Day in primo piano e un gruppo di persone in primo piano, con bolle di dialogo che dicono 'Siamo sotto attacco'.","Uma representação no estilo de Roy Lichtenstein de uma cidade devastada pela guerra, com um prédio gigante, azul, com pontos de Ben-Day no fundo e um grupo de pessoas na frente, com balões de fala dizendo 'Estamos sob ataque'.",2286
A cityscape at sunset with skyscrapers and a lone figure standing on the edge in a Roy Lichtenstein style composition with primary colors.,Un paisaje urbano a la puesta del sol con rascacielos y una figura solitaria de pie en la orilla en una composición en estilo Roy Lichtenstein con colores primarios.,"Un paysage urbain à l'heure du coucher du soleil avec des gratte-ciel et une figure seule debout à l'extrémité, dans une composition à l'inspiration de Roy Lichtenstein avec des couleurs primaires.",Ein Stadtpanorama bei Sonnenuntergang mit Hochhäusern und einer allein stehenden Figur auf der Kante in einer Komposition im Stil von Roy Lichtenstein mit Primärfarben.,Un paesaggio urbano al tramonto con grattacieli e una figura isolata in piedi sull'orlo in un'opera di stile Roy Lichtenstein con colori primari.,"Paisagem urbana ao pôr do sol com arranha-céus e uma figura sozinha em pé na beira, em uma composição no estilo de Roy Lichtenstein com cores primárias.",1679
A group of people in the style of Roy Lichtenstein watch in horror as a massive explosion occurs in the city.,Un grupo de personas en el estilo de Roy Lichtenstein observan con horror mientras una gran explosión ocurre en la ciudad.,"Un groupe de personnes, dans le style de Roy Lichtenstein, assiste avec horreur à une explosion massive qui se produit dans la ville.","Eine Gruppe von Menschen im Stil von Roy Lichtenstein beobachtet in Entsetzen, wie in der Stadt eine massive Explosion ausbricht.","Un gruppo di persone, ispirate allo stile di Roy Lichtenstein, guarda con orrore mentre una enorme esplosione si verifica nella città.",Um grupo de pessoas no estilo de Roy Lichtenstein assiste em horror enquanto uma explosão massiva ocorre na cidade.,8935
"A Roy Lichtenstein style comic book panel of a woman in a yellow dress, standing in front of a retro-style movie theater.","Un panel de cómic a la manera de Roy Lichtenstein de una mujer vestida de amarillo, de pie frente a un cine de estilo retro.",Un panneau de bande dessinée à la manière de Roy Lichtenstein d'une femme portant un jupon jaune debout devant un cinéma à l'ancienne.,"Ein Comic-Panel im Stil von Roy Lichtenstein einer Frau in einem gelben Kleid, die vor einem Retro-Kinosaal steht.","Un pannello a fumetti stile Roy Lichtenstein di una donna in abito giallo, in piedi davanti a un cinema d'epoca stile retro.","Um painel de quadrinho no estilo de Roy Lichtenstein de uma mulher vestida de um vestido amarelo, parada em frente a um cinema de estilo retro.",1424
"A group of people in a Roy Lichtenstein style comic book panel, each with a different expression, standing in front of a bright, abstract cityscape at dawn.","Un grupo de personas en un panel de cómic estilo Roy Lichtenstein, cada uno con una expresión diferente, de pie frente a un paisaje urbano abstracto brillante al amanecer.","Un groupe de personnes dans une case de bande dessinée à l'inspiration de Roy Lichtenstein, chacun avec un expression différente, debout devant une ville abstraite lumineuse à l'aube.","Ein Gruppe von Menschen in einem Comic-Panel im Stil von Roy Lichtenstein, jeder mit einem unterschiedlichen Ausdruck, stehen vor einem helleren, abstrakten Stadtlandschaft bei Tagesanbruch.","Un gruppo di persone in un pannello a fumetti stile Roy Lichtenstein, ognuno con un'espressione diversa, in piedi davanti a un paesaggio urbano astratto luminoso all'alba.","Um grupo de pessoas em um painel de quadrinhos estilo Roy Lichtenstein, cada uma com uma expressão diferente, em frente a uma paisagem urbana abstrata brilhante ao amanhecer.",9674
