Original,Spanish,French,German,Italian,Portuguese,Index
"Sonic wearing a pair of roller skates and a colorful outfit, as he zooms through a city park.","Sonic llevando un par de patines de ruedas y un atuendo colorido, mientras se desplaza a gran velocidad por un parque urbano.","Sonic portant un couple de patins à roulettes et un costume coloré, alors qu'il file à travers un parc urbain.","Sonic trägt ein Paar Rollschuhe und ein buntfarbenes Outfit, während er durch einen Stadtpark rast.","Sonic che indossa una paio di pattini a ruote e un abito colorato, mentre si muove a gran velocità attraverso un parco cittadino.","O Sonic usando um par de patins de rola e um uniforme colorido, enquanto zomba através de um parque da cidade.",1824
"Sonic's athletic build and confident stride are set against a dramatic, stormy sea cliff backdrop.",La figura atlética de Sonic y su paso confiado se destacan frente a un fondo de acantilado de costa rocosa dramática y tormentosa.,La silhouette athlétique de Sonic et sa démarche confiante sont mises en avant sur un décor de falaise de grève orageuse.,"Sonic's athletischer Körperbau und selbstsicheres Gehen werden gegen einen dramatischen, stürmischen Klippenhintergrund abgesetzt.","La corporatura atletica e l'andatura sicura di Sonic sono poste di fronte a un drammatico, tempestoso scenario di scogliera marina.",O físico atlético e a passo confiante de Sonic são contrastados com um cenário dramático de penhasco marítimo sob uma tempestade.,409
"Sonic's body is in a tense, coiled pose, his muscles taut as he prepares to spring into action at a moment's notice.","El cuerpo de Sonic se encuentra en una pose tensa y enroscada, sus músculos tensos mientras se prepara para saltar en acción en cualquier momento.","Le corps de Sonic est dans une pose tendue et enroulée, ses muscles tendus alors qu'il se prépare à bondir en action à tout moment.","Sonic befindet sich in einer angespannten, gewundenen Haltung, seine Muskeln sind angespannt, während er bereit ist, auf einen Moment hin in die Aktion zu springen.","Il corpo di Sonic è in una posa tesa, avvolta, i suoi muscoli tesi mentre si prepara a scattare all'azione in un momento di notevole urgenza.","O corpo de Sonic está em uma pose tensa, enrolado, seus músculos tensos enquanto ele se prepara para saltar em ação a qualquer momento.",4506
"A blur of blue and red, Sonic dashes through a crowded city, his messy hair a wild tangle.","Un borrón de azul y rojo, Sonic se desliza a través de una ciudad concurrida, su cabello despeinado es un revoltijo salvaje.","Une éclaboussure de bleu et de rouge, Sonic se faufile à travers une ville encombrée, ses cheveux en broussaille formant un écheveau sauvage.","Ein Wirbel aus Blau und Rot, Sonic rennt durch eine überfüllte Stadt, sein verwuscheltes Haar ein wildes Durcheinander.","Un'esplosione di blu e rosso, Sonic si slancia attraverso una città affollata, i suoi capelli disordinati un intreccio selvaggio.","Um borrão de azul e vermelho, Sonic corre pela cidade lotada, seu cabelo desgrenhado é uma confusão selvagem.",4012
The bold composition of Sonic's pose emphasized his dynamic movement as he leaped through the air.,La composición audaz de la postura de Sonic destacó su movimiento dinámico mientras saltaba por el aire.,La composition audacieuse de la pose de Sonic met en valeur son mouvement dynamique alors qu'il sautait dans les airs.,"Die kraftvolle Komposition von Sonics Pose betonte seine dynamische Bewegung, als er durch die Luft sprang.",La composizione audace della posa di Sonic enfatizzava il suo movimento dinamico mentre saltava nell'aria.,A composição ousada da pose de Sonic enfatizou seu movimento dinâmico enquanto ele saltava pelo ar.,3657
Sonic's confident posture is reflected in a calm lake on a sunny morning.,La postura confiada de Sonic se refleja en un lago sereno en una mañana soleada.,La posture confiante de Sonic est reflétée dans un lac calme le matin d'une journée ensoleillée.,Sonic's selbstsichere Haltung spiegelt sich in einem ruhigen See auf einem sonnigen Morgen wider.,La postura sicura di Sonic è riflesso in un lago calmo all'alba di una mattina soleggiata.,A postura confiante de Sonic é refletida em um lago calmo em uma manhã ensolarada.,2286
"Sonic grins mischievously as he holds up a prized Golden Ring, its bright, shining surface reflecting the light of the setting sun.","Sonic sonríe con una sonrisa traviesa mientras sostiene una preciada Golden Ring, su superficie brillante y resplandeciente refleja la luz del sol poniente.","Sonic esquisse un large sourire malicieux en tenant un Anneau d'Or précieux, sa surface brillante et éclatante reflétant la lumière du soleil couchant.","Sonic grinst verschmitzt, während er ein hoch geschätztes Goldener Ring hochhält, dessen helle, glänzende Oberfläche das Licht des untergehenden Sonnenlichts widerspiegelt.","Sonic sorride con un'aria maliziosa mentre tiene sollevato un prezioso Anello d'Oro, la sua superficie brillante e lucente riflette la luce del sole che tramonta.","O Sonic sorri maliciosamente enquanto segura um anel dourado valioso, sua superfície brilhante e reluzente refletindo a luz do sol poente.",1679
"Sonic sporting a pair of sunglasses, sitting on a rock overlooking a serene lake with a fish swimming nearby.","Sonic llevando un par de gafas de sol, sentado sobre una roca con vistas a un lago sereno con un pez nadando cerca.","Sonic portant une paire de lunettes de soleil, assis sur une roche dominant un lac calme avec un poisson nageant à proximité.","Sonic trägt eine Sonnenbrille und sitzt auf einem Felsen, der über einen stillen See mit einem schwimmenden Fisch aussieht.","Sonic che indossa un paio di occhiali da sole, seduto su una roccia che sovrasta un lago sereno con un pesce che nuota nelle vicinanze.","Sonic vestindo um par de óculos de sol, sentado em uma rocha olhando para um lago sereno com um peixe nadando perto.",8935
Sonic's facial structure is reflected in the calm waters of a lake as he stands on the shore with a fishing rod.,La estructura facial de Sonic se refleja en las aguas tranquilas de un lago mientras se encuentra en la orilla con una caña de pescar.,La structure faciale de Sonic est reflétée dans les eaux calmes d'un lac alors qu'il se tient sur la rive avec un rod d'aviron.,"Sonic's Gesichtsstruktur wird im stillen Wasser eines Sees widergespiegelt, während er am Ufer steht und ein Angelruten in der Hand hält.",La struttura facciale di Sonic è riflesso nelle acque calme di un lago mentre si trova sulla riva con una canna da pesca.,A estrutura facial do Sonic é refletida nas águas calmas de um lago enquanto ele permanece na margem com um caniço de pesca.,1424
Sonic's emerald green shoes leave deep impressions in the mud as he runs through a swampy wetland.,Los zapatos de verde esmeralda de Sonic dejan profundas impresiones en el barro mientras corre por un humedal pantanoso.,Les chaussures vert émeraude de Sonic laissent des empreintes profondes dans la boue alors qu'il court à travers un marécage humide.,"Sonic's smaragdgrüne Schuhe hinterlassen tiefere Eindrücke im Schlamm, als er durch ein sumpfiges Feuchtgebiet rennt.",I scarpe verdi smeraldo di Sonic lasciano profonde impronte nel fango mentre corre attraverso un'area paludosa e umida.,"As Sonic corre por uma área úmida de brejo, seus sapatos de verde esmeralda deixam profundas impressões na lama.",9674
