Original,Spanish,French,German,Italian,Portuguese,Index
"""Stitch sitting at a desk, wearing a pair of scuffed up sneakers, with a cluttered office background and a few papers scattered about.""","""Llámalo sentado en una mesa, con un par de zapatillas desgastadas, ante un fondo de oficina desordenada y algunos papeles esparcidos por aquí y allá.""","Stitch assis à un bureau, portant une paire de chaussures usées, avec un fond d'office encombré et quelques papiers éparpillés autour de lui.","Stitch sitzt an einem Schreibtisch, trägt ein Paar abgetrampelter Sportshoes, mit einem verwahrlosten Bürohintergrund und ein paar Papierfetzen herumliegen.","Stitch seduto alla scrivania, indossando una paio di scarpe da ginnastica sbiadite, con un background di ufficio ingombro e alcuni fogli sparsi qua e là.","Lilo sentada em uma mesa, vestindo um par de tênis desgastados, com um fundo de escritório desarrumado e alguns papéis espalhados por ali.",1824
Stitch curled up in a ball on a soft patch of grass in a moonlit forest clearing.,Stitch se arrolló en una bola en una suave mancha de hierba en un claro de bosque bajo la luz de la luna.,Stitch s'est enroulé en boule sur un tas de gazon doux dans une clairière de forêt éclairée par la lune.,Stich rollte sich zu einer Kugel zusammen auf einem weichen Grasfleck in einem von der Mondlicht beleuchteten Waldlichtung.,Stitch si è arrotolato in una palla su un morbido tappeto d'erba in una radura di un bosco illuminata dalla luna.,Stitch enrolou-se em uma bola em uma macia mancha de grama em uma clareira de floresta iluminada pela lua.,409
"""Stitch in a cozy cabin, wearing a pair of slippers and holding a warm cup of coffee.""","""Costurando en una cabaña acogedora, vistiendo un par de zapatillas y sosteniendo una taza de café tibio.""","""Tricoter dans une cabane accueillante, en portant un paire de pantoufles et tenant un bol de café chaud.""","""In einem gemütlichen Hüttenzimmer nähen, während man sich in Schlappen bequemlich bekleidet und einen warmen Kaffee in der Hand hält.""","""Aggiustare un cucito in una cabina accogliente, indossando un paio di ciabatte e tenendo in mano una tazza di caffè caldo.""","Costurar em uma cabana acolhedora, usando um par de chinelos e segurando uma xícara de café quente.",4506
"""Stitch operating a helicopter, flying over a dense forest.""","Stitch operando un helicóptero, volando sobre una densa selva.","Stitch pilotant un hélicoptère, volant au-dessus d'une forêt dense.","Stitch betreibt einen Hubschrauber, der über einem dichten Wald fliegt.","Stitch che opera un elicottero, in volo sopra una foresta densa.","Stitch operando um helicóptero, voando sobre uma densa floresta.",4012
"""Stitch walking through a dense, misty forest, his footsteps quiet on the damp earth.""","Stitch caminando a través de un bosque denso y brumoso, sus pasos silenciosos sobre la tierra húmeda.","Stitch se promenant à travers une forêt dense et brumeuse, ses pas silencieux sur la terre humide.","Stich geht durch einen dichten, nebligen Wald, seine Schritte leise auf dem feuchten Boden.","""Stitch che cammina attraverso una foresta fitta e nebbiosa, i suoi passi silenziosi sulla terra umida.""","Stitch caminhando por uma floresta densa e nebulosa, seus passos silenciosos sobre a terra úmida.",3657
"""A Stitch in a sleek black business suit, his expression a mix of intensity and focus, sits at a high-powered executive desk.""","""Un hilo en un elegante traje de chaqueta negro, su expresión una mezcla de intensidad y concentración, se sienta en una mesa de escritorio ejecutiva de alta potencia.""","""Un point dans un costume noir élégant, son expression une mélange d'intensité et de concentration, est assis à un bureau d'executif hautement puissant.""","Ein Faden in einem schicken schwarzen Businessanzug, seine Miene ein Mix aus Intensität und Konzentration, sitzt an einem hochkarätigen Executive-Tisch.","""Un filo in un elegante completo nero di lavoro, la sua espressione una mescolanza di intensità e concentrazione, si siede alla scrivania di un alto dirigente.""","""Um fio em um terno preto elegante, sua expressão uma mistura de intensidade e foco, senta-se em uma mesa de diretor executivo de alto poder.""",2286
"""Stitch on a tropical island, waving his hand in excitement as he looks out at the turquoise ocean.""","""Stitch en una isla tropical, ondea su mano con emoción mientras mira hacia el océano turquesa.""","Stitch sur une île tropicale, agitant la main avec enthousiasme en regardant l'océan turquoise.","Stitch auf einer tropischen Insel, wobei er mit der Hand winkt, als er auf das turkisblaue Meer hinaussieht.","""Stitch si trova su un'isola tropicale, agitando la mano con entusiasmo mentre guarda l'oceano azzurro.""","Stitch em uma ilha tropical, balançando a mão em excitação enquanto olha para o oceano turquesa.",1679
"""A look of quiet contemplation settled over Stitch's face as he sat cross-legged on a grassy hill, watching the sunset.""","Una mirada de contemplación silenciosa se asentó en el rostro de Stitch mientras se sentaba en cuclillas en una colina de hierba, observando el atardecer.","Un regard de contemplation calme s'est installé sur le visage de Stitch alors qu'il s'assit en tailleur sur une colline herbeuse, regardant le coucher du soleil.","Ein Ausdruck tiefer Besinnlichkeit legte sich über Stichs Gesicht, als er sich auf einem grünen Hügel kreuzbeinig niederließ und dem Sonnenuntergang zusah.","Un'espressione di contemplazione silenziosa si stabilì sul volto di Stitch mentre si sedeva in ginocchio su una collina erbosa, guardando il tramonto.","Uma expressão de contemplação silenciosa se assentou sobre o rosto de Stitch enquanto ele se sentou cross-legged em uma colina de grama, assistindo ao pôr do sol.",8935
"""A single, glowing string of fairy lights casts a magical glow over Stitch as he sits on a quiet, moonlit beach, his feet dangling in the water.""","Una sola cadena de luces de hadas brillante arroja una magia resplandor sobre Stitch mientras se sienta en una playa tranquila, bajo la luz de la luna, con sus pies colgando en el agua.","Une seule et lumineuse chaîne de lumières de fée jette un éclat magique sur Stitch alors qu'il est assis sur une plage calme, sous la lune, ses pieds pendaient dans l'eau.","Ein einzelner, leuchtender Faden an Feuermalen wirft einen zauberhaften Schein über Stitch, während er auf einer stillen, von Mondlicht erhellenen Strand sitzt, mit den Füßen im Wasser hängend.","Una singola, luminosa striscia di luci da fiaba getta un'aura magica su Stitch mentre si siede su una tranquilla spiaggia lunare, i piedi che penzolano sull'acqua.","""Uma única, brilhante corda de luzes de fada projeta uma magia sobre Stitch enquanto ele se senta em uma praia calma, iluminada pela lua, seus pés balançando na água.""",1424
Stitch leaning against a palm tree with a charming scruffy beard.,Stitch apoyándose en un palmera con una encantadora barba desaliñada.,Stitch appuyé contre un palmier avec une charmante barbe hirsute.,"Stitch lehnt sich an einen Palmenbaum mit einem charmanten, struppigen Bart.",Stitch appoggiato a un albero di palma con una barba ruvida affascinante.,Stitch apoiado em uma palmeira com um bigode encantador e desleixado.,9674
