Original,Spanish,French,German,Italian,Portuguese,Index
Taylor Swift having a heart-to-heart conversation with her grandmother in a quiet garden.,Taylor Swift teniendo una conversación de corazón a corazón con su abuela en un jardín tranquilo.,Taylor Swift engageant une conversation intime avec sa grand-mère dans un jardin calme.,Taylor Swift hält ein offenes Gespräch mit ihrer Großmutter in einem stillen Garten.,Taylor Swift che ha una conversazione a cuore aperto con sua nonna in un giardino tranquillo.,Taylor Swift tendo uma conversa íntima com sua avó em um jardim tranquilo.,1824
Taylor Swift wearing a pair of vintage-inspired sunglasses with brightly colored frames.,Taylor Swift luciendo un par de gafas de sol inspiradas en la época de antigüedad con marcos de colores brillantes.,Taylor Swift portant une paire de lunettes de soleil à inspiration vintage avec des montures de couleur vive.,Taylor Swift trägt ein Paar Vintage-Design-Sonnenbrille mit leuchtenden Farbrahmen.,Taylor Swift indossa un paio di occhiali da sole ispirati al vintage con montature di colore acceso.,Taylor Swift usando um par de óculos de sol inspirados na moda vintage com lentes de frames coloridos.,409
Taylor Swift walking through a snow-covered forest with a microphone in hand and a sense of peacefulness.,Taylor Swift caminando por un bosque cubierto de nieve con un micrófono en la mano y un sentido de tranquilidad.,Taylor Swift marchant à travers une forêt recouverte de neige avec un micro à la main et un sentiment de tranquillité.,Taylor Swift geht durch einen schneebedeckten Wald mit einem Mikrofon in der Hand und einem Gefühl der Ruhe.,Taylor Swift che cammina attraverso una foresta coperta di neve con un microfono in mano e un senso di pacatezza.,Taylor Swift caminhando por uma floresta coberta de neve com um microfone na mão e um sentimento de tranquilidade.,4506
"Taylor Swift standing on a cliff overlooking a vast ocean, her long hair blowing in the breeze.","Taylor Swift de pie en una peña dominando un vasto océano, su cabello largo ondeando al viento.","Taylor Swift debout sur une falaise dominant une vaste mer, ses cheveux longs se balançant au vent.","Taylor Swift steht auf einem Felsen und blickt über einen weiten Ozean, ihr langes Haar weht im Wind.","Taylor Swift in piedi su una scogliera che domina un vasto oceano, i suoi lunghi capelli che si muovono al vento.","Taylor Swift parada em uma ponta de penhasco olhando para um vasto oceano, seu cabelo longo balançando ao vento.",4012
"Taylor Swift's hands wrapped around a steaming, golden cup of coffee as she sits at a cluttered, vintage desk, scribbling lyrics in a worn leather journal.","Las manos de Taylor Swift se envuelven alrededor de una taza de café humeante y dorada mientras se sienta en una mesa desordenada, de estilo vintage, escribiendo letras en un cuaderno de cuero desgastado.","Les mains de Taylor Swift se refermaient autour d'une tasse d'un café bouillant, doré, tandis qu'elle était assise à un bureau ancien, encombré, et griffonnait des paroles dans un cahier en cuir usé.","Taylor Swifts Hände umfassten einen dampfenden, goldenen Kaffeebecher, während sie an einem überfüllten, antiken Schreibtisch saß, Lyrik in einem abgenutzten Lederjournal zu schreiben.","Le mani di Taylor Swift si avvolgono intorno a una tazza di caffè bollente e dorata mentre si siede a un disordinato, vecchio tavolo da lavoro, scrivendo testi in un vecchio giornale di pelle.","As Taylor Swift segura em volta de uma xícara quente e dourada de café, ela senta-se à uma mesa velha e apinhada, rabiscando letras em um caderno de couro desgastado.",3657
"Taylor Swift walking down a bustling city street during rush hour, her bright red leather jacket and sunglasses making her stand out amidst the sea of commuters.","Taylor Swift caminando por una calle de una ciudad concurrida durante la hora pico, su chaqueta de cuero rojo brillante y sus gafas de sol la hacen destacar entre la multitud de trabajadores.","Taylor Swift marchant dans une rue animée de la ville pendant la heure de pointe, son énorme veste en cuir rouge vif et ses lunettes de soleil la faisant ressortir parmi la foule des usagers en route pour leur travail.","Taylor Swift geht auf einem belebten Stadtstraße während der Rushhour spazieren, ihr roter Lederjackett und ihre Sonnenbrille machen sie unter den Masse der Pendler hervorstechen.","Taylor Swift che cammina lungo una strada cittadina affollata durante l'orario di punta, il suo giaccone in pelle rossa brillante e gli occhiali da sole che la fanno spiccare tra la massa di pendolari.","Taylor Swift caminhando pela rua de uma cidade movimentada durante a hora do rush, seu casaco de couro vermelho brilhante e óculos de sol a tornando destacada no meio da multidão de trabalhadores.",2286
"Taylor Swift sitting in a luxurious, velvet armchair in a lavish, high-ceilinged mansion, surrounded by expensive artwork and wearing a sleek, black evening gown.","Taylor Swift sentada en un sillón de terciopelo de lujo en una mansión de alto techo lujosa, rodeada de obras de arte costosas y vestida con un vestido de noche de seda negra y elegante.","Taylor Swift assise dans un fauteuil de velours luxueux dans une immense, haute-maison de luxe, entourée d'œuvres d'art coûteuses et portant un joli, longue robe de soirée noire élégante.","Taylor Swift sitzt in einem luxuriösen, Samtbezugsstuhl in einem prächtigen, hochgetäfelten Herrenhaus, umgeben von teuren Kunstwerken und trägt ein schmales, schwarzes Abendkleid.","Taylor Swift seduta in un comodo, divanetto di velluto in un lussuoso, alto soffitto di una villa, circondata da opere d'arte costose e indossando un abito da sera nero elegante.","Taylor Swift sentada em um sofá de veludo luxuoso em uma mansão de alto teto, rodeada de obras de arte caras e vestindo um vestido de gala preto elegante.",1679
"Taylor Swift sitting on a throne with a tiara and a scepter in a lavish, golden-lit room.","Taylor Swift sentada en un trono con una diadema y un cetro en una habitación lujosa, iluminada con oro.","Taylor Swift assise sur un trône, avec une couronne et un sceptre dans une pièce somptueuse éclairée d'une lumière dorée.","Taylor Swift sitzt auf einem Thron mit einem Diadem und einem Zepter in einem prächtigen, golden beleuchteten Raum.","Taylor Swift seduta su un trono con una tiara e un bastone da manto in una stanza sontuosa, illuminata d'oro.","Taylor Swift sentada em um trono com uma tiara e um cetro em uma sala luxuosa, iluminada a ouro.",8935
"Taylor Swift playing her guitar on a snowy mountain peak, surrounded by towering pine trees and a serene silence.","Taylor Swift tocando su guitarra en una cumbre de montaña nevada, rodeada de pinos gigantes y un silencio sereno.","Taylor Swift jouant de la guitare sur le sommet d'une montagne enneigée, entourée de pins géants et d'un silence serein.","Taylor Swift spielt ihre Gitarre auf einem schneebedeckten Gipfel, umgeben von hoch aufragenden Kiefern und einer stillen Stille.","Taylor Swift che suona la chitarra su una cima di montagna innevata, circondata da pini giganti e da un silenzio sereno.","Taylor Swift tocando violão em uma cumeada de montanha nevada, cercada por pinheiros gigantes e um silêncio sereno.",1424
"Taylor Swift's eyes sparkle with mischief as she playfully tosses a guitar pick in the air, the camera capturing the dynamic movement.","Los ojos de Taylor Swift brillan con maldad mientras juguetonamente lanza una púa de guitarra al aire, la cámara captura el movimiento dinámico.","Les yeux de Taylor Swift étincellent de malice tandis qu'elle jette légèrement un plectre de guitare dans les airs, la caméra capturant le mouvement dynamique.","Taylors Swifts Augen funkeln mit Mischung, während sie spielerisch ein Gitarrenpicken in die Luft wirft, die Kamera fängt den dynamischen Bewegungsablauf ein.","Gli occhi di Taylor Swift scintillano di malizia mentre gioca a lanciare un pick di chitarra in aria, la camera cattura il movimento dinamico.","Os olhos de Taylor Swift brilham com malícia enquanto ela joga de brincadeira uma pequena peça de guitarra no ar, a câmera capturando o movimento dinâmico.",9674
