Original,Spanish,French,German,Italian,Portuguese,Index
"Tom Cruise riding a motorcycle, speeding down a winding mountain road.","Tom Cruise montando una motocicleta, acelerando por una carretera de montaña sinuosa.","Tom Cruise conduisant une moto, en accélérant sur une route sinueuse de montagne.","Tom Cruise fährt auf einem Motorrad, beschleunigt auf einer windigen Bergstraße.","Tom Cruise che cavalca una motocicletta, che si muove a gran velocità lungo una strada serpentina di montagna.","Tom Cruise pilotando uma motocicleta, acelerando em uma estrada de montanha sinuosa.",1824
"Tom Cruise on a rocky mountain peak, wearing a bright orange jacket and holding a pair of binoculars.","Tom Cruise en la cima de una montaña rocosa, vestido con un chaleco naranja brillante y sosteniendo un par de binóculos.","Tom Cruise sur le sommet d'une montagne rocheuse, portant un blouson orange vif et tenant un jumelage de jumelles.","Tom Cruise auf einem felsigen Berggipfel, in einem leuchtend orangefarbenen Jacket und mit einem Paar Feldstechern in der Hand.","Tom Cruise in cima a un picco roccioso, indossando un giaccone arancione brillante e tenendo un paio di telescopio.","Tom Cruise em uma cume de montanha rochosa, vestindo um casaco de laranja brilhante e segurando um par de binóculos.",409
"Tom Cruise dressed in a colorful street art-inspired outfit, spray-painting a mural on a city wall.","Tom Cruise se vistió con un atuendo inspirado en el arte callejero colorido, pintando con aerosol un mural en una pared de la ciudad.","Tom Cruise vêtu d'un costume d'art de rue coloré, peint en spray un mur d'une ville.","Tom Cruise trug ein farbenfrohes, von der Straßenkunst inspiriertes Outfit, und besprühte ein Mural auf einer Stadtmauer.","Tom Cruise vestito con un abito ispirato all'arte di strada colorata, spruzzava una murale su un muro di città.","Tom Cruise vestindo uma roupa de arte de rua inspirada em cores, pintando uma mural com spray em uma parede de uma cidade.",4506
"Tom Cruise standing on a massive, metal, construction crane, overlooking a city skyline.","Tom Cruise de pie sobre una inmensa grúa metálica de construcción, observando el skyline de una ciudad.","Tom Cruise debout sur une grue métallique géante de construction, dominant la vue de la skyline d'une ville.","Tom Cruise steht auf einer riesigen, metallenen, Baugerüstenkran, und blickt über die Skyline einer Stadt.","Tom Cruise in piedi su una imponente gru metallica, dominando lo skyline di una città.","Tom Cruise de pé em uma imensa, construção de metal, grua de construção, olhando para a paisagem urbana de uma cidade.",4012
"A bird's-eye view of Tom Cruise, floating in mid-air above a bustling city at night.","Una vista desde arriba de Tom Cruise, flotando en el aire por encima de una ciudad bulliciosa por la noche.","Vue d'oiseau de Tom Cruise, flottant en l'air au-dessus d'une ville en plein bourdonnement de nuit.","Ein Vogelperspektiv von Tom Cruise, der in der Luft schwebt, über einer an einem Abend belebten Stadt.","Una vista dall'alto di Tom Cruise, che galleggia in aria sopra una città in piena notte affollata.","Uma visão de pássaro de Tom Cruise, flutuando no ar acima de uma cidade movimentada à noite.",3657
A low-angle shot of Tom Cruise looking up at a massive skyscraper with the sun reflecting off the glass to create a dazzling display of light.,"Una toma de baja altura de Tom Cruise mirando hacia arriba a un rascacielos gigante, con el sol reflejándose en el vidrio para crear un espectáculo deslumbrante de luz.",Une prise de vue à angle bas de Tom Cruise regardant vers le haut d'un gratte-ciel géant avec le soleil réfléchi sur le verre pour créer un spectacle éblouissant de lumière.,"Ein tiefer Schwenk von Tom Cruise, der auf eine massive Hochhausfront aufsieht, während die Sonne auf dem Glas reflektiert und ein atemberaubendes Lichtspektakel entsteht.",Una panoramica da bassa quota di Tom Cruise che guarda verso un grattacielo imponente con il sole che riflette sul vetro per creare un'allettante mostra di luce.,"Uma cena de baixo ângulo de Tom Cruise olhando para cima em um arranha-céu imenso, com o sol refletindo na vidro para criar um espetáculo deslumbrante de luz.",2286
Tom Cruise riding a horse through a misty forest with a cowboy hat and boots.,Tom Cruise montando a caballo a través de un bosque embozado con un sombrero de cowboy y botas.,"Tom Cruise chevauchant un cheval à travers une forêt brumeuse, coiffé d'un chapeau de cow-boy et chaussé de bottes.",Tom Cruise reitet auf einem Pferd durch einen nebeligen Wald mit einem Cowboyhut und Stiefeln.,Tom Cruise che cavalca un cavallo attraverso una foresta nebbiosa con un cappello da cowboy e stivali.,Tom Cruise montando um cavalo por uma floresta em nevoeiro com um chapéu de vaqueiro e botas.,1679
"Tom Cruise in a classic pilot's uniform, standing in front of a vintage biplane.","Tom Cruise con un uniforme clásico de piloto, de pie frente a un biplano de época.","Tom Cruise, vêtu d'une tenue de pilote classique, debout devant un biplan d'époque.","Tom Cruise in einem klassischen Pilotenanzug, vor einem alten Doppeldecker stehend.","Tom Cruise indossa un classico abito da pilota, in piedi davanti a un biplano d'epoca.","Tom Cruise vestindo um uniforme de piloto clássico, parado em frente a um biplano vintage.",8935
Tom Cruise enjoying a plate of spicy Korean BBQ in a bustling Seoul street market.,Tom Cruise disfrutando de un plato de BBQ coreano picante en un mercado callejero bullicioso de Seúl.,Tom Cruise savourant un plat de BBQ coréen épicé dans un marché de rue animé de Séoul.,Tom Cruise genießt ein Teller scharfer koreanischer BBQ in einer geschäftigen Straßenmarkt in Seoul.,Tom Cruise che si gode un piatto di BBQ coreano piccante in un mercato di strada di Seoul affollato.,Tom Cruise desfrutando de um prato de BBQ coreano picante em uma movimentada feira de rua de Seul.,1424
A monkey perched on Tom Cruise's shoulder as he navigates a treacherous jungle terrain.,Un mono se aposentó en el hombro de Tom Cruise mientras él navega por un terreno de selva peligroso.,Un singe s'est assis sur l'épaule de Tom Cruise alors qu'il se déplace dans un terrain de jungle dangereux.,"Ein Affe sass auf Tom Cruises Schulter, während er sich durch eine gefährliche Dschungellandschaft navigierte.",Un gorilla si è posizionato sulle spalle di Tom Cruise mentre egli naviga un terreno di giungla pericoloso.,Um macaco se acomodou no ombro de Tom Cruise enquanto ele navega por um terreno de jungle perigoso.,9674
