Original,Spanish,French,German,Italian,Portuguese,Index
"A colorful and whimsical Van Gogh style depiction of a group of children playing along the banks of a winding river, surrounded by vibrant flowers and trees.","Una representación en estilo Van Gogh colorida y fantástica de un grupo de niños jugando a orillas de un río serpenteante, rodeados de flores y árboles vibrantes.","Une représentation en style Van Gogh coloré et fantaisiste d'un groupe d'enfants jouant le long des berges d'un fleuve sinueux, entourés de fleurs et d'arbres vibrants.","Ein farbenfrohes und zauberhaftes Van-Gogh-Stilbild einer Gruppe von Kindern, die am Ufer eines windenden Flusses spielen, umgeben von lebhaften Blumen und Bäumen.","Una rappresentazione colorata e fantasiosa a stile Van Gogh di un gruppo di bambini che giocano lungo le rive di un fiume serpenteante, circondati da fiori e alberi vibranti.","Uma representação colorida e enigmática no estilo de Van Gogh de um grupo de crianças brincando às margens de um rio sinuoso, cercadas por flores e árvores vibrantes.",1824
"A delicate and intricate door, adorned with carvings and patterns, set against a backdrop of a quiet and peaceful garden, in the detailed style of Van Gogh.","Una puerta delicada e intrincada, adornada con tallados y patrones, frente a un fondo de un jardín tranquilo y pacífico, en el estilo detallado de Van Gogh.","Une porte délicate et intriquante, ornée de sculptures et de motifs, placée en arrière-plan d'un jardin calme et paisible, dans le style détaillé de Van Gogh.","Ein zartes und komplexes Tor, mit Schnitzereien und Mustern verziert, vor dem Hintergrund eines stillen und friedlichen Gartens, im detaillierten Stil von Van Gogh.","Una porta delicata e intricata, adornata da intagli e motivi, posizionata di fronte a un giardino tranquillo e sereno, in stile dettagliato ispirato a Van Gogh.","Uma porta delicada e intrincada, adornada com gravuras e padrões, colocada contra um fundo de um jardim calmo e pacífico, no estilo detalhado de Van Gogh.",409
"A Van Gogh style field of corn stretches out before us, its golden kernels shining like a sea of treasure in the sunlight.","Delante de nosotros se extiende un campo de maíz a la manera de Van Gogh, sus granos dorados brillan como un mar de tesoros bajo la luz del sol.","Un champ de maïs à la manière de Van Gogh s'étend devant nous, ses grains d'or brillant comme une mer de trésor dans le soleil.","Ein Feld von Mais im Stil von Van Gogh erstreckt sich vor uns, seine goldenen Körner schimmern wie ein Meer von Schätzen im Sonnenlicht.","Un campo di grano stile Van Gogh si stende davanti a noi, i suoi chicchi dorati che brillano come un mare di tesori al sole.","Um campo de milho estilo Van Gogh estende-se diante de nós, suas sementes douradas brilhando como um mar de tesouro à luz do sol.",4506
"A group of trees, their branches tangled and twisted, stand like a madman's sculpture, in the style of Van Gogh.","Un grupo de árboles, con ramas enredadas y retorcidas, se alzan como una escultura de un loco, en el estilo de Van Gogh.","Un groupe d'arbres, leurs branches enchevêtrées et tordues, se dressent comme une sculpture de fou, à la manière de Van Gogh.","Ein Gruppe von Bäumen, deren Äste verworren und verdreht sind, stehen wie ein Wahnsinnigen-Skulptur, im Stil von Van Gogh.","Un gruppo di alberi, le loro branche intrecciate e torte, stanno come una scultura di un pazzo, nel stile di Van Gogh.","Um grupo de árvores, suas ramas enredadas e torcidas, permanecem como uma escultura de um louco, no estilo de Van Gogh.",4012
"A lone wolf howling at the moon, its haunting cry echoing off the mountain peaks, in the style of Van Gogh.","Un lobo solitario aullando a la luna, su aullido conmovedor reverberando en las cumbres de la montaña, a la manera de Van Gogh.","Un loup solitaire hurlant à la lune, son cri émouvant résonnant contre les sommets de montagnes, à la manière de Van Gogh.","Ein einsamer Wolf heult in den Mond, sein hallendes Heulen hallt von den Gipfeln der Berge wider, in der Art von Van Gogh.","Un lupo solitario che ulula alla luna, il suo lugubre grido che si riflette sugli speroni montani, in stile di Van Gogh.","Um lobo solitário uivando à lua, seu lamento assombrado ecoando nas cumeadas das montanhas, no estilo de Van Gogh.",3657
"A Van Gogh style depiction of a bustling city street, with people from all walks of life going about their daily business.","Una representación a la manera de Van Gogh de una calle urbana concurrida, con personas de todos los ámbitos de la vida realizando sus actividades diarias.","Une représentation à la manière de Van Gogh d'une rue animée de la ville, avec des gens de tous horizons se rendant à leurs occupations quotidiennes.","Eine im Stil von Van Gogh dargestellte, pulsierende Stadtstraße, auf der Menschen aus allen Schichten des Lebens ihr tägliches Geschäft erledigen.","Una rappresentazione ispirata allo stile di Van Gogh di una via affollata della città, con persone di tutte le fasce sociali che si danno da fare per i loro affari quotidiani.","Uma representação no estilo de Van Gogh de uma rua urbana movimentada, com pessoas de todas as camadas da sociedade indo sobre suas atividades diárias.",2286
"A group of cypress trees, reminiscent of those found in Van Gogh's paintings, stand guard over a secluded cottage and a slow-moving river.","Un grupo de cipreses, reminiscentes de aquellos que se encuentran en las pinturas de Van Gogh, guardan un cabaña acogedora y un río que fluye a paso lento.","Un groupe de cyprès, rappelant ceux trouvés dans les peintures de Van Gogh, veille sur une cabane isolée et une rivière qui coule lentement.","Ein Gruppen von Zypressen, die an jene aus den Gemälden von Van Gogh erinnern, bewachen einen abgelegenen Cottage und einen langsamen Fluss.","Un gruppo di cipressi, simile a quelli ritratti nei dipinti di Van Gogh, custodisce un piccolo cottage e un fiume lento.","Um grupo de ciprestes, reminiscentes dos encontrados nas pinturas de Van Gogh, guardam um casebre isolado e um rio que se move lentamente.",1679
"A dense forest, painted in bold brushstrokes and vivid colors, reminiscent of a Van Gogh style scene from the south of France.","Un bosque denso, pintado con pinceladas audaces y colores vívidos, recordatorio de un cuadro estilo Van Gogh proveniente del sur de Francia.","Une forêt dense, peinte à grands traits et en couleurs vives, évoquant un paysage à l'inspiration de Van Gogh, du sud de la France.","Ein dichter Wald, in kräftigen Pinselstrichen und lebhaften Farben gemalt, erinnert an eine Szene im Stil von Van Gogh aus dem Süden Frankreichs.","Un fitto bosco, dipinto con pennellate forti e colori vivaci, simile a una scena di stile Van Gogh proveniente dal sud della Francia.","Uma floresta densa, pintada em traços de pincel ousados e cores vivas, reminiscente de cena de estilo Van Gogh proveniente do sul da França.",8935
"A brooding landscape of twisted trees and churning clouds, with a small wooden bridge in the style of Van Gogh, crossing a dark and mysterious river.","Un paisaje sombrío de árboles retorcidos y nubes revueltas, con un pequeño puente de madera en el estilo de Van Gogh, cruzando un río oscuro y misterioso.","Un paysage sombre de arbres tordus et de nuages bouillonnants, avec un petit pont en bois à la manière de Van Gogh, traversant une rivière sombre et mystérieuse.","Ein dichter Landschaft von verworrenen Bäumen und wirbelnden Wolken, mit einem kleinen Holzbrücke im Stil von Van Gogh, der über einen dunklen und rätselhaften Fluss führt.","Un paesaggio cupo di alberi torti e nuvole ribollenti, con un piccolo ponte in legno a immagine di Van Gogh, che attraversa un fiume oscuro e misterioso.","Um cenário sombrio de árvores torcidas e nuvens revolvidas, com uma pequena ponte de madeira no estilo de Van Gogh, cruzando um rio escuro e misterioso.",1424
"A small wooden bridge over a serene lake, surrounded by lush greenery and painted in soft, feathery textures.","Un puente de madera pequeño sobre un lago sereno, rodeado de vegetación verde y pintado con texturas suaves y plumosas.","Un petit pont en bois sur un lac paisible, entouré de verdure luxuriante et peint en textures douces et soyeuses comme des plumes.","Ein kleiner Holzbrücke über einem stillen See, umgeben von dichtem Grün und mit weichen, federleichten Texturen bemalt.","Un piccolo ponte in legno sopra un lago sereno, circondato da vegetazione lussureggiante e dipinto in morbidi, soffici tessuti piumosi.","Uma pequena ponte de madeira sobre um lago sereno, rodeada por vegetação verdejante e pintada em suaves texturas penosas.",9674
