Original,Spanish,French,German,Italian,Portuguese,Index
"""A snarling, snapping wolverine attacks its prey with deadly precision and ferocity.""",Un wolverino gruñendo y mordaz ataca a su presa con precisión y ferocidad mortales.,"Un wolverin rugissant, crispant, attaque sa proie avec une précision et une fureur mortelles.","Ein fauchender, knurrender Wölfer attackiert sein Beute mit tödlicher Genauigkeit und Rachsucht.",Un wolverino ringhioso e scattante attacca la sua preda con precisione e ferocia letale.,Um wolverine resmungido e chicoteando ataca sua presa com precisão e ferocidade mortais.,1824
A brutal warrior unleashes a flurry of punches on a helpless opponent's face.,Un guerrero brutal despliega una lluvia de puñetazos en la cara de un oponente indefenso.,Un guerrier brutal déchaîne une pluie de coups de poing sur le visage d'un adversaire sans défense.,Ein brutaler Krieger entlässt einen Regen von Faustschlägen auf das hilflose Gesicht eines Gegners.,Un guerriero brutale scatena una raffica di pugni sulla faccia di un avversario inerme.,Um guerreiro brutal despeja uma saraivada de socos no rosto de um oponente indefeso.,409
"""A figure drenched in blood, eyes vacant, slumps against a rusted pipe as a chainsaw revs in the background.""","Una figura empapada en sangre, ojos vacíos, se desploma contra una tubería oxidada mientras un sierra circular ruge en segundo plano.","Une silhouette ensanglantée, les yeux vides, s'affaisse contre un tuyau rouillé tandis qu'un moteur à chaîne rugit en arrière-plan.","Ein Figur getränkt in Blut, Augen leer, lehnt sich an einen verrosteten Rohr, während ein Kettenäußerer im Hintergrund aufheult.","""Una figura inzuppata di sangue, gli occhi vuoti, si accascia contro un tubo di rame arrugginito mentre un motosega ronza in sottofondo.""","Uma figura ensangüentada, olhos vazios, encosta-se em uma tubulação oxidada enquanto uma motosserra ressoa ao fundo.",4506
"""A group of rough-looking men engage in a brutal street fight, punches flying wildly.""","Un grupo de hombres con aspecto tosco se enfrascan en una pelea callejera brutal, puños volando salvajemente.","Un groupe d'hommes aux mines rouges s'entretuent dans une rixe sauvage dans la rue, les poings volant dans tous les sens.","Ein Gruppe von rauhbekleideten Männern beteiligen sich an einem brutalen Straßenkampf, Fäuste fliegen wild umher.","Un gruppo di uomini con aspetto rozzo si accapiglia in una violenta rissa stradale, pugni che volano selvaggiamente.","Um grupo de homens com aspecto rude envolve-se em uma luta brutal nas ruas, socos voando selvagens.",4012
A deranged scientist subjects a helpless patient to a battery of gruesome medical experiments.,Un científico perturbado somete a un paciente indefenso a una batería de experimentos médicos grotescos.,Un scientifique dément soumet un patient sans défense à une batterie d'expériences médicales atroces.,Ein wahnsinniger Wissenschaftler unterwirft einem hilflosen Patienten eine Batterie von grausamen medizinischen Experimenten.,Un ricercatore pazzo sottopone un paziente disperato a una batteria di esperimenti medici crudeli.,Um cientista desequilibrado submete um paciente indefeso a uma bateria de experimentos médicos grotescos.,3657
"""A young couple is subjected to a violent home invasion, with the husband being beaten mercilessly.""","""Una pareja joven es víctima de una invasión violenta en su hogar, con el esposo siendo golpeado salvajemente.""","Un jeune couple est victime d'une invasion violente de son domicile, avec le mari subissant des coups de manière inhumaine.","Ein junges Paar wird Opfer eines gewalttätigen Hausüberfalls, wobei der Mann grausam geschlagen wird.","""Una coppia giovane è soggetta a un'invasione violenta nel proprio appartamento, con il marito che viene malmenato crudelmente.""","""Uma jovem casal é submetido a uma invasão violenta em casa, com o marido sendo espancado brutalmente.""",2286
"""A person's skin is flayed off their body, revealing muscle and bone underneath.""","La piel de una persona se desvela de su cuerpo, revelando músculo y hueso debajo.","La peau d'une personne est arrachée de son corps, révélant les muscles et les os sous-jacents.","Ein Menschenhaut wird von seinem Körper abgezogen, was Muskeln und Knochen darunter freilegt.","La pelle di una persona viene strappata dal corpo, rivelando muscoli e ossa al di sotto.","""A pele de uma pessoa é arrancada do seu corpo, revelando músculo e osso por baixo.""",1679
A riot police officer charges at a crowd of protesters with baton raised.,Un oficial de policía antidisturbios carga hacia una multitud de manifestantes con el báton levantado.,Un policier anti-émeute charge vers une foule de manifestants avec sa matraque levée.,"Ein Polizist mit Schlagstock läuft auf eine Menschenmenge von Protestierenden zu, den Stock erhoben.",Un ufficiale di polizia antisommossa si avventa contro una folla di manifestanti con bastone alzato.,Um policial de choque carrega em direção a uma multidão de manifestantes com a bengala erguida.,8935
"""A group of pirates attack a merchant ship, swords clashing and pistols firing.""","Un grupo de piratas ataca un barco mercante, los espadas chocan y las pistolas disparan.","Un groupe de pirates attaque un navire marchand, les épées se heurtent et les pistolets tirent.","Ein Bataillon von Piraten greift ein Handelsschiff an, Schwerter kreuzen und Pistolen feuern.","Un gruppo di pirati attacca una nave mercantile, spade che si incrociano e pistole che sparano.","Um grupo de piratas ataca um navio mercante, espadas se chocando e pistolas disparando.",1424
A group of vigilantes take the law into their own hands.,Un grupo de autodefensas toma la ley en sus propias manos.,Un groupe de vigilants prend la loi entre leurs propres mains.,Ein Gruppe von Selbstjustizern übernimmt die Gesetzgebung in ihre eigenen Hände.,Un gruppo di vigilanti prende la legge in proprio mano.,Um grupo de vigilantes assume o poder de fazer justiça por conta própria.,307
