Original,Spanish,French,German,Italian,Portuguese,Index
"A woman in a flowing, blue gown stands at the edge of a bustling, 19th-century street market, surrounded by vibrant, colorful fabrics and exotic, tropical flowers.","Una mujer con un vestido de seda que fluye, de color azul, se encuentra en el borde de una calle de mercado bulliciosa del siglo XIX, rodeada de telas vibrantes y colores y flores exóticas y tropicales.","Une femme vêtue d'un long manteau bleu se tient à la limite d'une ruelle animée d'un marché du 19e siècle, entourée de tissus vives et colorés ainsi que de fleurs tropicales exotiques.","Eine Frau in einem fließenden, blauen Kleid steht an der Kante eines belebten, 19. Jahrhundert-Marktes, umgeben von lebhaften, farbenfrohen Stoffen und exotischen, tropischen Blumen.","Una donna in un abito a fiori blu fluttuante si trova all'orlo di una vivace e caotica strada di mercato del XIX secolo, circondata da tessuti colorati vivaci e fiori esotici e tropicali.","Uma mulher vestida com um vestido azul fluindo está à beira de uma rua de mercado movimentada do século XIX, rodeada de tecidos vibrantes e coloridos e flores exóticas e tropicais.",1824
"A Parisian market scene with Manet standing amidst the vibrant stalls and colorful produce, his eyes scanning the scene with a mixture of curiosity and amusement.","Una escena de mercado parisino con Manet de pie entre las animadas puestos y productos de colores, sus ojos recorriendo el escenario con una mezcla de curiosidad y diversión.","Une scène de marché parisien avec Manet debout au milieu des étals vibrants et des produits colorés, ses yeux balayant la scène avec une mélange de curiosité et d'amusement.","Ein Pariser Marktgeschehen mit Manet, der mitten unter den lebhaften Ständen und den farbenfrohen Früchten steht, seine Augen auf die Szene gerichtet mit einer Mischung aus Neugier und Amüsement.","Una scena del mercato parigino con Manet in mezzo alle bancarelle vibranti e frutta e verdura colorate, i suoi occhi che scandagliano la scena con una miscela di curiosità e divertimento.","Cena de mercado parisiense com Manet de pé no meio das barracas vibrantes e frutas e legumes coloridos, seus olhos varrendo a cena com uma mistura de curiosidade e diversão.",409
"A still life of a richly textured, intricately patterned Persian rug, its intricate designs and soft, muted colors evoking the opulence and grandeur of Édouard Manet's 'A Woman with a Parrot' painting.","Un cuadro de still life de un tapiz persa de textura rica y patrón intrincado, sus diseños intrincados y colores suaves y matizados evocan la opulencia y la grandiosidad de la pintura de 'Una mujer con un loro' de Édouard Manet.","Un paysage still d'un tapis persan richement texturé, à motifs complexes et coloris doux et tamisé, évoquant l'opulence et la grandeur de la peinture d'Édouard Manet, 'La Femme au perroquet'.","Ein Stillleben eines reich strukturierten, fein gemusterten persischen Teppichs, dessen feine Muster und weiche, abgestumpfte Farben die Pracht und Größe von Édouard Manets Gemälde 'Eine Frau mit einem Papagei' hervorrufen.","Un still life di un tappeto persiano di grande pregio, riccamente tessuto e con un disegno complesso, le sue delicate forme e i suoi colori morbidi e spenti evocano l'opulenza e la grandezza della pittura di Édouard Manet 'Una donna con un pappagallo'.","Uma still life de um tapete persa de textura rica e desenhos intrincados, com seus desenhos delicados e cores suaves e atenuadas evocando a opulência e grandiosidade da pintura de Édouard Manet, 'A Mulher com um Papagaio'.",4506
"Édouard Manet stands in a crowded art studio, surrounded by the sounds of chiseling and painting, as he works on a new sculpture.","Édouard Manet se encuentra en un estudio de arte concurrido, rodeado de los sonidos de tallado y pintura, mientras trabaja en una nueva escultura.","Édouard Manet se tient dans un atelier d'art bondé, entouré des sons de taille et de peinture, alors qu'il travaille sur une nouvelle sculpture.","Édouard Manet steht in einem überfüllten Kunststudio, umgeben von den Geräuschen von Meißeln und Malerei, während er an einem neuen Skulpturen arbeitet.","Edouard Manet si trova in un atelier di arte affollato, circondato dai suoni del calcio e della pittura, mentre lavora a una nuova scultura.","Édouard Manet está em um estúdio de arte lotado, rodeado pelos sons de corte e pintura, enquanto trabalha em uma nova escultura.",4012
"A crowded café, the sounds of conversation and laughter filling the air, Édouard Manet sitting at a small table, sketchbook in hand, capturing the scene with a mix of curiosity and detachment, a sense of belonging and community.","Un café lleno de gente, los sonidos de la conversación y la risa llenando el aire, Édouard Manet sentado a una pequeña mesa, un cuaderno de dibujo en la mano, capturando la escena con una mezcla de curiosidad y distancia, un sentido de pertenencia y comunidad.","Un café encombré, les sons de la conversation et de la rire emplissant l'air, Édouard Manet assis à une petite table, carnet de croquis à la main, capturant la scène avec un mélange de curiosité et de détachement, un sentiment d'appartenance et de communauté.","Ein überfüllter Café, die Geräusche des Gesprächs und des Lachens erfüllen die Luft, Édouard Manet sitzt an einem kleinen Tisch, Skizzenbuch in der Hand, die Szene mit einer Mischung aus Neugier und Distanz, einem Gefühl der Zugehörigkeit und Gemeinschaft, festhaltend.","Un caffè affollato, i suoni delle conversazioni e delle risate riempiono l'aria, Édouard Manet seduto a un piccolo tavolo, un quaderno di schizzi in mano, che cattura la scena con una mescolanza di curiosità e distacco, un senso di appartenenza e comunità.","Um café lotado, os sons da conversa e da risada preenchendo o ar, Édouard Manet sentado a uma pequena mesa, caderno de desenho na mão, capturando a cena com uma mistura de curiosidade e distanciamento, um sentimento de pertencimento e comunidade.",3657
Édouard Manet's easel set up on a rocky cliff overlooking the Mediterranean Sea at dawn.,La mesa de pintor de Édouard Manet instalada en una roca con vistas al Mediterráneo a la aurora.,L'échelle d'Édouard Manet est dressée sur un rocher dominant la mer Méditerranée à l'aube.,Édouards Manets Staffel setzt sich auf einem felsigen Klippen überblickt den Mittelmeer in der Morgendämmerung.,Il cavalletto di Édouard Manet è stato allestito su una scogliera rocciosa che guarda sul Mar Mediterraneo all'alba.,O cavalete de Édouard Manet montado em uma península rochosa com vista para o Mar Mediterrâneo ao amanhecer.,2286
A woman in a red dress gazes out a window in a somber Édouard Manet painting set against a backdrop of grey clouds.,"Una mujer vestida de rojo mira por una ventana en un pintura sombría de Édouard Manet, contra un fondo de nubes grises.","Une femme vêtue d'un robe rouge contemple la fenêtre d'une peinture sombre d'Édouard Manet, arborant un ciel gris au fond.","Eine Frau in einem roten Kleid schaut aus einem Fenster in einem traurigen Édouard Manet Gemälde, das vor einem Hintergrund von grauen Wolken steht.","Una donna in un abito rosso guarda fuori da una finestra in un quadro cupo di Édouard Manet, alle spalle di un cielo grigio nuvoloso.","Uma mulher vestida de vermelho olha pela janela em uma sombria pintura de Édouard Manet, ao fundo, nuvens cinzentas.",1679
"A lavish masquerade ball, Édouard Manet dressed in a elaborate mask and costume, dancing with a mysterious woman whose face is hidden behind a veil.","Una gran fiesta de máscaras, Édouard Manet vestido con una máscara y un traje elaborados, bailando con una misteriosa mujer cuya cara está oculta detrás de un velo.","Un bal de masque somptueux, Édouard Manet vêtu d'un masque et d'un costume élaborés, dansant avec une femme mystérieuse dont le visage est caché derrière un voile.","Ein prächtiger Maskenball, Édouard Manet in einer aufwändigen Maske und Kostüm, tanzt mit einer mysteriösen Frau, deren Gesicht hinter einem Schleier verborgen ist.","Un sontuoso ballo in maschera, Édouard Manet vestito con un elaborato travestimento e maschera, danza con una misteriosa donna il cui volto è nascosto dietro un velo.","Um luxuoso baile de máscara, Édouard Manet vestido com uma máscara e um traje elaborados, dançando com uma mulher misteriosa cujo rosto está escondido atrás de uma vela.",8935
"Édouard Manet's 'The Railway' set in a misty, atmospheric landscape, with the soft, feathery textures of the mist.","La obra de Édouard Manet 'El Ferrocarril' se desarrolla en un paisaje nebuloso y atmosférico, con las suaves y sedosas texturas de la niebla.","Le « Train » d'Édouard Manet, situé dans un paysage brumeux et atmosphérique, avec les textures douces et feutrées de la brume.","Édouards Manets 'Die Bahn' ist in einer nebligen, atmosphärischen Landschaft gesetzt, mit den weichen, federnden Texturen des Nebels.","La ""Ferrovia"" di Édouard Manet, ambientata in un paesaggio nebbioso e atmosferico, con le morbide, soffici texture della nebbia.","O 'The Railway' de Édouard Manet, ambientado em um cenário nebuloso, com um clima atmosférico, e as suaves e macias texturas da névoa.",1424
"A grand ball in 19th-century Russia, Édouard Manet's subjects dressed in their finest attire, surrounded by lavish decorations and candelabras.","Un gran baile en la Rusia del siglo XIX, los sujetos de Édouard Manet vestidos con su atuendo más elegante, rodeados de decoraciones lujosas y candelabros.","Un grand bal au 19e siècle en Russie, les sujets d'Édouard Manet vêtus de leurs plus beaux atours, entourés de décorations somptueuses et de candélabres.","Ein großer Ball im 19. Jahrhundert in Russland, Édouard Manets Modelle sind in ihren feinsten Kleidern bekleidet, umgeben von prächtigen Dekorationen und Kerzenleuchtern.","Un grande ballo in Russia nel XIX secolo, i soggetti di Édouard Manet vestiti con la loro migliore abbigliamento, circondati da decorazioni sontuose e candelabri.","Um grande baile na Rússia do século XIX, os sujeitos de Édouard Manet vestidos com seu melhor traje, cercados por decorações luxuosas e candelabros.",9674
"A bustling street market in Paris, vendors selling fresh produce and flowers, Édouard Manet observing the scene with a curious expression.","Un mercado callejero animado en París, vendedores vendiendo productos frescos y flores, Édouard Manet observando la escena con una expresión curiosa.","Un marché de rue animé à Paris, des vendeurs vendant des produits frais et des fleurs, Édouard Manet observant la scène avec un air curieux.","Ein belebter Straßenmarkt in Paris, Händler, die frische Lebensmittel und Blumen verkaufen, Édouard Manet beobachtet die Szene mit einem neugierigen Ausdruck.","Un mercato stradale animato a Parigi, venditori che vendono prodotti freschi e fiori, Édouard Manet osserva la scena con un'espressione curiosa.","Um mercado de rua movimentado em Paris, vendedores vendendo produtos frescos e flores, Édouard Manet observando a cena com uma expressão curiosa.",6912
"A woman with a hint of mischief in her eyes sits for Édouard Manet, her smile sly.","Una mujer con un toque de astucia en sus ojos se sienta para Édouard Manet, su sonrisa traviesa.","Une femme avec un soupçon de malice dans son regard s'assoit pour Édouard Manet, son sourire rusé.","Eine Frau mit einem Hauch von Schelmerei in ihren Augen sitzt für Édouard Manet, ihr Lächeln ist schüchtern.","Una donna con un accenno di malizia negli occhi si siede per Édouard Manet, il suo sorriso astuto.","Uma mulher com um toque de travessura nos olhos senta-se para Édouard Manet, um sorriso astuto.",520
"A young woman in a lavish 19th-century ball gown walks along the Seine River, her silk gloves glistening in the sunlight.","Una joven mujer en un vestido de baile lujoso del siglo XIX camina a lo largo del río Sena, sus guantes de seda centelleando bajo la luz solar.","Une jeune femme vêtue d'un magnifique bal en robe du XIXe siècle marche le long de la Seine, ses gants de soie étincellant dans la lumière du soleil.","Eine junge Frau in einem prächtigen Ballkleid aus dem 19. Jahrhundert schlendert entlang des Seine, ihre Seidengloven glänzen im Sonnenlicht.","Una giovane donna in un abito da ballo lussuoso del XIX secolo cammina lungo la Senna, le sue mani in pelle di seta scintillano al sole.","Uma jovem mulher vestida com um vestido de baile opulento do século 19 caminha ao longo do rio Seine, suas luvas de seda brilhando ao sol.",488
Édouard Manet's Le Déjeuner sur l'Herbe reimagined with modern-day individuals in a contemporary park setting.,Édouard Manet's Le Déjeuner sur l'Herbe reimaginado con individuos de la actualidad en un entorno de parque contemporáneo.,Le Déjeuner sur l'Herbe d'Édouard Manet reimaginé avec des individus de l'ère moderne dans un cadre de parc contemporain.,"Édouards Manets ""Le Déjeuner sur l'Herbe"" neu interpretiert mit modernen Menschen in einem zeitgenössischen Park.",La rilettura di Le Déjeuner sur l'Herbe di Édouard Manet con individui di oggi in un parco di epoca contemporanea.,Le Déjeuner sur l'Herbe de Édouard Manet reimaginado com indivíduos de época moderna em um cenário de parque contemporâneo.,1535
"Édouard Manet stands in front of a beautiful woman with a soft, ethereal expression, his eyes locked on hers as he paints her portrait.","Édouard Manet se encuentra frente a una mujer hermosa con una expresión suave y etérea, sus ojos están fijos en los suyos mientras pinta su retrato.","Édouard Manet se tient devant une belle femme avec un expression douce et éthérée, ses yeux fixés les siens tandis qu'il peint son portrait.","Édouard Manet steht vor einer schönen Frau mit einem weichen, ethereischen Ausdruck, seine Augen sind auf sie gerichtet, während er ihr Porträt malt.","Édouard Manet si trova di fronte a una donna bellissima con un'espressione soffusa e eterea, i suoi occhi sono fissi sui suoi mentre dipinge il suo ritratto.","Édouard Manet se encontra diante de uma bela mulher com uma expressão suave e etérea, seus olhos presos nos dela enquanto ele pinta seu retrato.",3582
"A middle-aged Manet stands in a garden, wearing a soft gray suit and a pair of gardening gloves, surrounded by blooming flowers and a small fountain.","Un hombre maduro de Manet se encuentra en un jardín, vestido con un traje gris suave y un par de guantes de jardinería, rodeado de flores en flor y una pequeña fuente.","Un homme d'âge moyen, Manet, se tient dans un jardin, vêtu d'un costume gris doux et d'un paire de gants de jardinage, entouré de fleurs en fleur et d'une petite fontaine.","Ein mittlerweile älterer Manet steht in einem Garten, trägt ein weiches graues Anzug und ein Paar Gartenschlauchhandschuhe, umgeben von blühenden Blumen und einem kleinen Brunnen.","Un uomo di mezza età, Manet, si trova in un giardino, indossa un abito grigio morbido e una paia di guanti da giardinaggio, circondato da fiori in fiore e da una piccola fontana.","Um homem de meia-idade, Manet, está em um jardim, vestindo um terno de cor cinza suave e um par de luvas de jardinagem, cercado por flores em flor e uma pequena fonte.",3811
"A man in a black suit and top hat sits alone on a riverbank, surrounded by tall trees.","Un hombre vestido con un traje negro y un sombrero de copa se sienta solo en la orilla de un río, rodeado de altos árboles.","Un homme vêtu d'un costume noir et d'un chapeau haut de forme est assis seul sur une rive de rivière, entouré de hautes arbres.","Ein Mann in einem schwarzen Anzug und Zylinder sitzt allein auf einer Flussuferbank, umgeben von hohen Bäumen.","Un uomo in abito nero e cilindro si siede da solo sulla riva di un fiume, circondato da alti alberi.","Um homem de terno preto e chapéu de copa senta-se sozinho na margem de um rio, rodeado por árvores altas.",8279
Édouard Manet painting a young woman with a melancholic expression under the soft glow of a candlelit studio.,El pintor Édouard Manet retratando a una joven mujer con una expresión melancólica bajo la suave luz de una estancia iluminada por una vela.,Édouard Manet peignant une jeune femme aux traits mélancoliques sous la douce lumière d'une atelier éclairé par une chandelle.,Édouard Manet malt eine junge Frau mit einem melancholischen Ausdruck unter dem weichen Schein einer Kerze in einem hellen Atelier.,Edouard Manet dipinge una giovane donna con un'espressione melanconica sotto la soffusa luce di uno studio illuminato a candela.,O pintor Édouard Manet retratando uma jovem mulher com uma expressão melancólica sob a suave luz de uma sala de estúdio iluminada a candeia.,9863
"A close-up of Édouard Manet's hands holding a delicate paintbrush, with a few strokes of paint on his fingers.","Una toma de cerca de las manos de Édouard Manet sosteniendo un pincel de pintura delicado, con unos pocos toques de pintura en sus dedos.","Un plan serré des mains d'Édouard Manet tenant un pinceau délicat, avec quelques traits de peinture sur ses doigts.","Ein enges Porträt von Édouard Manets Händen, die eine delikate Pinselhalterin halten, mit einigen Pinselstrichen auf seinen Fingern.","Un ritratto ravvicinato delle mani di Édouard Manet che tengono un pennello delicato, con alcune pennellate di colore sulle dita.","Uma imagem em close-up das mãos de Édouard Manet segurando uma pincel delicado, com algumas pinceladas de tinta nos dedos.",434
"A tranquil, moonlit night on the Seine, with Édouard Manet standing at the water's edge, his eyes lost in thought as the city's lights reflect off the river.","Una noche tranquila bajo la luz de la luna sobre el Sena, con Édouard Manet de pie en la orilla del agua, sus ojos perdidos en la contemplación mientras las luces de la ciudad reflejan en el río.","Une nuit calme, sous la lumière de la lune, sur la Seine, Édouard Manet se tient à l'eau, les yeux perdus dans la contemplation tandis que les lumières de la ville se reflètent sur le fleuve.","Ein friedlicher, vom Mondlicht beschienener Abend am Seine, mit Édouard Manet, der am Wasser steht, seine Augen verloren in Gedanken, während die Lichter der Stadt auf dem Fluss widerhallen.","Una notte tranquilla, illuminata dalla luna, sul fiume Seine, con Édouard Manet in piedi sulla riva, i suoi occhi perduti nei pensieri mentre le luci della città si riflettono sul fiume.","Uma noite tranquila, iluminada pela lua, sobre o Sena, com Édouard Manet de pé na beira da água, os seus olhos perdidos em pensamentos enquanto as luzes da cidade se refletem no rio.",9195
"A still life of fruit and flowers arranged on a worn, wooden table in Édouard Manet's studio.",Un still life de frutas y flores dispuestas sobre una mesa de madera gastada en el estudio de Édouard Manet.,Un paysage still de fruits et de fleurs disposés sur une table en bois usée dans l'atelier d'Édouard Manet.,"Ein Stillleben aus Früchten und Blumen, auf einem abgenutzten Holztisch in Édouard Manets Atelier angeordnet.",Un paesaggio ancora di frutta e fiori disposti su una tavola di legno consumato in studio di Édouard Manet.,Um still life de frutas e flores arranjadas em uma mesa de madeira desgastada no estúdio de Édouard Manet.,3257
"A lavish dinner party, Édouard Manet seated at the head of the table, surrounded by esteemed guests, including a beautiful woman who seems to be the center of attention.","Una gran cena, Édouard Manet sentado a la cabeza de la mesa, rodeado de distinguidas invitadas, incluyendo a una mujer hermosa que parece ser el centro de atención.","Un dîner de luxe, Édouard Manet assis à la tête de la table, entouré d'invités estimés, notamment une belle femme qui semble être le centre de l'attention.","Ein prächtiges Abendessen, Édouard Manet an der Spitze des Tisches, umgeben von ansehnlichen Gästen, darunter eine schöne Frau, die wie der Mittelpunkt der Aufmerksamkeit zu sein scheint.","Un sontuoso ricevimento a cena, Édouard Manet seduto a capotavola, circondato da ospiti di riguardo, tra cui una bella donna che sembra essere al centro dell'attenzione.","Uma festa de jantar luxuosa, Édouard Manet sentado à cabeceira da mesa, cercado por convidados ilustres, incluindo uma mulher bonita que parece ser o centro das atenções.",8928
"A sunny afternoon in the Luxembourg Gardens with Édouard Manet strolling among the statues, his dark suit and top hat a stark contrast to the vibrant greenery.","Un tarde soleada en los Jardines de Luxemburgo con Édouard Manet paseando entre las estatuas, su traje oscuro y su sombrero de copa contrastan con la vibrante vegetación verde.","Après-midi ensoleillé dans les Jardins du Luxembourg avec Édouard Manet qui se promène parmi les statues, son costume sombre et son chapeau à large bord offrent un contraste saisissant avec la verdure végétale vibrante.","Ein sonniger Nachmittag im Jardin du Luxembourg mit Édouard Manet, der sich unter den Statuen umhertut, sein dunkler Anzug und Zylinder bilden einen kontrastreichen Gegensatz zum lebhaften Grün.","Un pomeriggio soleggiato nei Giardini di Lussemburgo con Édouard Manet che si aggira tra le statue, il suo abito scuro e il cappello a cilindro un netto contrasto con la vivida vegetazione verde.","Um tarde ensolarado nos Jardins do Luxemburgo com Édouard Manet passeando entre as estátuas, seu terno escuro e chapéu de copa um contraste marcante com a vibrante vegetação verde.",6873
Édouard Manet's brush dances across the canvas as he paints a lively scene of people strolling along the Seine.,El pincel de Édouard Manet baila sobre la tela mientras pinta una escena animada de personas paseando a lo largo del Sena.,La brosse d'Édouard Manet danse sur la toile tandis qu'il peint une scène animée de gens se promenant le long de la Seine.,"Édouards Manets Pinsel tanzt über dem Leinwand, während er eine lebendige Szene malt, in der Menschen am Seine entlang spazieren gehen.",La penna di Édouard Manet danza sulla tela mentre dipinge una vivace scena di persone che passeggiano lungo la Senna.,A pincelada de Édouard Manet dança sobre a tela enquanto ele pinta uma cena animada de pessoas passeando ao longo do Sena.,3611
"A young woman sits in a plush armchair surrounded by Édouard Manet's artwork, holding a delicate fan in her right hand.","Una joven mujer se sienta en un cómodo sillón de terciopelo rodeada de obras de arte de Édouard Manet, sosteniendo un abanico delicado en su mano derecha.","Une jeune femme est assise dans un fauteuil en velours entourée des œuvres d'Édouard Manet, tenant un éventail délicat dans sa main droite.","Eine junge Frau sitzt in einem weichen Sessel, umgeben von Édouard Manets Kunstwerken, hält eine feine Schirmeinlage in ihrer rechten Hand.","Una giovane donna si siede in un comodo divano imbottito circondata dalle opere d'arte di Édouard Manet, stringendo in mano destra un ventaglio delicato.","Uma jovem mulher senta-se em um sofá de plumas cercada por obras de Édouard Manet, segurando um leque delicado na mão direita.",7359
"Édouard Manet's favorite café, where he would often sit and people-watch, sipping a cup of coffee.","El café favorito de Édouard Manet, donde solía sentarse y observar a la gente, tomando un vaso de café.","Le café préféré d'Édouard Manet, où il se serait souvent assis et observait les gens en sirotant une tasse de café.","Édouards Manets Lieblingscafé, wo er oft sitzen und die Menschen beobachten würde, während er einen Kaffee trank.","Il caffè preferito di Édouard Manet, dove spesso si sedeva e osservava la gente, sorseggiando un bicchiere di caffè.","O café favorito de Édouard Manet, onde ele costumava sentar-se e observar as pessoas, bebendo uma xícara de café.",9654
"Édouard Manet stands on the banks of the Seine, sketching the city's vibrant street life.","Édouard Manet se encuentra en las orillas del Sena, esbozando la vida callejera animada de la ciudad.","Édouard Manet se tient sur les rives de la Seine, esquisser la vie animée de la rue de la ville.","Édouard Manet steht am Ufer der Seine, skizziert das lebendige Straßenleben der Stadt.","Edouard Manet si trova sulle rive della Senna, schizziando la vita vibrante della città.","Édouard Manet permanece nas margens do Sena, desenhando a vida noturna animada da cidade.",4557
Édouard Manet's 'The Railway' is depicted in a bustling train station filled with people rushing to catch their trains.,La obra 'El Ferrocarril' de Édouard Manet se representa en una estación de tren concurrida llena de personas que se apresuran para coger sus trenes.,L'œuvre d'Édouard Manet intitulée 'La Gare' est représentée dans une gare encombrée où l'on voit des gens qui se précipitent pour ne pas rater leur train.,"Édouard Manets 'Die Bahn' ist in einem belebten Bahnhof dargestellt, der voller Menschen ist, die eilig nach ihrem Zug eilen.","La ""Stazione ferroviaria"" di Édouard Manet è rappresentata in una stazione ferroviaria affollata, dove le persone corrono per prendere i loro treni.","A obra de Édouard Manet 'The Railway' é representada em uma estação de trem movimentada, cheia de pessoas apressadas para pegar seus trens.",106
"A woman in a long, flowing coat stands with her back to the viewer, her posture confident and self-assured as she gazes out at the cityscape behind her.","Una mujer con un largo y ampuloso abrigo se mantiene con su espalda hacia el espectador, su postura confiada y segura mientras contempla el paisaje urbano detrás de ella.","Une femme vêtue d'une longue et ample cape se tient debout, dos tourné vers le spectateur, sa posture confiante et assurée tandis qu'elle contemple la vue urbaine derrière elle.","Eine Frau in einem langen, fließenden Mantel steht mit ihrem Rücken zum Betrachter, ihre Haltung selbstsicher und selbstbewusst, während sie aus dem Fenster schaut und auf das Stadtpanorama hinter ihr blickt.","Una donna con un lungo e fluttuante cappotto si tiene con la schiena rivolta verso lo spettatore, la sua postura sicura e fiduciosa mentre guarda la città che si trova dietro di lei.","Uma mulher vestida com um longo e amplo casaco se encontra de costas para o espectador, com postura confiante e segura de si mesma enquanto contempla o cenário urbano que se encontra atrás dela.",2615
