noun,similarity
john_lennon,0.755
elvis,0.753
bowie,0.7524
bob_dylan,0.7524
marx,0.751
hegel,0.747
mccartney,0.7446
trump,0.743
reagan,0.742
hendrix,0.741
freud,0.741
madonna,0.74
arnold,0.74
george_washington,0.7393
andrew,0.739
schnabel,0.7383
marilyn_monroe,0.7383
manson,0.7383
churchill,0.7383
welles,0.738
nixon,0.738
jfk,0.735
paul_mccartney,0.735
sinatra,0.7344
michael_jackson,0.7344
bill_clinton,0.734
william_shakespeare,0.733
kiley,0.7324
grandpa,0.7324
karl_marx,0.731
elvis_presley,0.731
pop,0.7305
kennedy,0.7305
presley,0.7305
johnny_cash,0.7295
rupert_murdoch,0.729
punk,0.729
weirdie,0.729
william_frederick_cody,0.7285
self-portrait,0.7285
prince,0.7285
schiller,0.728
winston_churchill,0.7275
chaplin,0.7275
conrad,0.7275
shakespeare,0.7275
hitler,0.727
peanut,0.727
mick_jagger,0.7266
wordsworth,0.7266
david,0.7266
walter,0.725
angel,0.725
granddad,0.725
putin,0.725
daddy,0.7246
isherwood,0.7246
clinton,0.724
pablo_picasso,0.724
dad,0.724
manzoni,0.7236
einstein,0.7236
buhl,0.7236
chomsky,0.7236
gluck,0.723
hillary,0.723
jung,0.723
frank,0.723
antony,0.723
self,0.723
william_dudley_haywood,0.7227
comrade,0.7227
merl,0.722
john,0.722
billy,0.722
grandma,0.722
cowboy,0.7217
weirdy,0.7217
kant,0.721
president_clinton,0.721
someone,0.721
leonard,0.721
pontifex,0.7207
abbe,0.72
great-uncle,0.72
adam,0.72
mendel,0.7197
pope,0.7197
kennelly,0.7197
picasso,0.719
todd,0.719
george_bush,0.719
marl,0.7188
schlesinger,0.7188
george_w._bush,0.7188
cam,0.7188
mitchell,0.7188
lenard,0.7183
guy,0.7183
weill,0.7183
winfred,0.7183
ronald_reagan,0.7183
sir,0.718
charles,0.718
bill_gates,0.718
ali,0.718
mandela,0.718
jimmy,0.718
melville,0.718
jacobi,0.718
willis,0.718
cabell,0.718
mac,0.7173
uncle,0.7173
abraham_lincoln,0.7173
herbert_marx,0.7173
aril,0.7173
archil,0.717
grandmother,0.717
anthony,0.717
moynihan,0.717
nelson_mandela,0.717
styron,0.717
woody_allen,0.717
kelly,0.717
carrell,0.7163
father,0.7163
sam,0.7163
seidel,0.7163
president,0.7163
mom,0.7163
commie,0.716
sir_william_chambers,0.716
shakespearian,0.716
currier,0.716
sessions,0.716
albino,0.716
chump,0.716
thomas_kennerly_wolfe_jr.,0.7153
spook,0.7153
tully,0.7153
foucault,0.7153
punky,0.7153
schrod,0.7153
granddaddy,0.7153
william_jefferson_clinton,0.7153
curtis,0.7153
grandfather,0.7153
spock,0.715
schlock,0.715
boy,0.715
marquis,0.715
smalley,0.715
hirschfeld,0.715
william_gilbert,0.715
timothy,0.715
tesla,0.715
great-aunt,0.715
saul,0.715
murdoch,0.7144
jefferson,0.7144
president_john_adams,0.7144
byron,0.7144
beecher,0.7144
neumann,0.7144
bean,0.7144
adolf_hitler,0.7144
bill,0.7144
gary,0.7144
slick,0.714
bull,0.714
tomalley,0.714
king,0.714
ray,0.714
nobel,0.714
milcher,0.714
johnny,0.714
robert,0.7134
jimi_hendrix,0.7134
albee,0.7134
martin,0.7134
