noun,similarity
madonna,0.791
angelique,0.7637
michael_jackson,0.762
kylie,0.7573
marilyn_monroe,0.7563
meryl_streep,0.7554
mick_jagger,0.748
bill_clinton,0.7476
margaret_thatcher,0.7446
anne_hathaway,0.7446
madonna_louise_ciccone,0.7446
bob_dylan,0.744
elvis_presley,0.7437
bey,0.743
putin,0.7417
prince,0.74
angel,0.7397
trump,0.739
streep,0.739
pontifex,0.7383
hillary,0.7383
inge,0.7373
musk,0.737
margaret_hilda_thatcher,0.737
bill_gates,0.7363
george_bush,0.736
ariana,0.735
actress,0.7344
paul_mccartney,0.734
elvis,0.733
hilary_clinton,0.733
jfk,0.732
reagan,0.731
vladimir_putin,0.7305
muhammad_ali,0.73
gal,0.7295
abila,0.729
benedict,0.7285
jenner,0.728
princess_diana,0.727
tony_blair,0.7266
alienee,0.7266
snoop,0.726
jagger,0.726
homegirl,0.726
mccartney,0.7246
jensen,0.724
mommy,0.7236
rupert_murdoch,0.7236
inga,0.723
michael_joe_jackson,0.723
john_lennon,0.721
anouilh,0.721
alizarine,0.721
archil,0.721
female_person,0.7207
johnny_cash,0.7207
mom,0.72
someone,0.72
cyrilla,0.7197
president_clinton,0.7197
ex-wife,0.7197
theresa,0.7197
axil,0.719
pope,0.7188
melaena,0.7188
elizabeth_ii,0.7188
ali,0.7188
androgyne,0.7183
nelson_mandela,0.7183
presley,0.718
brigid,0.718
signora,0.7173
stephen_hawking,0.7173
bowie,0.7173
female_parent,0.717
manson,0.717
mary,0.717
georgette,0.717
tati,0.7163
kiley,0.7163
moreen,0.7163
famous_person,0.7163
hitler,0.7163
melena,0.7163
peanut,0.716
arnold,0.716
missus,0.7153
johnny,0.7153
ronald_reagan,0.7153
jarrell,0.7153
christella,0.7153
adolf_hitler,0.715
rosilla,0.715
madam,0.715
weill,0.715
joyce,0.715
girl,0.7144
jane_doe,0.714
moll,0.714
stepmother,0.7134
miss,0.7134
angelica,0.7134
abel,0.7134
rebekah,0.7134
czarina,0.713
president,0.7124
jack,0.7124
fashion_model,0.7124
jung,0.7124
girl_wonder,0.712
bridget,0.712
grandmother,0.712
queen,0.7114
lady_friend,0.7114
andrew,0.7114
winston_churchill,0.711
true_jasmine,0.711
drey,0.711
