noun,similarity
bey,0.8203
madonna,0.818
tiffany,0.811
hillary,0.805
trump,0.8013
taylor,0.801
sweetener,0.8
self,0.7993
someone,0.799
kiley,0.796
homegirl,0.7954
anthony,0.7944
christian,0.794
louis,0.7915
ally,0.7915
arianist,0.791
erica,0.791
andrew,0.791
sian,0.7905
nick,0.7896
shawn,0.789
ranee,0.789
rebekah,0.788
aaron,0.788
tyler,0.7876
prince,0.787
ant,0.787
ant_bear,0.786
aril,0.7847
gean,0.7847
tati,0.784
moreen,0.784
daddy,0.784
ester,0.784
liana,0.784
czarina,0.7837
michael_jackson,0.7837
whore,0.783
adz,0.783
brooke,0.7827
tzarina,0.782
haley,0.7817
cay,0.7812
briony,0.7812
brae,0.781
daniel,0.781
melena,0.781
adrian,0.7803
jarrell,0.7803
marina,0.7803
mat,0.78
adman,0.78
luke,0.78
beau,0.78
liza,0.78
fatimah,0.7793
key,0.7793
drey,0.779
derris,0.779
geordie,0.779
alb,0.779
somebody,0.7783
jacobi,0.7783
austin_friar,0.7783
shona,0.7783
barbra_streisand,0.7783
angel,0.778
prude,0.778
brinton,0.778
christella,0.778
john_anthony_ciardi,0.778
paul,0.7773
scot,0.7773
colleen,0.777
marti,0.777
shipper,0.777
cheyenne,0.777
noemi,0.777
brogan,0.7764
xavier,0.7764
sarah,0.7764
drake,0.776
rapper,0.776
snoop,0.776
sweet,0.776
marstan,0.776
abila,0.7754
rachel,0.7754
nadir,0.7754
artemus_ward,0.7754
arista,0.7754
steffens,0.7754
drew,0.7754
banks,0.7754
scuffle_hoe,0.775
shay,0.775
drag,0.7744
alienee,0.7744
adam,0.7744
carlos,0.7744
person,0.7744
idol,0.7744
diva,0.774
granter,0.774
chance,0.774
queen,0.774
jean,0.774
javan,0.774
archil,0.774
jacob,0.774
girl,0.774
rupert_murdoch,0.7734
loren,0.7734
kendall,0.7734
austen,0.7734
mary,0.7734
diamond,0.7734
john_ciardi,0.773
jenner,0.773
good,0.773
angelique,0.773
mom,0.773
chyle,0.773
nan,0.773
kitty,0.7725
maria,0.7725
personality,0.7725
ex-wife,0.7725
anther,0.772
kelt,0.772
melaena,0.772
brigid,0.772
ciardi,0.7715
noah,0.7715
bruno,0.7715
nates,0.7715
kaury,0.7715
taenia,0.7715
buhl,0.7715
jonah,0.771
corespondent,0.771
rowel,0.771
vas,0.771
demetrius,0.771
goody,0.771
alizarine,0.771
meeter,0.771
lovely,0.771
pureblood,0.771
princess,0.7705
brit,0.7705
friend,0.7705
mine,0.7705
marc,0.77
amir,0.77
hyalin,0.77
deb,0.77
grandma,0.7695
nad,0.7695
con,0.7695
gram,0.7695
cam,0.769
evert,0.769
egocentric,0.769
dean,0.769
james,0.769
amber,0.769
bryan,0.769
marquise,0.769
personage,0.769
livy,0.7686
girlfriend,0.7686
cinnamon,0.7686
greco,0.7686
robert,0.7686
kylie,0.7686
rani,0.7686
dad,0.7686
aussie,0.768
vocalist,0.768
wade,0.768
lea,0.768
best,0.768
erin,0.768
lenard,0.768
george_bush,0.768
tory,0.7676
kelly,0.7676
homosexual,0.7676
meryl_streep,0.7676
mac,0.7676
dika,0.7676
president,0.7676
pussly,0.767
valine,0.767
actress,0.767
beanie,0.767
will_hays,0.767
yuppie,0.767
marl,0.767
nahum,0.767
mommy,0.767
ashton,0.767
transferee,0.767
right,0.7666
favorite,0.7666
dick,0.7666
brier,0.7666
cyrilla,0.7666
conservative,0.7666
maha,0.7666
inge,0.766
user,0.766
john,0.766
jew,0.766
fiancee,0.766
missus,0.766
apologist,0.766
spenser,0.766
hymie,0.766
proponent,0.766
mama,0.7656
dominick,0.7656
mere,0.7656
pope,0.7656
jerevan,0.7656
bruce,0.7656
rya,0.7656
bijou,0.7656
best_friend,0.7656
rebecca,0.7656
chari,0.7656
v.p.,0.7656
charity,0.7656
