noun,similarity
delacroix,0.7646
monet,0.7515
claude_monet,0.7495
edouard_manet,0.747
jacques_francois_antoine_ibert,0.746
rene_antoine_ferchault_de_reaumur,0.744
rossetti,0.741
rousseau,0.7407
manet,0.7393
francois_auguste_rene_rodin,0.7383
arouser,0.738
dreyfus,0.737
peignoir,0.734
arthur_seymour_sullivan,0.7334
alexandre_emile_jean_yersin,0.7314
eugene_delacroix,0.7314
durer,0.731
henriette_rosine_bernard,0.7285
gauguin,0.727
henri_labrouste,0.7266
auguste_rodin,0.7266
ernst_heinrich_weber,0.7266
rennin,0.7266
morceau,0.726
reaumur,0.7256
dejeuner,0.7246
august_wilhelm_von_hoffmann,0.723
impressionist,0.723
marceau,0.723
vicomte_ferdinand_marie_de_lesseps,0.7227
flaubert,0.722
bertrand_arthur_william_russell,0.722
wilhelm_eduard_weber,0.7217
jean_auguste_dominique_ingres,0.7217
giraudoux,0.7217
jacques_alexandre_cesar_charles,0.7217
modiste,0.721
arthur_meier_schlesinger,0.7207
henry_norris_russell,0.7207
sargent,0.72
cezanne,0.7197
larousse,0.7197
hermann_joseph_muller,0.719
paul_cezanne,0.719
postimpressionist,0.7188
rabelais,0.7188
anouilh,0.7188
chaplin,0.7188
mandioc,0.718
freud,0.7173
saint-saens,0.7173
pasteur,0.717
proust,0.7163
marx,0.7153
ferdinand_joseph_la_menthe_morton,0.7153
ernest_walton,0.715
jean-baptiste_poquelin,0.715
august_von_wassermann,0.7144
henri_rene_albert_guy_de_maupassant,0.7144
hermann_maurice_saxe,0.7144
cazique,0.714
gustav_theodor_fechner,0.714
emile_herzog,0.714
francis_joseph,0.714
pablo_picasso,0.714
henri_clemens_van_de_velde,0.713
churchill,0.713
rudolf_ludwig_mossbauer,0.713
herbert_alexander_simon,0.7124
j._e._johnston,0.7124
constable,0.7124
hilaire_germain_edgar_degas,0.712
jean-jacques_rousseau,0.712
wilhelm_ostwald,0.712
jean_de_la_fontaine,0.712
friedrich_august_wolf,0.7114
simenon,0.7114
henri_van_de_velde,0.711
wilhelm_karl_grimm,0.711
milcher,0.7104
francoise_d'aubigne,0.71
angelique,0.71
jung,0.71
augustine,0.71
signore,0.7095
monsieur,0.7095
baudelaire,0.7085
hesse,0.7085
ernest_orlando_lawrence,0.7085
charles_francis_hall,0.7085
rothschild,0.7085
muazzin,0.708
winston_churchill,0.708
turner,0.708
welles,0.7075
bernard_arthur_owen_williams,0.707
mergenthaler,0.707
emil_hermann_fischer,0.707
arthur_meier_schlesinger_jr.,0.707
rudolf_christian_karl_diesel,0.7065
karl_adolph_verner,0.7065
walter_john_de_la_mare,0.7065
faquir,0.7065
delibes,0.706
ferdinand_victor_eugene_delacroix,0.7056
menninger,0.7056
lenin,0.7056
gounod,0.7056
h._h._munro,0.705
wilhelm_ii,0.705
korda,0.7046
montaigne,0.7046
vincent_van_gogh,0.7046
rubinstein,0.7046
mussolini,0.7046
pasternak,0.7046
rubens,0.7046
marqueterie,0.704
carrere,0.704
hermann_snellen,0.704
zinnemann,0.704
tchaikovsky,0.704
abettor,0.7036
wilhelm_konrad_roentgen,0.7036
henry_robinson_luce,0.7036
frederick_jackson_turner,0.7036
astor,0.7036
friedrich_august_kekule,0.703
guy_de_maupassant,0.703
schlesinger,0.703
muir,0.7026
thomas_augustus_watson,0.7026
francois-marie_arouet,0.7026
marquis,0.7026
charles_kay_ogden,0.7026
labrouste,0.7026
jacques_anatole_francois_thibault,0.7026
chekhov,0.702
francois_rabelais,0.702
charles_frederick_worth,0.702
hopkinson,0.702
ibsen,0.702
tolstoy,0.7017
hans_conrad_julius_reiter,0.7017
francis_beaumont,0.7017
parroquet,0.7017
verner,0.7017
e._t._a._hoffmann,0.701
napoleon,0.701
brecht,0.701
picasso,0.701
wilhelm_konrad_rontgen,0.701
cecil_j._rhodes,0.701
bijou,0.701
portrait,0.7007
reiter,0.7007
frenchman,0.7007
daguerre,0.7007
napoleon_iii,0.7007
trollope,0.7007
vernier,0.7007
henry_hobson_richardson,0.7
abraham_lincoln,0.7
coaxer,0.7
buchner,0.6997
jensen,0.6997
tusser,0.6997
passerby,0.6997
van_gogh,0.6997
canetti,0.6997
parisian,0.6997
maigre,0.6997
reagan,0.699
montespan,0.699
joseph_louis_barrow,0.699
paul_gauguin,0.699
herbert_a._simon,0.699
bloch,0.699
frederick_james_furnivall,0.699
debaucher,0.699
agnes_george_de_mille,0.6987
joseph_louis_gay-lussac,0.6987
sumpter,0.6987
tennyson,0.6987
albrecht_durer,0.6987
isidore_auguste_marie_francois_comte,0.6987
kaspar_friedrich_wolff,0.6987
isaac_stern,0.6987
austen,0.698
e._h._weber,0.698
hecht,0.698
alfred_charles_william_harmsworth,0.698
casquet,0.6978
maquis,0.6978
arouet,0.6978
john_singer_sargent,0.6978
hermann_wilhelm_goring,0.6978
lesseps,0.6973
essayer,0.6973
degas,0.6973
aurelius,0.6973
willem_de_sitter,0.6973
jules_de_goncourt,0.697
neurasthenic,0.697
selznick,0.697
antonio_lopez_de_santa_ana,0.697
bizet,0.697
jacques_loeb,0.697
boeuf,0.697
auden,0.697
wilde,0.697
hevesy,0.697
percy_aldridge_grainger,0.6963
charles_dudley_warner,0.6963
piolet,0.6963
moneron,0.6963
gandhi,0.6963
charles_proteus_steinmetz,0.6963
beguine,0.6963
spiegeleisen,0.6963
touter,0.6963
henry_kenneth_alfred_russell,0.6963
henry_wheeler_shaw,0.696
cousteau,0.696
gustav_ludwig_hertz,0.696
eugene_luther_vidal,0.696
antony,0.696
carnegie,0.696
gogh,0.6953
