noun,similarity
george_bush,0.7695
madonna,0.767
jfk,0.7656
trump,0.763
bradley,0.76
musk,0.759
bill_clinton,0.758
prince,0.7563
presley,0.7563
bob_dylan,0.756
brady,0.756
putin,0.755
slash,0.754
mel_gibson,0.754
george_w._bush,0.7534
xxx,0.753
michael_jackson,0.7524
nash,0.752
someone,0.751
elvis,0.751
bush,0.75
dec,0.75
spall,0.75
hitler,0.7485
snoop,0.7476
peanut,0.747
pontifex,0.747
chad,0.747
scot,0.7466
tom_hanks,0.7466
bruce,0.745
garret,0.745
david,0.7446
noah,0.744
daddy,0.744
benedict,0.7437
elvis_presley,0.7427
meryl_streep,0.7427
bruno,0.742
jacob,0.742
paul_mccartney,0.7417
bill_gates,0.7417
president,0.741
president_george_w._bush,0.7407
bey,0.74
pope,0.74
arnold,0.74
pall,0.7397
leo,0.7397
self,0.7393
geordie,0.739
philip,0.739
person,0.739
bridget,0.7383
personality,0.7373
kelt,0.737
jassid,0.737
jarrell,0.737
jacobi,0.737
mart,0.7363
prude,0.7363
rupert_murdoch,0.7363
gale,0.7363
gosling,0.7363
reagan,0.736
jensen,0.736
mccartney,0.736
jesus,0.736
billy,0.735
president_bush,0.735
paul,0.7344
dad,0.7344
brogan,0.7344
kiley,0.7344
streep,0.7344
paton,0.734
marc,0.734
jack,0.734
brier,0.734
tyler,0.7334
famous_person,0.7334
pussly,0.7334
seth,0.733
bennet,0.733
somebody,0.733
todd,0.733
bowie,0.7324
ali,0.7324
uut,0.732
jimmy,0.732
john_lennon,0.732
drew,0.732
dylan,0.7314
mac,0.7314
bull,0.7314
troy,0.7314
bradstreet,0.731
bryan,0.731
brae,0.731
weill,0.7305
chance,0.73
daniel,0.73
brinton,0.73
tesla,0.7295
man,0.7295
mat,0.7295
pauli,0.7295
wade,0.729
hillary,0.729
goody,0.729
shawn,0.729
adam,0.7285
tony_blair,0.7285
xavier,0.7285
thomas_bradley,0.728
jew,0.728
luke,0.728
schrod,0.728
taylor,0.728
drey,0.728
cleg,0.7275
sir,0.7275
ridge,0.7275
pius_x,0.7275
paddy,0.7275
hassel,0.7275
ben,0.7275
james,0.7275
mom,0.727
vladimir_putin,0.727
dean,0.727
fart,0.727
bill,0.727
buhl,0.727
simon,0.7266
swill,0.7266
stephen_hawking,0.7266
benjamin,0.7266
louis,0.726
marcel,0.726
matthew,0.726
mick_jagger,0.726
very_important_person,0.726
christian,0.7256
elijah,0.7256
mam,0.7256
edward,0.7256
goose,0.7256
heartthrob,0.7256
zep,0.725
friend,0.725
v.p.,0.725
brother,0.725
brim,0.725
frazer,0.725
firth,0.725
pistol,0.725
dude,0.725
angel,0.725
nates,0.7246
andrew,0.7246
shute,0.7246
bacon,0.7246
specific,0.7246
beau,0.7246
gage,0.7246
nadir,0.7246
deb,0.724
davit,0.724
nicholas,0.724
gleet,0.7236
briton,0.7236
nazi,0.7236
whatnot,0.7236
missus,0.7236
patrick,0.7236
idol,0.7236
lapp,0.7236
bean,0.723
brigid,0.723
archil,0.723
brand,0.723
cody,0.723
stroke,0.723
guy,0.723
best,0.723
marti,0.723
papa,0.723
wayne,0.7227
watt,0.7227
benjamin_bush,0.7227
drake,0.7227
uncle,0.7227
ted,0.722
mulligan,0.722
jakes,0.722
punk,0.722
patrial,0.722
walter,0.722
pirate,0.722
tuna,0.722
ronald_reagan,0.722
brent,0.7217
actress,0.7217
hansom,0.7217
nast,0.7217
bligh,0.7217
deacon,0.7217
