noun,similarity
mickey_mouse,0.787
spaceman,0.7837
buzz_saw,0.779
mickey,0.7773
astronaut,0.775
spacesuit,0.763
space_cadet,0.761
donald_duck,0.7603
batman,0.7603
bee,0.759
someone,0.758
alien,0.7573
buzz_bomb,0.756
disney,0.755
bug,0.7544
hulk,0.752
jesus,0.7515
superman,0.7515
space,0.7485
insect,0.7446
prince,0.744
elvis,0.7437
clown,0.742
donkey,0.741
gleet,0.7407
storm_trooper,0.7407
dude,0.7397
minion,0.7397
scot,0.7393
man,0.7393
goof,0.7393
hitler,0.738
daddy,0.7373
santa,0.7373
apple,0.7373
honeybee,0.7363
somebody,0.7363
walter,0.7363
interplanetary_space,0.736
christ,0.736
buddy,0.736
hymie,0.736
hick,0.735
spacecraft,0.735
alb,0.7344
spock,0.7344
ant,0.734
self,0.734
guy,0.734
dad,0.7334
pope,0.7334
outer_space,0.733
personage,0.733
intergalactic_space,0.733
homeboy,0.7324
cleg,0.7324
swill,0.732
fart,0.732
biggin,0.7314
goody,0.7314
shute,0.7314
bull,0.731
trump,0.731
chinaman,0.731
ogre,0.7305
shakespearian,0.7305
ted,0.73
buhl,0.73
aerospace,0.73
rodent,0.73
bee_beetle,0.7295
cowman,0.7295
mat,0.7295
bozo,0.729
heisenberg,0.729
ant_bear,0.729
cosmonaut,0.729
best,0.729
lasher,0.729
lord,0.7285
person,0.7285
general,0.7285
universe,0.7285
neil_armstrong,0.7285
burgoyne,0.7285
adolf_hitler,0.728
grandpa,0.728
human,0.728
baby,0.728
geordie,0.728
inspiration,0.728
fuzz,0.7275
george_bush,0.7275
bb_gun,0.7275
president,0.7275
cowboy,0.7275
nates,0.7275
lego,0.727
gean,0.727
bot,0.727
uut,0.727
big_h,0.7266
frog,0.7266
cool,0.7266
sheriff,0.7266
very_important_person,0.7266
veggie,0.7266
serjeant,0.7266
kelt,0.7266
doggy,0.726
turtle,0.726
boy,0.726
good,0.726
bovine,0.726
tater,0.726
gasman,0.726
space_helmet,0.7256
joker,0.7256
day,0.7256
true_bug,0.7256
fly,0.7256
snoop,0.7256
cinderella,0.7256
landman,0.725
big_toe,0.725
fairy,0.725
sergeant,0.725
doggie,0.725
hansom,0.7246
minnie_mouse,0.7246
spaceship,0.7246
cive,0.7246
homegirl,0.7246
angel,0.7246
ex-husband,0.7246
duke,0.7246
chad,0.7246
budge,0.7246
husky,0.7246
pontifex,0.7246
a.e.,0.7246
wayne,0.724
scout,0.724
disneyland,0.724
rip,0.724
binger,0.724
right,0.724
hyson,0.724
life,0.724
busman,0.724
granddaddy,0.7236
legatee,0.7236
scuba,0.7236
lug,0.7236
communist,0.7236
dozer,0.7236
namesake,0.723
doctor,0.723
fireman,0.723
ali,0.723
shuttle,0.7227
android,0.7227
sir,0.7227
retard,0.7227
burnouse,0.7227
dr.,0.7227
ex-serviceman,0.7227
pistol,0.7227
putz,0.7227
planet,0.7227
cay,0.7227
adam,0.7227
fatty,0.7227
