noun,similarity
renoir,0.771
pierre_auguste_renoir,0.752
manet,0.7363
van_gogh,0.7314
impressionist,0.7305
proust,0.73
vincent_van_gogh,0.7295
freud,0.727
edouard_manet,0.7236
sartre,0.721
postimpressionist,0.7197
winslow_homer,0.7183
delacroix,0.716
fidel_castro,0.715
gogh,0.715
gustave_courbet,0.7124
winston_churchill,0.7124
marcel_proust,0.7114
corot,0.711
cezanne,0.711
marx,0.7104
satie,0.708
monnet,0.7075
tagore,0.707
henri_matisse,0.7065
jacques_francois_antoine_ibert,0.7065
modiste,0.7065
george_washington,0.706
chekhov,0.706
matisse,0.7056
rembrandt,0.7056
gauguin,0.7046
tolstoy,0.7046
churchill,0.7036
flaubert,0.7036
brahms,0.701
charles_darwin,0.7007
walt_whitman,0.7
sir_william_turner_walton,0.6997
oscar_wilde,0.6978
bizet,0.6978
william_shakespeare,0.6973
keynes,0.697
paul_cezanne,0.6963
saint-saens,0.696
goethe,0.696
pablo_picasso,0.6953
plato,0.6953
gandhi,0.694
courbet,0.6924
karl_marx,0.6924
jean-paul_sartre,0.6924
monsieur,0.6914
nehru,0.6914
sigmund_freud,0.691
leo_tolstoy,0.6904
tesla,0.6904
georges_henri_lemaitre,0.69
bob_dylan,0.69
trollope,0.6895
abraham_lincoln,0.689
einstein,0.689
simenon,0.688
jung,0.687
gounod,0.687
tolkien,0.687
shakespearian,0.686
cheever,0.686
morceau,0.686
montaigne,0.686
degas,0.6855
shakespeare,0.6855
montespan,0.6855
auguste_rodin,0.685
leonardo_da_vinci,0.684
vicomte_ferdinand_marie_de_lesseps,0.684
dostoevsky,0.684
charles_camille_saint-saens,0.684
picasso,0.684
chaplin,0.6836
chopin,0.6836
post-impressionist,0.6836
fyodor_mikhailovich_dostoevsky,0.683
hitler,0.683
poulenc,0.683
francophile,0.683
piolet,0.683
colette,0.683
canetti,0.683
yeats,0.682
mahler,0.682
fyodor_dostoevsky,0.6816
thoreau,0.6816
melville,0.6816
theodore_roosevelt,0.681
mandioc,0.681
chintz,0.681
godard,0.6807
john_muir,0.6807
mallarme,0.68
pinter,0.68
parisian,0.68
madame,0.68
michel_montaigne,0.68
paul_gauguin,0.6797
nietzsche,0.6797
charles_robert_darwin,0.6797
edwardian,0.6797
anatole_france,0.6797
willem_de_sitter,0.679
bergson,0.679
edmond_louis_antoine_huot_de_goncourt,0.679
lenin,0.679
george_herbert_mead,0.6787
reagan,0.678
ferdinand_de_saussure,0.678
cazique,0.678
fauvist,0.6777
rousseau,0.6772
anton_chekhov,0.6772
gustave_flaubert,0.6772
mahatma_gandhi,0.6772
jean-jacques_rousseau,0.6772
jacques_alexandre_cesar_charles,0.6772
eiffel,0.677
jules_alfred_huot_de_goncourt,0.677
charles_william_post,0.677
grandmother,0.677
adolf_hitler,0.677
sondheim,0.677
strachey,0.677
muir,0.6763
eugene_delacroix,0.6763
merton,0.6763
clemenceau,0.6763
someone,0.676
marie_jean_antoine_nicolas_caritat,0.676
fdr,0.676
marcel_duchamp,0.676
president_theodore_roosevelt,0.676
wilde,0.676
housman,0.6753
psychoanalyst,0.6753
benjamin_franklin,0.6753
confucius,0.6753
ferdinand_joseph_la_menthe_morton,0.6753
ronald_reagan,0.6753
francois_auguste_rene_rodin,0.6753
warhol,0.6753
charles,0.675
president_abraham_lincoln,0.675
george_bush,0.675
walter_de_la_mare,0.675
constable,0.6743
smetana,0.6743
georges_bizet,0.6743
george_harrison,0.6743
walter_john_de_la_mare,0.674
casquet,0.674
turner,0.674
walt_disney,0.674
edgar_degas,0.674
edmond_malone,0.6733
debussy,0.6733
gluck,0.6733
mozart,0.6733
mon,0.6733
chandler,0.6733
verlaine,0.6733
bloch,0.6733
maigre,0.673
john_lennon,0.673
georgette,0.673
darwin,0.673
ibsen,0.673
bertrand_russell,0.673
marceau,0.673
grandpa,0.673
henri_labrouste,0.6724
landscape,0.6724
belloc,0.6724
chateau,0.6724
symbolist,0.6724
dostoyevsky,0.672
mansart,0.672
shavian,0.672
president_lincoln,0.672
mandela,0.672
marquand,0.672
bob_marley,0.6714
franklin_roosevelt,0.6714
rabindranath_tagore,0.6714
joseph_stalin,0.6714
litterateur,0.671
seine,0.671
charles_dickens,0.671
grandfather,0.6704
bijou,0.6704
apollinaire,0.6704
maurois,0.6704
kierkegaard,0.6704
grandaunt,0.6704
napoleon_iii,0.6704
milcher,0.6704
alfred_charles_william_harmsworth,0.6704
hilaire_germain_edgar_degas,0.67
chou,0.67
artist,0.67
zweig,0.67
pontifex,0.67
stalin,0.67
ostwald,0.67
nelson_mandela,0.67
henry_viii,0.6694
tchaikovsky,0.6694
emile_zola,0.6694
baudelaire,0.6694
giraudoux,0.6694
emil_hermann_fischer,0.6694
mona,0.669
rossetti,0.669
queen_victoria,0.669
jew,0.669
hesse,0.669
walter,0.669
durer,0.669
j.r.r._tolkien,0.669
mark_twain,0.669
camlet,0.669
marcel,0.669
kitty,0.669
sinatra,0.669
sherlock,0.669
magritte,0.6685
carrere,0.6685
unknown,0.6685
arouet,0.6685
shakespearean,0.6685
france,0.6685
michel_ney,0.6685
voltaire,0.6685
portrait,0.6685
grandma,0.668
feodor_mikhailovich_dostoevsky,0.668
jacques_loeb,0.668
hermann_maurice_saxe,0.6675
jaconet,0.6675
plage,0.6675
alexandre_emile_jean_yersin,0.6675
mullah,0.6675
carnegie,0.6675
moneron,0.667
artiste,0.667
jules_de_goncourt,0.667
moose,0.667
frenchman,0.667
albert_camus,0.667
hasid,0.667
henri_van_de_velde,0.667
reaumur,0.667
sir_henry_joseph_wood,0.667
fyodor_mikhailovich_dostoyevsky,0.667
paris,0.667
zen_buddhist,0.6665
nature,0.6665
paul_mccartney,0.6665
william_stanley_jevons,0.6665
ernest_bloch,0.6665
hemingway,0.6665
maupassant,0.6665
doodle,0.6665
angelique,0.666
william_henry_pratt,0.666
poulette,0.666
andre_gide,0.666
muazzin,0.666
milton,0.666
wilhelm_ostwald,0.666
joseph_louis_gay-lussac,0.666
francois-marie_arouet,0.666
michael_jackson,0.666
rothschild,0.666
christian_dior,0.666
george_orwell,0.6655
nobel,0.6655
franklin_delano_roosevelt,0.6655
mom,0.6655
john_constable,0.6655
amateur,0.6655
duse,0.6655
gustav_theodor_fechner,0.6655
cat,0.6655
cretonne,0.665
champagne,0.665
