noun,similarity
george_bush,0.8047
madonna,0.796
tony_blair,0.79
benedict,0.79
trump,0.789
louis,0.787
adam,0.782
drake,0.7817
reagan,0.7803
daddy,0.78
rupert_murdoch,0.778
bale,0.7773
daniel,0.776
jacobi,0.776
christian,0.775
george_w._bush,0.7744
someone,0.774
jacob,0.7725
snoop,0.7725
sherlock,0.772
bowie,0.7715
president_george_w._bush,0.7705
bryan,0.77
president_bush,0.7695
hillary,0.769
shawn,0.769
michael_jackson,0.7686
nick,0.7676
putin,0.7676
andrew,0.767
kelt,0.7666
bush,0.7666
ex-husband,0.7666
musk,0.766
philip,0.766
geordie,0.766
samuel,0.766
bey,0.766
englishman,0.7656
louis_x,0.7656
brogan,0.7656
paul,0.765
paul_mccartney,0.765
hick,0.765
nicholas,0.7646
ronald_reagan,0.7646
chad,0.7646
xxx,0.7646
adrian,0.764
benjamin,0.764
william_james,0.764
punk,0.764
sir,0.7637
mccartney,0.7637
landman,0.7637
dad,0.7637
kiley,0.7637
aaron,0.763
self,0.763
jack,0.763
tom,0.7627
jensen,0.7627
man_jack,0.7627
mat,0.762
beloved,0.762
lord,0.762
gean,0.762
taylor,0.762
prince,0.762
benjamin_bush,0.7617
spall,0.7617
chammy,0.7617
jesus,0.7617
keith_rupert_murdoch,0.7617
hakim,0.761
husband,0.761
bill_gates,0.761
beadsman,0.761
galan,0.761
man,0.7607
relative,0.7607
brother,0.7607
stephen_hawking,0.7607
drew,0.7607
benjamin_david_goodman,0.7607
stepfather,0.7607
daniel_rutherford,0.7603
pope,0.7603
president,0.7603
bill_clinton,0.76
graham,0.76
cleg,0.76
leo,0.7593
william_frederick_cody,0.7593
deacon,0.7593
brady,0.7593
brother-in-law,0.7593
matthew,0.7593
hilary_clinton,0.7593
dickie,0.7593
mick_jagger,0.759
pontifex,0.759
specific,0.7583
lovely,0.7583
bob_dylan,0.7583
hansom,0.7583
edger,0.7583
james,0.7583
nelson_mandela,0.7583
babinski,0.7583
christopher,0.7583
adman,0.758
middle-aged_man,0.758
thomas_bradley,0.758
william_shakespeare,0.758
jfk,0.758
thomas_jackson,0.758
deb,0.758
homeboy,0.758
sam,0.758
louis_v,0.7573
favorite,0.7573
steffens,0.757
king_of_great_britain,0.757
daniel_defoe,0.757
vladimir_putin,0.757
briton,0.757
max,0.757
simon,0.757
elam,0.757
plowman,0.757
ridge,0.757
welshman,0.7563
derris,0.7563
marc,0.7563
edward,0.7563
george_walker_bush,0.7563
friend,0.756
jakes,0.756
gerhard_gerhards,0.756
christ,0.756
hazard,0.756
goody,0.7554
alb,0.7554
dec,0.7554
hipster,0.7554
madam,0.7554
pique,0.7554
dika,0.7554
scot,0.7554
shim,0.7554
good,0.7554
political_leader,0.7554
nadir,0.7554
sir_david_bruce,0.7554
dean,0.7554
carl_david_anderson,0.7554
frenchman,0.7554
personage,0.7554
balker,0.755
biggin,0.755
elijah,0.755
hakham,0.755
nathan_hale,0.755
dreck,0.755
famous_person,0.755
sian,0.755
benjamin_peirce,0.755
gary,0.755
mathias,0.755
tricker,0.755
william_clark,0.7544
brit,0.7544
withe,0.7544
grahame,0.7544
joseph_stalin,0.7544
favourite,0.7544
cay,0.7544
xavier,0.7544
paton,0.754
old_man,0.754
dylan,0.754
timothy_francis_leary,0.754
lover,0.754
seckel,0.7534
dragger,0.7534
diana,0.7534
benni,0.7534
shamrock_pea,0.7534
ballock,0.7534
ex-wife,0.7534
boy,0.7534
edward_james_hughes,0.753
styler,0.753
daniel_patrick_moynihan,0.753
mine,0.753
evert,0.753
jespersen,0.7524
kean,0.7524
mam,0.7524
bradley,0.7524
lima_bean,0.7524
brinton,0.7524
hitler,0.7524
ex-boyfriend,0.7524
elvis,0.7524
brier,0.7524
king_of_england,0.7524
heartthrob,0.752
austin_friar,0.752
szilard,0.752
richard_hooker,0.752
angel,0.752
graver,0.752
samuel_houston,0.752
subject,0.752
shona,0.752
nad,0.752
davys,0.752
haick,0.752
henry_viii,0.752
best,0.7515
rich_person,0.7515
lasher,0.7515
chinaman,0.7515
dominick,0.7515
spick,0.7515
patrick,0.7515
brad,0.7515
louis_xi,0.7515
nahum,0.7515
diva,0.7515
sial,0.7515
life,0.7515
hudson_hoagland,0.7515
cam,0.7515
loved_one,0.7515
peter,0.751
brooke,0.751
davit,0.751
william_shockley,0.751
stockman,0.751
demetrius,0.751
dacron,0.751
owen,0.751
cadger,0.751
demander,0.751
will_hays,0.7505
john_lennon,0.7505
charles,0.7505
schoolmate,0.7505
adolf_hitler,0.7505
thomas_hodgkin,0.7505
mark_wayne_clark,0.7505
frazer,0.7505
yid,0.7505
lockman,0.7505
queen_of_england,0.7505
shem,0.7505
william_gilbert,0.75
shipper,0.75
gage,0.75
christopher_fry,0.75
very_important_person,0.75
drey,0.75
decker,0.75
rowel,0.75
charles_grey,0.75
cousin,0.75
calkin,0.75
james_francis_thorpe,0.7495
winfred,0.7495
frederick_william,0.7495
ben,0.7495
olav_ii,0.7495
personality,0.7495
younker,0.7495
garret,0.7495
mocker,0.7495
jonathan,0.7495
frank_sinatra,0.7495
marstan,0.7495
beard,0.749
thomas_jonathan_jackson,0.749
francois_jacob,0.749
noah,0.749
good_ol'_boy,0.749
jack_bean,0.749
idol,0.749
sir_william_gilbert,0.749
nates,0.749
gelly,0.749
lapp,0.749
chance,0.749
linkman,0.7485
bondman,0.7485
relative-in-law,0.7485
bacon,0.7485
drosky,0.7485
somebody,0.7485
johnny,0.7485
helve,0.7485
modeling,0.7485
pussly,0.7485
abraham,0.7485
dubya,0.7485
requester,0.7485
schlock,0.748
bean,0.748
passerby,0.748
wade,0.748
cool,0.748
dick,0.748
richard_i,0.748
king,0.748
robert,0.748
mark,0.748
brooklyn,0.748
sinatra,0.748
dieter,0.7476
rebekah,0.7476
hero,0.7476
slogger,0.7476
tati,0.7476
hyson,0.7476
kaki,0.747
romeo,0.747
father-figure,0.747
person,0.747
gay_man,0.747
somewhere,0.747
great-uncle,0.747
thomas_decker,0.747
men's,0.747
gem,0.747
ciardi,0.747
stepbrother,0.747
jakob_boehm,0.747
lady,0.747
louis_vi,0.7466
john,0.7466
peanut,0.7466
jerevan,0.7466
beanie,0.7466
ney,0.7466
princess_diana,0.7466
