noun,similarity
tesla,0.8516
trump,0.849
musk_hog,0.8423
hillary,0.834
stephen_hawking,0.8276
nick,0.8267
bill_clinton,0.825
rupert_murdoch,0.8223
anthony,0.82
ceo,0.8193
putin,0.8193
andrew,0.818
mark,0.8174
george_bush,0.8174
bill_gates,0.8164
neurasthenic,0.8164
adam,0.816
christian,0.815
chad,0.814
erik_weisz,0.814
john,0.814
tom,0.8135
daddy,0.813
man,0.8125
someone,0.8125
socialist,0.8125
econometrist,0.812
taylor,0.8115
non-christian_priest,0.811
dad,0.8105
leftist,0.8105
mat,0.8105
senator,0.81
president,0.81
paul,0.8096
marc,0.809
madonna,0.808
white_person,0.8076
lord,0.807
drosky,0.807
nates,0.807
robert,0.8066
self,0.8066
brady,0.806
keith_rupert_murdoch,0.806
user,0.806
seidel,0.806
alpha_iron,0.8057
dr.,0.8057
sam,0.8057
mike,0.805
julian_the_apostate,0.805
smalley,0.804
reagan,0.804
todd,0.804
prof,0.8037
frank,0.8037
middle-aged_man,0.8037
shawn,0.8037
friend,0.8037
ex-wife,0.8037
tony_blair,0.803
democrat,0.803
joseph_stalin,0.803
mom,0.8027
pope,0.8027
cleg,0.8027
brother,0.8027
jack,0.8027
scum_bag,0.8027
simon,0.8027
guy,0.8022
schlock,0.802
chance,0.802
julian,0.802
xavier,0.8013
marks,0.8013
clinton,0.8013
david,0.8013
meeter,0.8013
johnny,0.8013
jonathan,0.8013
benedict,0.801
swill,0.801
kiley,0.801
bob_dylan,0.8003
aaron,0.8003
mart,0.8003
karl_marx,0.8003
man_jack,0.8003
jimmy,0.8003
kelt,0.8003
rocket_scientist,0.8003
calean,0.8
sir,0.8
tomalley,0.8
mayer,0.8
cam,0.7993
scot,0.7993
fucking,0.7993
pontifex,0.7993
nigga,0.7993
sessions,0.799
martin,0.799
nestor,0.799
mac,0.7983
ex-husband,0.7983
bull_neck,0.7983
babinski,0.798
jonah,0.798
unusual_person,0.798
marti,0.798
shawny,0.798
noah,0.798
jacob,0.7974
lasher,0.7974
suspect,0.7974
person,0.7974
ted,0.7974
influential_person,0.7974
bondman,0.7974
non-jew,0.7974
max,0.7974
king,0.797
graver,0.797
bryan,0.797
ben,0.797
ant,0.797
douche_bag,0.797
allantois,0.7964
mathias,0.7964
tyler,0.7964
peter,0.7964
nazi,0.796
seckel,0.796
thomas_bradley,0.796
markoff,0.796
relative-in-law,0.796
fuck,0.796
good,0.796
cofounder,0.796
landman,0.796
wuss,0.796
market_strategist,0.796
bastard_indigo,0.7954
dude,0.7954
shim,0.7954
red_meat,0.7954
ex-mayor,0.7954
hubel,0.7954
walter,0.7954
goat,0.7954
father_of_the_church,0.7954
billy,0.7954
pussly,0.7954
mind-altering_drug,0.7954
better,0.7954
great-uncle,0.795
heterosexual_person,0.795
swaggerer,0.795
mann,0.795
gator,0.795
elijah,0.795
buhl,0.7944
twiner,0.7944
gary,0.7944
milcher,0.7944
bush,0.7944
dix,0.794
matthew,0.794
husband,0.794
nitwit,0.794
hilary_clinton,0.794
muskwood,0.794
bill,0.794
jarrell,0.794
mother_fucker,0.794
schmo,0.794
president_of_the_united_states,0.794
steffens,0.7935
krebs,0.7935
tucker,0.7935
galen,0.7935
uut,0.7935
milton,0.7935
chump,0.7935
mommy,0.7935
communist,0.7935
employee,0.793
fellow_worker,0.793
utterer,0.793
gallous,0.793
weirdie,0.793
dean,0.793
hansom,0.793
elam,0.793
lovely,0.793
allgood,0.7925
political_leader,0.7925
famous_person,0.7925
capelan,0.7925
stover,0.7925
kaury,0.7925
drew,0.7925
comrade,0.7925
motherfucker,0.7925
homeboy,0.7925
deep,0.7925
hassel,0.7925
will_hays,0.7925
calx,0.7925
shona,0.7925
george_w._bush,0.7925
garret,0.7925
dumbass,0.7925
plowman,0.7925
frye,0.7925
kid,0.792
dec,0.792
watt,0.792
beloved,0.792
molter,0.792
gean,0.792
man_of_means,0.792
stupe,0.792
younker,0.792
father,0.792
weekend_warrior,0.792
kelly,0.7915
doc,0.7915
marx,0.7915
rothschild,0.7915
balker,0.7915
frazer,0.7915
uncle,0.791
welsher,0.791
missus,0.791
charles,0.791
marl,0.791
ronald_reagan,0.791
jew,0.791
christopher,0.791
dreck,0.791
shmuck,0.791
graham,0.791
christ,0.791
holy_joe,0.791
sartor,0.7905
retard,0.7905
marquis,0.7905
weirdy,0.7905
homosexual,0.7905
doctor,0.7905
alabamian,0.7905
dolt,0.7905
snoop,0.7905
best,0.7905
jensen,0.7905
noble,0.7905
hymie,0.7905
holy_man,0.7905
c._w._post,0.79
sparker,0.79
wade,0.79
vladimir_putin,0.79
commander_in_chief,0.79
good_person,0.79
brother-in-law,0.79
fellow_member,0.79
riesman,0.79
eyry,0.79
mark_clark,0.79
cool,0.79
cat,0.7896
newcomb,0.7896
bad_person,0.7896
schrod,0.7896
founder,0.7896
ingerman,0.7896
easy_mark,0.7896
jacobi,0.7896
galan,0.7896
william_of_occam,0.7896
sherlock,0.7896
mayor,0.7896
nast,0.7896
tom_hanks,0.7896
somebody,0.789
master,0.789
mama,0.789
spall,0.789
frenchman,0.789
specific,0.789
rip,0.789
behring,0.789
personality,0.789
truster,0.789
james,0.789
frisch,0.789
doofus,0.789
no_man's_land,0.7886
conrad,0.7886
delicious,0.7886
stemmer,0.7886
political_hack,0.7886
dragger,0.7886
boy,0.7886
yuppie,0.7886
speer,0.7886
rapper,0.7886
professor,0.7886
bull,0.7886
scientist,0.7886
administrator,0.7886
dylan,0.7886
stephen_michael_reich,0.7886
great,0.7886
ice_bag,0.7886
papa,0.7886
unknown,0.7886
molnar,0.7886
golding,0.788
feifer,0.788
clews,0.788
musk_sheep,0.788
liberalist,0.788
weill,0.788
stephen,0.788
male_person,0.788
android,0.788
ant_bear,0.7876
captain,0.7876
szilard,0.7876
cousin,0.7876
hick,0.7876
knockoff,0.7876
hopkinson,0.7876
owen,0.7876
bennet,0.787
jesus,0.787
father-figure,0.787
writer,0.787
skank,0.787
goose,0.787
ramus,0.787
mocker,0.787
angel,0.787
ruddle,0.787
drake,0.787
leo,0.787
european_catfish,0.787
smitane,0.787
nicholas,0.787
thomas_nelson_page,0.787
fechner,0.7866
slick,0.7866
kirsch,0.7866
sacco,0.7866
hack_writer,0.7866
mack,0.7866
ice,0.7866
cay,0.7866
halley,0.7866
gary_weinstein,0.7866
commie,0.7866
french_canadian,0.786
layman,0.786
shnorrer,0.786
cavy,0.786
michael_jackson,0.786
nobel,0.786
slut,0.786
fucker,0.786
hunter,0.786
elected_official,0.786
predatory_animal,0.786
sumach,0.786
hitler,0.786
iron_man,0.786
electric,0.786
con,0.786
spenser,0.786
xxx,0.786
shipper,0.786
nadir,0.786
short,0.786
stockman,0.7856
buchner,0.7856
miss,0.7856
erin,0.7856
t-man,0.7856
momma,0.7856
fiancee,0.7856
coauthor,0.7856
cline,0.7856
back_breaker,0.7856
spick,0.7856
techie,0.7856
male_offspring,0.7856
toter,0.785
khan,0.785
pincus,0.785
thomas_crawford,0.785
basophile,0.785
monarchist,0.785
derris,0.785
leader,0.785
arguer,0.785
predestinationist,0.785
lipmann,0.785
greisen,0.785
chief,0.785
nark,0.785
ganof,0.785
dowser,0.785
verner,0.785
adrian,0.785
strayer,0.7847
butch,0.7847
jakes,0.7847
very_important_person,0.7847
somewhere,0.7847
risk_taker,0.7847
sian,0.7847
idiot,0.7847
brad,0.7847
alaska_cod,0.7847
hawser,0.7847
gregory_the_great,0.7847
scuba,0.7847
spook,0.7847
stocker,0.7847
edward,0.7847
steelman,0.7847
relative,0.7847
snead,0.7847
moron,0.7847
ninja,0.784
albino,0.784
deb,0.784
villus,0.784
french_person,0.784
g-man,0.784
brier,0.784
queer,0.784
styron,0.784
coaxer,0.784
kennelly,0.784
favorite,0.784
behrens,0.784
mitt,0.784
worldling,0.784
sumpter,0.784
executive_director,0.784
jonson,0.7837
jet,0.7837
seth,0.7837
kroeber,0.7837
philip,0.7837
baulker,0.7837
demetrius,0.7837
stickler,0.7837
curtis,0.7837
evert,0.7837
gay_man,0.7837
tole,0.7837
ridge,0.7837
a.e.,0.7837
jfk,0.7837
bradstreet,0.7837
right,0.7837
benjamin,0.7837
erica,0.7837
ex-spouse,0.783
paton,0.783
bruce,0.783
dotard,0.783
fellow,0.783
board_member,0.783
cox,0.783
chuck,0.783
currier,0.783
murdoch,0.783
asshole,0.783
austen,0.783
tenter,0.783
fuckup,0.783
favourite,0.783
luke,0.783
wife,0.783
paul_mccartney,0.783
business_leader,0.783
tati,0.783
jeerer,0.783
tom-tom,0.783
louis,0.783
liberal,0.783
mon,0.783
fugleman,0.783
silicon_valley,0.7827
des,0.7827
consultant,0.7827
geordie,0.7827
purser,0.7827
mush,0.7827
solomon,0.7827
jerevan,0.7827
dark_meat,0.7827
morton,0.7827
proponent,0.7827
rule,0.7827
easterner,0.7827
gregory,0.7827
kern,0.7827
marstan,0.7827
lingerer,0.7827
moulter,0.7827
sweet,0.7827
plexus_celiacus,0.7827
colonizer,0.7827
goody,0.7827
ex-boyfriend,0.7827
apostate,0.782
peer_of_the_realm,0.782
tuck,0.782
namesake,0.782
comedian,0.782
cooly,0.782
fitter,0.782
white_man,0.782
mere,0.782
political_commissar,0.782
chill,0.782
beadsman,0.782
congressman,0.782
kitty,0.782
nucha,0.782
meany,0.782
molly,0.782
wolfe,0.782
cabell,0.782
tindale,0.782
william_shockley,0.782
seminal_fluid,0.782
antony,0.782
symons,0.782
deacon,0.782
darrow,0.782
jamison,0.782
car,0.782
jowett,0.7817
inspiration,0.7817
offerer,0.7817
tory,0.7817
patzer,0.7817
favus,0.7817
mulligan,0.7817
fetter,0.7817
vexer,0.7817
transport,0.7817
shockley,0.7817
brockhouse,0.7817
taco,0.7817
constituent,0.7817
geek,0.7817
seism,0.7817
answerer,0.7812
human,0.7812
pistol,0.7812
aril,0.7812
false_vampire,0.7812
man-of-the-earth,0.7812
wise_man,0.7812
bad_hat,0.7812
juda,0.7812
charles_martin_hall,0.7812
sheeny,0.7812
tool_bag,0.7812
tick,0.7812
son,0.7812
norrish,0.7812
sharpy,0.7812
cadger,0.7812
whoreson,0.7812
dick,0.7812
nard,0.7812
turd,0.7812
bone_black,0.7812
duke,0.7812
existential_philosopher,0.7812
samuel,0.7812
alternate,0.7812
gem,0.781
mispickel,0.781
fet,0.781
biggin,0.781
tawney,0.781
v.p.,0.781
deceased_person,0.781
welshman,0.781
aper,0.781
santa_claus,0.781
falloff,0.781
bowie,0.781
shem,0.781
theoriser,0.781
author,0.781
bigot,0.781
governor,0.781
mine,0.781
investor,0.781
mccormick,0.781
mumbler,0.781
tunker,0.781
adolf_hitler,0.7803
entrepreneur,0.7803
malory,0.7803
flaxedil,0.7803
burn_bag,0.7803
nathan_hale,0.7803
marsh,0.7803
stanton,0.7803
thomas_j._jackson,0.7803
columnist,0.7803
assaulter,0.7803
day,0.7803
lobbyist,0.7803
coach,0.7803
binger,0.7803
united_states_president,0.7803
platitudinarian,0.78
mam,0.78
banjo,0.78
mason,0.78
schonberg,0.78
archil,0.78
melena,0.78
gay,0.78
waterman,0.78
congress,0.78
withers,0.78
gluck,0.78
hyson,0.78
greco,0.78
salomon,0.78
nihilist,0.78
scag,0.78
rowel,0.78
schlockmeister,0.78
samuel_houston,0.78
test,0.78
greenberg,0.78
parsons,0.78
wooer,0.78
abetter,0.78
old_person,0.78
merl,0.78
mccartney,0.78
press_lord,0.78
genius,0.7793
economic_libertarian,0.7793
fuller,0.7793
hoaxer,0.7793
klinefelter,0.7793
sergeant,0.7793
boss,0.7793
roomy,0.7793
rutledge,0.7793
amir,0.7793
sweat_suit,0.7793
miner,0.7793
simon_the_zealot,0.7793
planer,0.7793
john_deere,0.7793
