noun,similarity
kendall,0.772
madonna,0.768
anne_hathaway,0.7656
bey,0.765
ariana,0.7617
tiffany,0.7573
hillary,0.7554
louis,0.7476
paul_mccartney,0.746
meryl_streep,0.7446
erin,0.7437
rupert_murdoch,0.743
streep,0.742
someone,0.7417
shona,0.741
lea,0.74
john_lennon,0.7397
jenner,0.738
edmond_malone,0.738
soph,0.7363
mccartney,0.7363
benedict,0.735
homegirl,0.735
margaret_thatcher,0.735
tom,0.734
princess_diana,0.7334
shawn,0.732
erica,0.731
briony,0.731
trump,0.7305
gemma,0.7305
edmund_malone,0.7305
watson,0.7305
daniel,0.73
kiley,0.73
marilyn_monroe,0.73
shay,0.7295
liana,0.7295
edward,0.7295
nash,0.7295
yana,0.7295
pureblood,0.7295
ben,0.729
girl,0.7285
george_bush,0.7285
michael_jackson,0.7285
elia,0.7285
belle,0.7285
adam,0.728
taylor,0.728
daddy,0.727
actress,0.7266
sian,0.7266
keith_rupert_murdoch,0.7266
famous_person,0.7266
hilary_clinton,0.7256
self,0.7256
lindsay,0.7256
rebecca,0.725
somebody,0.725
margaret_hilda_thatcher,0.7246
madam,0.7246
rebekah,0.7246
colleen,0.724
missus,0.724
deb,0.7236
female_person,0.7236
mat,0.723
ex-wife,0.723
ally,0.7227
edward_james_hughes,0.7227
pearmain,0.722
bailee,0.722
paige,0.722
madonna_louise_ciccone,0.722
thomas_bradley,0.722
brigid,0.7217
simon,0.7217
paul,0.7217
william_james,0.7217
snoop,0.7217
thomas_augustus_watson,0.721
maigre,0.721
andrew,0.721
christian,0.721
virginia_katherine_mcmath,0.721
maria,0.7207
artemus_ward,0.7207
shim,0.7207
prince,0.7207
angelique,0.7207
lena,0.7207
bennet,0.72
lovely,0.72
person,0.72
lady_friend,0.72
girl_wonder,0.72
demetrius,0.7197
edmund_wilson,0.7197
gem,0.719
sam,0.719
eleanor_gwynne,0.719
sweetie,0.7188
will_hays,0.7188
carlos,0.7188
henry_watson_fowler,0.7188
ester,0.7188
schoolmate,0.7188
rachel,0.7188
brit,0.7188
mommy,0.7183
ranee,0.7183
bridget,0.718
fiancee,0.718
brooke,0.718
james,0.718
brogan,0.718
princess,0.718
dylan,0.718
benjamin_bush,0.7173
allantois,0.7173
sir_james_paul_mccartney,0.7173
xavier,0.7173
kelt,0.7173
kennan,0.7173
louis_x,0.717
thomas_wright_waller,0.717
erik_weisz,0.717
gerhard_gerhards,0.717
nates,0.717
young_girl,0.7163
tao,0.7163
wajda,0.7163
friend,0.7163
benjamin,0.716
somewhere,0.716
fatimah,0.716
jewison,0.716
john,0.716
johnny,0.716
edmond_hoyle,0.7153
manson,0.7153
brier,0.7153
emma_goldman,0.7153
potter,0.7153
emily_price_post,0.7153
thatcherite,0.715
virginia_mcmath,0.715
miss,0.715
martha_jane_burke,0.715
kat,0.715
william_gilbert,0.715
marc,0.715
maha,0.715
little_girl,0.715
inge,0.715
nasion,0.715
mine,0.7144
niece,0.7144
naomi,0.7144
stepdaughter,0.7144
queen_of_england,0.7144
mason,0.7144
girlfriend,0.714
hilary_rodham_clinton,0.714
mary,0.714
feminist,0.714
stephen_hawking,0.714
dean,0.714
kris,0.714
george_edward_moore,0.714
bryan,0.714
best,0.7134
beau,0.7134
edward_d._white,0.7134
kylie,0.7134
annam,0.7134
aaron_montgomery_ward,0.7134
withe,0.7134
bob_dylan,0.7134
paton,0.7134
jensen,0.7134
walter,0.713
jimmy_conors,0.713
jenny,0.713
beadsman,0.713
mom,0.713
jonson,0.713
bale,0.7124
good,0.7124
mel_gibson,0.7124
thomas_crawford,0.7124
sir,0.7124
benjamin_peirce,0.7124
molly,0.712
jocote,0.712
cat,0.712
babe,0.712
diva,0.712
v.p.,0.712
gean,0.712
mam,0.712
evert,0.712
viola_blanda,0.712
barbara_ward,0.712
mac,0.712
gage,0.7114
abila,0.7114
virginia_pine,0.7114
unpleasant_woman,0.7114
wade,0.7114
jesus,0.7114
cousin,0.7114
kelly,0.7114
thomas_j._jackson,0.7114
george,0.7114
momma,0.7114
amber,0.7114
hansom,0.7114
tati,0.7114
shannon,0.711
john_macleod,0.711
wife,0.711
robert,0.711
kitty,0.711
putin,0.711
bowie,0.711
moll,0.711
carl_david_anderson,0.711
brother,0.711
georgette,0.711
donna,0.711
william_chambers,0.711
elihu_thomson,0.711
hyalin,0.711
alb,0.711
leo,0.711
bestower,0.711
brinton,0.7104
symons,0.7104
sir_bernard_williams,0.7104
personage,0.7104
bondman,0.7104
angel,0.7104
jacob,0.7104
swaggerer,0.7104
james_dewey_watson,0.7104
waker,0.7104
derris,0.7104
unusual_person,0.7104
con,0.7104
marstan,0.7104
barbra_streisand,0.7104
tony_blair,0.71
tracer,0.71
daisy,0.71
elvis,0.71
benjamin_jonson,0.71
luba,0.71
writer,0.71
