noun,similarity
guevara,0.7114
fidel_castro,0.707
gandhi,0.6973
indira_gandhi,0.6973
zapotec,0.695
che_guevara,0.692
friedrich_wilhelm_nietzsche,0.6895
adolf_hitler,0.688
ernesto_guevara,0.6875
mexico,0.6875
nietzsche,0.687
hitler,0.687
mexicano,0.685
marilyn_monroe,0.683
indira_nehru_gandhi,0.683
freud,0.683
mexican,0.6826
nahuatl,0.6807
mexico_city,0.679
mesoamerican,0.6787
churchill,0.6777
stalin,0.6777
madonna,0.6772
mahatma_gandhi,0.677
mao_zedong,0.677
ciudad_de_mexico,0.676
marx,0.6753
chicano,0.673
dalai_lama,0.672
kierkegaard,0.672
jfk,0.6704
jung,0.67
franklin_roosevelt,0.67
nelson_mandela,0.667
chaplin,0.6665
garcia_lorca,0.6665
john_lennon,0.666
salvadorean,0.666
grace_kelly,0.665
dali,0.665
salvadoran,0.665
maya,0.6646
mesoamerica,0.6646
bette_davis,0.6646
bob_marley,0.6646
jimi_hendrix,0.664
karl_marx,0.6636
lenin,0.663
elvis,0.662
margaret_thatcher,0.662
michael_jackson,0.6616
fdr,0.6616
richard_nixon,0.6616
mandela,0.6616
poe,0.6616
nixon,0.6616
rosa_parks,0.6616
buddha,0.661
johnny_cash,0.661
saddam,0.661
barrio,0.66
sartre,0.66
margaret_hilda_thatcher,0.66
einstein,0.66
joseph_stalin,0.66
castro,0.6587
trotsky,0.658
chekhov,0.658
frederico_garcia_lorca,0.658
winston_churchill,0.658
saddam_hussein,0.6577
mary,0.6577
maria_callas,0.657
elvis_presley,0.6567
mahler,0.656
mahatma,0.656
abraham_lincoln,0.6553
elizabeth_ii,0.6543
eleanor_roosevelt,0.6543
tepic,0.6543
brecht,0.6543
hendrix,0.6543
bob_dylan,0.654
plato,0.654
feodor_mikhailovich_dostoevsky,0.654
fidel_castro_ruz,0.654
toltec,0.6533
pablo_neruda,0.653
theodore_roosevelt,0.653
maria,0.6523
franklin_delano_roosevelt,0.6523
reagan,0.6523
ernest_hemingway,0.652
renoir,0.652
pablo_picasso,0.652
ecuadorian,0.6514
gauguin,0.6514
hillary,0.6514
bowie,0.6514
chavez,0.651
kafka,0.651
gringo,0.651
mexican-american,0.65
brezhnev,0.6494
lily_of_the_incas,0.6494
guacharo,0.6494
fyodor_mikhailovich_dostoevsky,0.6494
margarita,0.6494
anna_eleanor_roosevelt,0.6484
princess,0.6484
paul_mccartney,0.648
proust,0.648
confucius,0.6475
bey,0.6475
veracruz,0.6475
mark_twain,0.647
arendt,0.647
franz_kafka,0.647
central_america,0.647
fyodor_dostoevsky,0.6465
diego_rivera,0.6465
capital_of_mexico,0.6465
feodor_dostoevsky,0.646
sade,0.646
ataturk,0.646
muhammad_ali,0.6455
maria_magdalene_von_losch,0.6455
hemingway,0.645
beethoven,0.645
wittgenstein,0.645
welles,0.645
taco,0.6445
benjamin_franklin,0.6445
trump,0.6445
tolstoy,0.6445
pocahontas,0.644
orozco,0.6436
kemal_ataturk,0.6436
guadalajara,0.6436
prince,0.6436
queen_victoria,0.6436
sukarno,0.643
ecuadoran,0.643
