noun,similarity
madonna,0.8633
bey,0.8564
hillary,0.8384
trump,0.822
michael_jackson,0.821
lady,0.816
ariana,0.8105
prince,0.81
madonna_louise_ciccone,0.8076
taylor,0.8047
tiffany,0.8037
mary,0.803
someone,0.803
miss,0.801
louis,0.8
meryl_streep,0.7993
monster,0.7983
self,0.7983
lady_friend,0.7983
mom,0.798
pope,0.798
mommy,0.7974
homegirl,0.797
kiley,0.7964
shawn,0.795
drag,0.795
madam,0.795
hilary_clinton,0.794
lindsay,0.7935
momma,0.793
whore,0.792
marina,0.792
signora,0.792
queen,0.791
ally,0.791
luke,0.791
lea,0.791
missus,0.791
clinton,0.7905
diva,0.79
liana,0.79
erica,0.79
lena,0.7896
ex-wife,0.789
gagster,0.789
christian,0.789
leo,0.789
mam,0.788
mama,0.788
daddy,0.7876
brady,0.7876
bruno,0.7876
lasher,0.7876
jacobi,0.7876
shona,0.7866
frank,0.7866
milady,0.7866
inge,0.7866
pontifex,0.786
kelly,0.7856
lally,0.7856
haley,0.7856
marilyn_monroe,0.7856
adam,0.785
grandma,0.785
gem,0.785
shallow,0.785
andrew,0.7847
juda,0.7847
sian,0.7847
gean,0.7847
sis,0.784
brogan,0.7837
czarina,0.7837
shipper,0.7837
benedict,0.783
brigid,0.783
grandmother,0.783
jean,0.7827
kaury,0.7827
nick,0.782
lady_of_the_house,0.782
rupert_murdoch,0.782
madame,0.782
tzarina,0.7817
balker,0.7817
angelique,0.7817
geordie,0.7817
ester,0.7817
famous_person,0.7817
idol,0.7817
noah,0.7812
moreen,0.7812
georgette,0.7812
sissy,0.7812
sarah,0.781
mother,0.781
jack,0.7803
gary,0.7803
tara,0.7803
lady_of_pleasure,0.7803
pop,0.7803
girl,0.7803
somebody,0.78
george_bush,0.78
lapp,0.78
babinski,0.78
luba,0.78
landman,0.7793
gelly,0.7793
rachel,0.7793
steffens,0.7793
wade,0.7793
gage,0.779
lord,0.7783
reagan,0.7783
ranee,0.7783
sial,0.7783
brit,0.7783
withe,0.7783
deb,0.7783
galan,0.7783
tabi,0.7783
person,0.7783
paton,0.778
mat,0.778
prude,0.778
feminist,0.778
jensen,0.7773
tao,0.7773
jesus,0.7773
mccartney,0.7773
nash,0.7773
lover,0.7773
lyly,0.7773
alizarine,0.777
johnny,0.777
dolly,0.777
lovely,0.777
mine,0.777
schoolmate,0.777
dag,0.777
bridget,0.777
aaron,0.7764
jenny,0.7764
lenard,0.7764
gabor,0.7764
lorenz,0.776
personage,0.776
goody,0.776
charity,0.776
fatimah,0.776
brooke,0.776
tyler,0.776
spall,0.776
kean,0.776
streep,0.776
actress,0.776
elvis,0.7754
toter,0.7754
maria,0.7754
bowie,0.7754
briony,0.7754
hilary_rodham_clinton,0.7754
papa,0.775
malory,0.775
top,0.775
lady_crab,0.775
angel,0.775
wife,0.775
