noun,similarity
trump,0.826
leo_the_great,0.826
daddy,0.811
madonna,0.81
michael_jackson,0.8037
louis,0.8013
george_bush,0.801
hitler,0.8003
bob_dylan,0.7993
benedict,0.799
adolf_hitler,0.798
putin,0.798
hillary,0.798
chance,0.7974
reagan,0.7974
snoop,0.797
someone,0.7964
leo_i,0.7964
bill_clinton,0.795
bill_gates,0.795
romeo,0.7944
lenard,0.794
matthew,0.793
dad,0.791
president,0.791
jensen,0.7905
jesus,0.7905
walter,0.79
tom_hanks,0.7896
ronald_reagan,0.7896
leo_x,0.7886
edward,0.7886
christian,0.788
bey,0.788
musk,0.788
jacob,0.787
chad,0.7866
noah,0.7866
rupert_murdoch,0.7866
johnny,0.7866
stephen_hawking,0.7866
nick,0.786
robert,0.786
lord,0.786
dylan,0.7856
husband,0.7856
jack,0.7856
andrew,0.785
joseph_stalin,0.784
man,0.784
tyler,0.7837
jfk,0.7837
david,0.783
jacobi,0.783
papa,0.783
self,0.7817
sinatra,0.7817
elvis,0.7812
john_lennon,0.781
lorenz,0.781
mom,0.781
frank,0.7803
todd,0.7803
dec,0.78
leo_ix,0.78
bush,0.78
scot,0.78
daniel,0.7793
personality,0.7793
anthony,0.7793
paul_mccartney,0.7793
jean,0.7793
xavier,0.779
mommy,0.779
friend,0.779
somebody,0.779
ted,0.779
mike,0.779
shakespeare,0.7783
sherlock,0.7783
pontifex,0.778
mat,0.778
bennet,0.778
ben,0.778
brother,0.778
adam,0.7773
meryl_streep,0.7773
lovely,0.7773
heartthrob,0.7773
vladimir_putin,0.777
robert_de_niro,0.777
taylor,0.777
drew,0.777
hilary_clinton,0.7764
pope,0.7764
geordie,0.7764
kiley,0.776
nates,0.776
xxx,0.776
christ,0.776
cody,0.776
tiger,0.776
benjamin,0.7754
nicholas,0.775
nash,0.775
actress,0.775
shakespearian,0.775
leo_iii,0.7744
prince,0.7744
bryan,0.7744
leftist,0.774
paul,0.774
leonard,0.774
christopher,0.774
erik_weisz,0.774
mac,0.7734
goody,0.7734
good_person,0.7734
shawn,0.7734
lapp,0.773
jonathan,0.773
landman,0.773
teddy,0.773
tao,0.773
marc,0.7725
lloyd,0.7725
bear,0.7725
luke,0.772
lasher,0.772
dean,0.772
mark,0.772
wade,0.772
deb,0.772
john,0.772
demetrius,0.7715
grandfather,0.7715
tony_blair,0.7715
best,0.7715
father,0.7715
patrick,0.7715
garret,0.7715
abraham_lincoln,0.7715
good,0.771
levi,0.771
grandpa,0.771
cool,0.771
cleg,0.771
political_leader,0.771
streep,0.771
timothy_francis_leary,0.7705
fiancee,0.7705
beau,0.7705
homeboy,0.7705
boy,0.77
sir,0.77
aaron,0.77
george_w._bush,0.77
spenser,0.7695
steffens,0.7695
wayne,0.7695
ex-husband,0.7695
conrad,0.7695
famous_person,0.769
brady,0.769
babe,0.769
lindsay,0.769
derrick,0.769
captain,0.769
tom,0.769
owen,0.769
person,0.7686
jimmy,0.7686
dude,0.7686
shipper,0.7686
great-uncle,0.7686
gem,0.7686
goose,0.768
tobey,0.768
benni,0.768
hero,0.768
momma,0.768
brad,0.768
jonah,0.768
guy,0.768
user,0.768
caspar,0.7676
angel,0.7676
william_shakespeare,0.7676
sacco,0.7676
hansom,0.7676
uut,0.767
gator,0.767
delicious,0.767
thomas_bradley,0.767
rapper,0.767
babinski,0.767
simon,0.767
peter,0.767
spencer,0.767
loren,0.7666
arnold,0.7666
nazi,0.7666
greco,0.7666
leader,0.7666
yuppie,0.766
gregory,0.766
personage,0.766
elvis_presley,0.766
v.p.,0.766
senator,0.766
retard,0.766
johnny_cash,0.766
bruno,0.7656
fellow_member,0.7656
lozier,0.7656
keith_rupert_murdoch,0.7656
gabor,0.7656
shawny,0.7656
frenchman,0.7656
brier,0.7656
leonidas,0.7656
lover,0.7656
king,0.7656
man_jack,0.7656
peanut,0.765
missus,0.765
actor,0.765
mama,0.765
louis_x,0.765
kelly,0.765
mick_jagger,0.765
drosky,0.7646
meeter,0.7646
martin,0.7646
grandma,0.7646
mickey,0.7646
hymie,0.7646
heterosexual_person,0.7646
jarrell,0.7646
mccartney,0.7646
lawrence,0.7646
dr.,0.764
comrade,0.764
celebrity,0.764
charles,0.764
middle-aged_man,0.764
great,0.764
dag,0.764
inspiration,0.764
graver,0.7637
frank_sinatra,0.7637
elijah,0.7637
drake,0.7637
herb,0.7637
neurasthenic,0.7637
president_of_the_united_states,0.7637
amber,0.7637
benny,0.7637
fellow,0.7637
love,0.7637
beloved,0.7637
karl_marx,0.763
tinder,0.763
passerby,0.763
movie_actor,0.763
mam,0.763
spall,0.763
marx,0.763
ex-wife,0.763
brogan,0.763
very_important_person,0.763
brother-in-law,0.763
beanie,0.763
pussly,0.7627
max,0.7627
gean,0.7627
abel,0.7627
kid,0.7627
homegirl,0.7627
loser,0.7627
girlfriend,0.7627
yeddo,0.7627
georgette,0.7627
jew,0.7627
bradley,0.7627
ridge,0.762
nadir,0.762
will_hays,0.762
president_lincoln,0.762
predatory_animal,0.762
jakes,0.762
lady,0.762
stephen,0.762
somewhere,0.762
joseph,0.762
favourite,0.762
leonard_marx,0.7617
shona,0.7617
carl_david_anderson,0.7617
shem,0.7617
swaggerer,0.7617
uncle,0.7617
kendall,0.7617
favorite,0.7617
gerhard_gerhards,0.7617
sergeant,0.7617
dubya,0.7617
influential_person,0.7617
bowie,0.7617
doggy,0.7617
frazer,0.7617
manson,0.761
ant_bear,0.761
cat,0.761
mine,0.761
lally,0.761
mart,0.761
kelt,0.761
mathias,0.761
bastard_indigo,0.761
relative,0.761
joyce,0.761
bean,0.761
latten,0.761
behrens,0.761
george,0.761
tanner,0.761
gosling,0.7607
ciardi,0.7607
sendee,0.7607
leon,0.7607
son,0.7607
ham_actor,0.7607
julian,0.7607
nelson_mandela,0.7607
good_ol'_boy,0.7607
nature,0.7607
clinton,0.7607
subject,0.7607
polo,0.7607
shim,0.7607
scott,0.7603
liberal,0.7603
jassid,0.7603
utterer,0.7603
cadger,0.7603
unknown,0.7603
hugo,0.7603
bondman,0.7603
fatty,0.7603
jeerer,0.7603
teddy_bear,0.7603
ice_bag,0.76
ice_cube,0.76
layman,0.76
inge,0.76
marilyn_monroe,0.76
beadsman,0.76
hubby,0.76
mike_tyson,0.76
cay,0.76
wife,0.76
lance,0.76
wilde,0.76
comedian,0.76
dieter,0.76
terence,0.76
president_george_w._bush,0.76
ldl,0.7593
homosexual,0.7593
father-figure,0.7593
sumpter,0.7593
hassel,0.7593
seidel,0.7593
tatum,0.7593
hubel,0.7593
granddad,0.7593
landscape,0.7593
timothy,0.759
adrian,0.759
douche_bag,0.759
specific,0.759
ganof,0.759
marti,0.759
oliver,0.759
rube,0.759
melchior,0.759
deep,0.759
allantois,0.759
attestant,0.759
marl,0.759
idol,0.759
grandmother,0.759
humor,0.759
schrod,0.759
hick,0.759
gage,0.7583
mitt,0.7583
gangster,0.7583
samuel,0.7583
father_of_the_church,0.7583
antony,0.7583
bernard,0.7583
stephen_michael_reich,0.7583
lame,0.7583
derris,0.7583
white_person,0.7583
capelan,0.7583
schmo,0.7583
cole,0.7583
taco,0.7583
calean,0.7583
szilard,0.7583
non-jew,0.7583
master,0.758
portrait,0.758
fucking,0.758
welsher,0.758
buhl,0.758
lesbian,0.758
demander,0.758
swill,0.758
life,0.758
seism,0.758
milcher,0.758
gelly,0.758
winston_churchill,0.758
arguer,0.758
leyden,0.7573
male_person,0.7573
chandler,0.7573
liana,0.7573
jerevan,0.7573
madam,0.7573
ashton,0.7573
evert,0.7573
damon,0.7573
kitty,0.7573
lady_friend,0.7573
shannon,0.7573
tarantino,0.7573
sam,0.7573
wooer,0.757
fitter,0.757
tesla,0.757
erica,0.757
dane,0.757
herr,0.757
ceo,0.757
ex-boyfriend,0.757
benjamin_franklin,0.757
presley,0.757
deceased_person,0.757
wyler,0.757
mack,0.757
cive,0.757
thomas_nelson_page,0.757
leo_tolstoy,0.757
bronc,0.757
bill,0.7563
toter,0.7563
aper,0.7563
mother,0.7563
democrat,0.7563
unusual_person,0.7563
roomy,0.7563
alb,0.7563
lingerer,0.7563
ice,0.7563
benjamin_bush,0.7563
greaseball,0.7563
idiot,0.7563
old_person,0.7563
austen,0.7563
trace,0.7563
seth,0.756
douche,0.756
cooper,0.756
slash,0.756
creature,0.756
meredith,0.756
day,0.756
marley,0.756
baby,0.756
verner,0.756
top,0.756
secernment,0.756
motherfucker,0.756
philip,0.756
liberalist,0.756
younker,0.756
jefferson,0.756
hyson,0.756
pistol,0.756
ranger,0.756
rodeo,0.756
behring,0.756
angelique,0.756
doctor,0.7554
dalai_lama,0.7554
hunter,0.7554
man-of-the-earth,0.7554
tati,0.7554
loved_one,0.7554
james,0.7554
leonardo_da_vinci,0.7554
withers,0.7554
winfred,0.7554
leroy_robert_paige,0.7554
emile_herzog,0.7554
leopold_kronecker,0.7554
graham,0.7554
william_frederick_cody,0.7554
a.e.,0.7554
diamond,0.7554
united_states_president,0.7554
sharpy,0.7554
lipmann,0.755
nestor,0.755
hudson,0.755
goy,0.755
nobel,0.755
gandhi,0.755
governor,0.755
wuss,0.755
paton,0.755
nard,0.755
iron_man,0.755
theoriser,0.755
jeremiah,0.755
abdias,0.755
socialist,0.755
ingerman,0.755
vladimir_vladimirovich_putin,0.755
joffrey,0.755
dog,0.755
weston,0.755
gary,0.755
nan,0.755
right,0.755
leoncita,0.755
nast,0.755
mann,0.755
des,0.755
marquis,0.755
shawnee,0.755
scientist,0.755
sweetie,0.755
gaberdine,0.755
jewison,0.755
joel,0.755
gad,0.755
victor,0.755
allgood,0.755
mason,0.755
patten,0.755
theodore_samuel_williams,0.755
marcel,0.7544
old_man,0.7544
spinner,0.7544
elam,0.7544
smitane,0.7544
batman,0.7544
ney,0.7544
negro,0.7544
miss,0.7544
cousin,0.7544
woof,0.7544
schnabel,0.7544
gentile,0.7544
scuba,0.7544
old_geezer,0.7544
edmond_malone,0.7544
mayer,0.7544
scout,0.7544
sugar_daddy,0.7544
buddy,0.7544
executive_director,0.7544
anther,0.7544
nigga,0.7544
neighbor,0.7544
merl,0.7544
rip,0.7544
leveller,0.7544
adolescent,0.754
bay,0.754
joshua,0.754
sweet,0.754
paddy,0.754
mon,0.754
best_friend,0.754
lentigo,0.754
bridget,0.754
prof,0.754
schlock,0.754
lug,0.754
dreck,0.754
fiance,0.754
tasso,0.754
dacron,0.754
martin_v,0.754
ginger,0.754
erin,0.754
nixon,0.754
thomas_crawford,0.754
billy,0.754
waterman,0.754
tawney,0.7534
dale,0.7534
writer,0.7534
hollywood,0.7534
spaghetti,0.7534
mush,0.7534
jay,0.7534
communist,0.7534
mum,0.7534
ladies'_man,0.7534
dweeb,0.7534
ant,0.7534
alpha_iron,0.7534
moreen,0.7534
aquatic,0.7534
franklin_roosevelt,0.7534
monsieur,0.7534
young_man,0.7534
french_canadian,0.7534
associate,0.7534
jacobs,0.7534
gauffer,0.7534
fancy_man,0.753
eds,0.753
kennan,0.753
dryden,0.753
namesake,0.753
bonce,0.753
dragger,0.753
beauty,0.753
cager,0.753
drey,0.753
better,0.753
francis_joseph,0.753
gay,0.753
sweetheart,0.7524
roman,0.7524
gleet,0.7524
con,0.7524
jonson,0.7524
henry_viii,0.7524
sartor,0.7524
lino,0.7524
gay_man,0.7524
brinton,0.7524
jevons,0.7524
balker,0.7524
lincoln,0.7524
stepfather,0.7524
weill,0.7524
self-portrait,0.7524
sian,0.7524
bloke,0.7524
