noun,similarity
link,0.826
lloyd,0.817
todd,0.809
martin,0.8086
luigi_cherubini,0.8076
lucas,0.806
leo,0.8037
buddy,0.8022
lino,0.802
frank,0.797
hugo,0.796
charles,0.7954
walter,0.7954
lug,0.794
negro,0.7925
lulu,0.7915
mark,0.791
scott,0.7905
curtis,0.7905
leonardo,0.7896
lewis,0.789
laudo,0.789
weirdie,0.789
gregory,0.7886
mickey,0.7886
matthew,0.7886
anthony,0.7886
schulz,0.7876
max,0.7876
kelly,0.7866
peach,0.7866
willis,0.7866
luke,0.7866
wooer,0.786
murphy,0.786
guy,0.7856
uut,0.7856
pope,0.7856
marino,0.785
sam,0.785
mann,0.7847
scot,0.784
chance,0.784
mack,0.7827
clark,0.782
duke,0.7817
mitchell,0.7817
cooper,0.7817
david,0.7812
gary,0.7812
linguini,0.7812
nick,0.7812
olive,0.7812
mush,0.7812
banjo,0.781
antony,0.781
lucy,0.7803
mike,0.7803
butch,0.7803
marti,0.7803
layman,0.78
lindsay,0.7793
captain,0.7793
jonathan,0.7793
leon,0.7793
ridgel,0.779
piggy,0.779
jack,0.779
spaghetti,0.7783
someone,0.778
john,0.7773
dag,0.7773
lord,0.7773
wallace,0.777
lingerer,0.777
italia,0.7764
andrew,0.7764
xavier,0.7764
eddy,0.7764
levi,0.7764
simon,0.776
ted,0.776
chief,0.776
loren,0.776
mat,0.776
amigo,0.776
lungi,0.776
papa,0.776
wolf,0.7754
frenchman,0.7754
marquis,0.7754
ward,0.7754
tyler,0.7754
jacob,0.7754
wuss,0.775
greco,0.775
cleg,0.775
schmo,0.775
snoop,0.775
lumbus,0.7744
dude,0.7744
lally,0.7744
chuck,0.7744
doc,0.7744
ash,0.7744
george,0.7744
ganof,0.7744
samuel,0.774
knight,0.774
bear,0.774
kaury,0.774
hulk,0.774
sheriff,0.7734
agee,0.7734
bay,0.7734
joseph,0.7734
lincoln,0.7734
ziti,0.773
yeddo,0.773
jimmy,0.773
malpighi,0.773
gray,0.773
angel,0.773
sumpter,0.773
christopher,0.773
king,0.7725
christian,0.7725
caimito,0.7725
vaughan,0.7725
dad,0.7725
lee,0.7725
peg,0.7725
smith,0.7725
jones,0.7725
sharpy,0.7725
flagyl,0.772
timothy,0.772
mason,0.772
weirdy,0.772
bruce,0.772
marks,0.772
jeerer,0.772
simpson,0.7715
johnny,0.7715
peanut,0.7715
mary,0.7715
man,0.7715
bryan,0.7715
signor,0.7715
fucking,0.7715
pig,0.771
ling,0.771
goose,0.771
burgess,0.771
signore,0.771
lawrence,0.771
cabell,0.7705
peter,0.7705
hughes,0.7705
german,0.7705
merl,0.7705
hitler,0.7705
taylor,0.7705
pooch,0.7705
adam,0.7705
hunter,0.77
herb,0.77
goody,0.77
billy,0.77
conrad,0.77
macho,0.77
maria,0.77
wagner,0.7695
lozal,0.7695
canuck,0.7695
louis,0.7695
bean,0.7695
spencer,0.7695
joyce,0.7695
graham,0.7695
chase,0.7695
dix,0.7695
caesar,0.769
morton,0.769
dingo,0.769
lady,0.769
green,0.769
father,0.769
ray,0.7686
daisy,0.7686
bobby,0.7686
romeo,0.7686
ben,0.7686
deputy,0.7686
milton,0.7686
mushroom,0.7686
chump,0.7686
byron,0.7686
fucker,0.768
wolfe,0.768
seymour,0.768
amir,0.768
caruso,0.768
coco,0.768
pickle,0.768
angus,0.768
stephen,0.7676
spud,0.7676
laurens,0.7676
ginger,0.7676
chad,0.7676
marshall,0.7676
loligo,0.7676
franklin,0.767
boy,0.767
wayne,0.767
leibnitz,0.767
daddy,0.767
warner,0.767
oliver,0.7666
jakes,0.7666
cole,0.7666
duck,0.7666
