noun,similarity
marc,0.865
max,0.8584
mike,0.8555
martin,0.854
marti,0.852
someone,0.851
mickey,0.8496
walter,0.8496
man,0.849
matthew,0.8477
maria,0.8477
mat,0.8467
mark,0.8467
marino,0.846
mart,0.8423
papa,0.8413
charles,0.84
mary,0.8394
macho,0.839
king,0.8384
carlos,0.837
buddy,0.836
leo,0.8354
mathias,0.835
nick,0.8345
andrew,0.834
guy,0.834
moro,0.834
gary,0.8335
dad,0.833
marcel,0.8325
peter,0.8325
marley,0.8325
frank,0.832
mush,0.832
mann,0.832
todd,0.832
mari,0.8315
brother,0.8315
mama,0.831
chico,0.8306
ganof,0.83
somebody,0.83
mushroom,0.83
wayne,0.83
maraco,0.83
mack,0.8296
daddy,0.8296
boy,0.829
german,0.829
david,0.829
john,0.829
herr,0.829
marx,0.829
bear,0.828
milton,0.828
philip,0.828
pope,0.828
marine,0.8276
banjo,0.8276
hitler,0.827
negro,0.827
lino,0.8267
marstan,0.8267
trump,0.8267
maar,0.826
kid,0.826
captain,0.826
best,0.826
scot,0.8257
merl,0.8257
magnifico,0.8257
frenchman,0.8257
anthony,0.825
mason,0.825
uut,0.825
jonathan,0.8247
jesus,0.8247
christian,0.8247
nadir,0.8247
marl,0.824
hymie,0.824
taco,0.824
mom,0.824
rip,0.8237
doc,0.8237
maha,0.8237
antony,0.8237
amir,0.8237
dr.,0.823
lord,0.823
husband,0.823
tyler,0.823
dude,0.823
bay,0.823
yeddo,0.8228
sam,0.8228
angel,0.8228
major,0.8223
hansom,0.8223
superman,0.8223
herb,0.8223
italia,0.822
kelly,0.822
christ,0.822
president,0.822
billy,0.8213
taylor,0.8213
mango,0.821
ray,0.821
chance,0.821
christopher,0.821
xavier,0.8203
marks,0.8203
hugo,0.8203
cive,0.82
cam,0.82
adam,0.82
bill,0.82
bryan,0.82
super,0.8193
milo,0.8193
abo,0.8193
mere,0.819
archil,0.819
nates,0.819
oliver,0.8184
chief,0.8184
self,0.8184
kaury,0.8184
mam,0.8184
weirdie,0.8184
joseph_stalin,0.8184
aaron,0.818
comrade,0.818
aril,0.818
mamo,0.818
person,0.818
miss,0.818
patrick,0.818
sir,0.818
romeo,0.818
pauli,0.818
ted,0.818
spaghetti,0.8174
subject,0.8174
ali,0.817
jimmy,0.817
bruce,0.817
prince,0.817
bull,0.817
uncle,0.8164
v.p.,0.8164
chad,0.8164
master,0.8164
bruno,0.8164
main,0.8164
clark,0.8164
father,0.816
pig,0.816
monsieur,0.816
batman,0.816
sheriff,0.816
duck,0.8154
maxi,0.8154
kitty,0.8154
amigo,0.8154
adrian,0.8154
grandpa,0.8154
murphy,0.8154
unknown,0.8154
mark_anthony,0.8154
homeboy,0.8154
friend,0.8154
msh,0.815
wolf,0.815
goody,0.815
communist,0.815
gregory,0.815
boss,0.815
mark_clark,0.815
nan,0.815
ward,0.815
duke,0.8145
benni,0.8145
butch,0.8145
caimito,0.8145
noah,0.8145
scott,0.8145
curtis,0.814
son,0.814
schmo,0.814
ben,0.814
gator,0.814
johnny,0.814
tory,0.814
clown,0.8135
magic_mushroom,0.8135
tank,0.8135
haick,0.8135
terry,0.8135
right,0.8135
mafioso,0.8135
nicholas,0.8135
moose,0.8135
jew,0.8135
goose,0.8135
meeter,0.8135
maximum,0.8135
prof,0.8135
jack,0.813
weirdy,0.813
hero,0.813
simon,0.813
marquis,0.813
short,0.8125
shmo,0.8125
molly,0.8125
joseph,0.8125
chuck,0.8125
somewhere,0.8125
mon,0.8125
mayer,0.8125
doctor,0.8125
wuss,0.812
timothy,0.812
clay,0.812
link,0.812
dix,0.812
way,0.812
cat,0.812
wizard,0.812
sissy,0.8115
castro,0.8115
momma,0.8115
man_jack,0.8115
princess,0.8115
wooer,0.8115
cleg,0.8115
pussly,0.8115
bean,0.811
beloved,0.811
byron,0.811
morton,0.811
willis,0.811
herbert_marx,0.811
professor,0.811
passerby,0.8105
sacco,0.8105
maxwell,0.8105
toad,0.8105
martin_v,0.8105
owen,0.8105
cool,0.8105
peanut,0.8105
marri,0.8105
jordan,0.81
marsh,0.81
greco,0.81
cookie,0.81
gem,0.81
spook,0.81
arthur_marx,0.8096
apple,0.8096
peach,0.8096
chari,0.8096
pooch,0.8096
mayor,0.8096
trip,0.8096
herm,0.8096
sharpy,0.809
sherry,0.809
santa,0.809
young_man,0.809
chump,0.809
jacob,0.809
mitchell,0.809
phiz,0.809
shell,0.809
dale,0.809
wester,0.809
hyson,0.809
candy,0.8086
ness,0.8086
south,0.8086
sartor,0.8086
tom,0.8086
mickey_mouse,0.8086
terence,0.8086
jones,0.808
piggy,0.808
vino,0.808
des,0.808
leo_the_great,0.808
nazi,0.808
pontifex,0.808
sergeant,0.808
shawny,0.808
pierre,0.808
monkey,0.808
maxim,0.808
joyce,0.8076
sweet,0.8076
thomas,0.8076
robert,0.8076
mommy,0.8076
maigre,0.8076
doggy,0.8076
rus,0.8076
pix,0.8076
george,0.8076
carrere,0.8076
general,0.8076
saint,0.8076
maxzide,0.8076
t-man,0.8076
harvey,0.8076
poncho,0.807
killer,0.807
marlin,0.807
weston,0.807
floppy,0.807
mete,0.807
mexicano,0.807
olive,0.807
lloyd,0.807
grandma,0.807
pappa,0.8066
bloke,0.8066
bobby,0.8066
mayeng,0.8066
child,0.8066
dick,0.8066
fucking,0.8066
seism,0.8066
hop,0.8066
meany,0.8066
marciano,0.8066
tati,0.8066
stephen,0.8066
pet,0.8066
banana,0.8066
chase,0.806
joel,0.806
sweetie,0.806
key,0.806
lewis,0.806
ginger,0.806
gallous,0.806
cousin,0.806
bird,0.806
man-child,0.806
hick,0.806
tutelo,0.806
marxist,0.806
mamma,0.806
samuel,0.806
henry,0.806
allen,0.8057
tiger,0.8057
loser,0.8057
jeerer,0.8057
conrad,0.8057
grandfather,0.8057
hubby,0.8057
italian,0.8057
goy,0.8057
hill,0.8057
maker,0.8057
gad,0.8057
champ,0.8057
cowboy,0.8057
monster,0.8057
yobbo,0.8057
murray,0.8057
shim,0.8057
molter,0.8057
jakes,0.8057
hassel,0.8057
user,0.805
wade,0.805
geordie,0.805
agee,0.805
thomas_bradley,0.805
ant,0.805
marquise,0.805
chef,0.805
tamarao,0.805
coco,0.805
james,0.805
chill,0.8047
deb,0.8047
marumi,0.8047
paul,0.8047
verner,0.8047
uuh,0.8047
body,0.8047
roman,0.8047
jassid,0.8047
herbert,0.8047
dingo,0.8047
prima,0.8047
madrono,0.8047
weirdo,0.8047
bone,0.8047
valley,0.8047
pistol,0.804
birretta,0.804
col,0.804
tin,0.804
manzoni,0.804
alexic,0.804
kiley,0.804
chili,0.804
amos,0.804
male_person,0.804
baby,0.804
jean,0.804
ash,0.804
alb,0.8037
flash,0.8037
jay,0.8037
kiddy,0.8037
neighbor,0.8037
inge,0.8037
meredith,0.8037
beanie,0.8037
fucker,0.8037
gaspar,0.8037
deputy,0.8037
micheas,0.8037
tomato,0.8037
gay_man,0.8037
nast,0.8037
farmer,0.803
hank,0.803
nestor,0.803
mandioc,0.803
santa_claus,0.803
elvis,0.803
fuzz,0.803
daniel,0.803
cody,0.803
francisco_villa,0.803
waker,0.803
cooper,0.803
victor,0.803
chinaman,0.803
benjamin,0.803
turtle,0.803
layman,0.8027
spencer,0.8027
grandee,0.8027
missus,0.8027
potato,0.8027
galan,0.8027
wallace,0.8027
emperor,0.8027
mexican,0.8027
latino,0.8027
girl,0.8027
lawrence,0.8027
choo-choo,0.8027
jacobi,0.8027
marina,0.8027
fellow,0.8027
g-man,0.8027
donald_duck,0.8022
tom-tom,0.8022
spic,0.8022
gaboriau,0.8022
cap,0.8022
lovely,0.8022
jet,0.8022
tyro,0.8022
premie,0.8022
warner,0.8022
royal,0.8022
elia,0.8022
carolina,0.8022
vila,0.8022
varment,0.8022
granddad,0.802
mother,0.802
pirate,0.802
polo,0.802
catch,0.802
louis,0.802
good,0.802
old_man,0.802
nad,0.802
basso,0.802
attestant,0.802
cattalo,0.802
junior,0.802
whatnot,0.802
frazer,0.802
spud,0.802
truster,0.802
rocco_marciano,0.802
toter,0.802
knuckles,0.802
bug,0.802
gamin,0.802
cither,0.802
diamond,0.8013
teddy,0.8013
arguer,0.8013
p.a.,0.8013
jefferson,0.8013
wife,0.8013
chum,0.8013
shawn,0.8013
saame,0.8013
milcher,0.8013
leonardo,0.8013
marupa,0.8013
howard,0.8013
bob,0.8013
stanton,0.8013
scuba,0.8013
mispickel,0.801
dog,0.801
dean,0.801
gill,0.801
franco,0.801
eddy,0.801
personality,0.801
cabell,0.801
