noun,similarity
minnie_mouse,0.9004
donald_duck,0.861
mouse,0.86
disney,0.855
rat,0.837
mighty_mouse,0.833
rodent,0.8296
monkey,0.816
goof,0.816
bear,0.814
someone,0.813
cow,0.808
hitler,0.8076
moose,0.807
house_mouse,0.8066
kitty,0.803
deer_mouse,0.8027
batman,0.8027
mouse_hare,0.8022
elephant,0.8022
stitch,0.8013
clown,0.8013
teddy_bear,0.8003
heart,0.7983
murine,0.798
mike,0.7974
apple,0.7974
field_mouse,0.7964
pocket_mouse,0.796
church_mouse,0.795
knuckles,0.795
duck,0.7944
cive,0.7944
kangaroo_mouse,0.794
ducky,0.794
kid,0.7935
bee,0.7925
somebody,0.7925
disneyland,0.7925
new_world_mouse,0.7925
cat,0.792
hazel_mouse,0.792
rabbit,0.7915
baby,0.7915
doggie,0.791
moo-cow,0.791
santa,0.7905
doggy,0.7905
mushroom,0.79
minion,0.7896
mimicker,0.7896
animal,0.789
hymie,0.789
jesus,0.789
king,0.7886
hick,0.7886
kitty-cat,0.7886
trump,0.7886
fairy,0.788
pygmy_mouse,0.788
jew,0.7876
somewhere,0.7876
pig,0.787
walt_disney,0.787
way,0.787
miss,0.7866
easter_bunny,0.786
mom,0.786
hamster,0.7856
ant_bear,0.7856
daddy,0.7856
subject,0.785
president,0.785
unknown,0.785
sweetie,0.7847
mat,0.7847
bull,0.784
bovine,0.784
right,0.784
dad,0.7837
self,0.7837
lion,0.7837
mam,0.783
demon,0.783
panda,0.783
mush,0.7827
grandfather,0.782
prince,0.782
specific,0.782
grandpa,0.7817
ali,0.7817
mickey_finn,0.7817
lovely,0.7817
brother,0.7817
chicken,0.7817
scot,0.7812
favorite,0.7812
communist,0.7812
piggy,0.781
max,0.781
bunny,0.781
michael_jackson,0.781
spider,0.7803
ant,0.7803
uncle,0.78
ant_cow,0.78
dick,0.78
nude_mouse,0.78
pope,0.78
tiger,0.78
devil,0.78
uut,0.7793
boy,0.7793
mack,0.7793
best,0.7793
favourite,0.779
friend,0.779
man,0.779
beat,0.779
a.e.,0.779
mind,0.7783
walter,0.7783
mommy,0.7783
chinaman,0.778
grandmother,0.778
fuzz,0.778
peanut,0.7773
msh,0.7773
whiskey,0.7773
mary,0.7773
elvis,0.777
grandma,0.777
critter,0.777
homeboy,0.777
person,0.7764
adolf_hitler,0.7764
canine,0.7764
kiddy,0.7764
spot,0.7764
creature,0.7764
mick,0.7764
mucin,0.7764
microbe,0.7764
lucifer,0.776
honey,0.776
personality,0.776
cat_bear,0.7754
kiley,0.7754
monster,0.7754
child,0.7754
christ,0.7754
fly,0.7754
milk,0.7754
pony,0.775
venom,0.775
pussly,0.775
matthew,0.775
butterfly,0.775
bug,0.775
jack,0.775
simple,0.775
angel,0.775
face,0.775
pet,0.7744
goy,0.7744
good,0.7744
monkey_dog,0.7744
goof-off,0.7744
lord,0.774
passerby,0.774
relative,0.774
honeybee,0.774
sissy,0.774
cousin,0.774
santa_claus,0.774
woof,0.7734
dude,0.7734
dainty,0.7734
machine,0.7734
molly,0.773
personage,0.773
momma,0.773
sharer,0.773
body,0.773
honey_bear,0.773
squirrel,0.773
donkey,0.773
joseph_stalin,0.773
kitten,0.773
banjo,0.7725
bear_cat,0.7725
dog,0.7725
little_bear,0.7725
michel_ney,0.7725
potato,0.7725
great_bear,0.772
bunny_rabbit,0.772
goody,0.772
geordie,0.772
beast,0.772
missus,0.772
sherlock,0.772
superman,0.7715
jumping_mouse,0.7715
fish,0.7715
cool,0.7715
buddy,0.7715
brain,0.7715
cowboy,0.7715
ray,0.7715
beloved,0.7715
macho,0.7715
marsupial_mouse,0.7715
fatty,0.7715
amateur,0.7715
nazi,0.7715
electric,0.7715
nephew,0.7715
horse,0.771
big_cheese,0.771
banana,0.771
daisy,0.771
monsieur,0.771
marc,0.771
puppy,0.771
guy,0.7705
negro,0.7705
anther,0.7705
nugget,0.7705
sir,0.7705
dr.,0.7705
pop,0.7705
marti,0.7705
black_rat,0.7705
gem,0.7705
dowser,0.7705
short,0.77
style,0.77
wizard,0.77
ham,0.77
papa,0.77
midget,0.77
milk_can,0.77
jet,0.7695
black_bear,0.7695
mispickel,0.7695
spook,0.7695
great,0.7695
beanie,0.7695
marstan,0.7695
ted,0.7695
primate,0.7695
fox,0.7695
withe,0.7695
milcher,0.769
fieldmouse,0.769
feline,0.769
milk_cow,0.769
wolf,0.769
neighbor,0.769
mocker,0.769
meeter,0.769
mama,0.769
johnny,0.769
micheas,0.769
moro,0.7686
technical,0.7686
secernment,0.7686
moment,0.7686
oswald,0.7686
mexican_pocket_mouse,0.7686
master,0.7686
bird,0.7686
brown_rat,0.7686
cowman,0.7686
pooch,0.7686
father,0.7686
pontifex,0.7686
husband,0.7686
portrait,0.7686
spick,0.768
mouse_button,0.768
willis,0.768
mon,0.768
user,0.768
rip,0.768
v.p.,0.768
silky_pocket_mouse,0.768
swill,0.768
penguin,0.768
whiskers,0.768
cheese,0.768
poop,0.768
photographic_material,0.768
object,0.7676
story,0.7676
place,0.7676
husky,0.7676
heartthrob,0.7676
frog,0.7676
alien,0.7676
raccoon,0.7676
excuse,0.7676
world,0.7676
black_bee,0.7676
mother,0.7676
pirate,0.7676
love,0.7676
leo,0.767
patrick,0.767
attestant,0.767
old_man,0.767
landscape,0.767
tractor,0.767
pix,0.767
queer_duck,0.767
doyly,0.767
sweet,0.767
herr,0.767
chinch,0.767
non-jew,0.7666
nicholas,0.7666
pickle,0.7666
gangster,0.7666
whisker,0.7666
taylor,0.7666
deceased_person,0.7666
bone,0.7666
cinderella,0.7666
pouched_mouse,0.7666
nick,0.7666
idol,0.7666
alb,0.766
royal,0.766
doll,0.766
