noun,similarity
renoir,0.7305
pierre_auguste_renoir,0.704
vincent_van_gogh,0.696
pablo_picasso,0.695
paul_gauguin,0.6924
picasso,0.689
gauguin,0.6885
delacroix,0.6846
freud,0.68
claude_monet,0.678
gide,0.677
van_gogh,0.6763
weizmann,0.6763
satie,0.6763
durer,0.6753
jacques_francois_antoine_ibert,0.6724
gogh,0.6724
cazique,0.6714
proust,0.671
pirandello,0.6685
monet,0.6685
guevara,0.6675
tchaikovsky,0.667
giacomo_della_chiesa,0.667
zinnemann,0.6665
eugene_delacroix,0.664
jacques_alexandre_cesar_charles,0.663
canetti,0.662
gandhi,0.6616
jules_alfred_huot_de_goncourt,0.661
jacques_loeb,0.66
andre_paul_guillaume_gide,0.6597
michelangelo,0.6597
karl_wilhelm_scheele,0.658
jacques_costeau,0.658
karl_marx,0.657
mandioc,0.657
casals,0.6567
canarese,0.6562
edmond_louis_antoine_huot_de_goncourt,0.6562
gounod,0.656
luigi_pirandello,0.6553
marie_jean_antoine_nicolas_caritat,0.655
erik_satie,0.655
paul,0.655
pyotr_tchaikovsky,0.655
eisenstein,0.6543
isaac_stern,0.6543
rene_antoine_ferchault_de_reaumur,0.654
ernst_heinrich_weber,0.6533
august_wilhelm_von_hoffmann,0.6533
hesse,0.653
soutine,0.653
goethe,0.6523
chaim_azriel_weizmann,0.6523
rembrandt,0.652
thoreau,0.6514
baudelaire,0.6514
tzetze,0.6504
lenin,0.6504
verdi,0.6504
rossetti,0.65
spiegeleisen,0.6494
charles_robert_darwin,0.649
rabelais,0.649
bob_dylan,0.6484
bizet,0.6484
gluck,0.6484
schleiden,0.6484
einstein,0.6484
emile_herzog,0.6475
mazzini,0.6475
wilhelm_ostwald,0.6475
velazquez,0.6475
feodor_mikhailovich_dostoevsky,0.647
matisse,0.647
fyodor_mikhailovich_dostoevsky,0.647
charles_edward_ives,0.6465
piolet,0.6465
august_von_wassermann,0.646
puccini,0.646
giulio_de'_medici,0.646
