noun,similarity
einstein,0.7305
sinatra,0.7285
freud,0.728
plato,0.726
renoir,0.7256
cocteau,0.72
winston_churchill,0.7188
van_gogh,0.718
gogh,0.7173
gauguin,0.7144
shakespeare,0.712
churchill,0.7095
warhol,0.7095
vincent_van_gogh,0.708
hitler,0.707
braque,0.7065
parisian,0.706
mandela,0.7056
nelson_mandela,0.705
aristotle,0.705
mussolini,0.7017
gandhi,0.7007
cubist,0.699
george_washington,0.698
cezanne,0.698
william_shakespeare,0.6978
nixon,0.6978
reagan,0.6973
matisse,0.697
paul_gauguin,0.6963
sartre,0.6963
frank_sinatra,0.696
jean-paul_sartre,0.695
mike_tyson,0.6943
eisenhower,0.6943
pierre_auguste_renoir,0.694
elvis,0.6934
jfk,0.693
mick_jagger,0.693
shakespearian,0.693
tesla,0.6924
putin,0.692
paul_cezanne,0.692
auden,0.6914
nehru,0.6904
pontifex,0.6904
robespierre,0.6895
baudelaire,0.689
artist,0.6885
leonardo_da_vinci,0.688
hegel,0.687
mahatma_gandhi,0.6865
lenin,0.6865
marx,0.686
dali,0.686
stravinsky,0.6855
dostoevsky,0.685
monet,0.685
monsieur,0.685
fdr,0.6846
heisenberg,0.6846
bob_dylan,0.6846
jung,0.684
hugo,0.684
andy_warhol,0.684
giorgio_de_chirico,0.6836
chaplin,0.683
artiste,0.683
sigmund_freud,0.683
caesar,0.683
mahatma,0.6826
francois_villon,0.6826
foucault,0.6826
paris,0.682
camus,0.6816
bug,0.6816
paul_mccartney,0.6816
julius_caesar,0.6816
albert_camus,0.681
pissis,0.681
tolstoy,0.6807
cicero,0.6807
jagger,0.68
mansart,0.68
proust,0.6797
espana,0.679
jean-jacques_rousseau,0.679
bill_clinton,0.6787
henri_matisse,0.6787
roosevelt,0.678
capone,0.678
eiffel,0.6777
guevara,0.6777
borges,0.6772
nietzsche,0.6772
cowboy,0.677
winston_s._churchill,0.677
zen,0.677
amigo,0.677
pablo_casals,0.677
carl_jung,0.677
michelangelo,0.6763
peanut,0.6763
