noun,similarity
malevich,0.604
claude_monet,0.5947
vincent_van_gogh,0.589
van_gogh,0.5884
klimt,0.586
gogh,0.58
igor_stravinsky,0.5767
monet,0.5728
pablo_picasso,0.5713
spinoza,0.57
stravinsky,0.5693
kandinsky,0.5693
cubist,0.568
gustav_klimt,0.568
wassily_kandinsky,0.565
mackintosh,0.5645
abstractionism,0.564
giacometti,0.5625
aristotelian,0.5625
godard,0.562
einstein,0.562
tesla,0.561
jean_luc_godard,0.561
frank_lloyd_wright,0.561
gandhi,0.5596
baruch_de_spinoza,0.5586
duchamp,0.558
rothko,0.5576
arendt,0.557
kazimir_malevich,0.5566
postimpressionist,0.556
gauguin,0.5557
edvard_munch,0.5557
picasso,0.5557
benedict_de_spinoza,0.5557
mahatma_gandhi,0.554
walt_disney,0.5537
delacroix,0.553
gustav_mahler,0.5522
fernand_leger,0.552
freud,0.552
foucault,0.552
dali,0.551
jean_bernard_leon_foucault,0.551
paul_gauguin,0.551
mandela,0.5503
planck,0.55
pirandello,0.55
plato,0.55
mies_van_der_rohe,0.55
sigmund_freud,0.5493
grid,0.5493
proust,0.5493
marcel_duchamp,0.5493
nikola_tesla,0.549
modernist,0.549
ernest_bloch,0.5483
marcel_proust,0.548
abstractionist,0.548
andre_derain,0.546
rachmaninoff,0.546
rembrandt,0.5454
jan_van_eyck,0.545
mark_rothko,0.545
igor_fyodorovich_stravinsky,0.545
de_spinoza,0.5444
max_planck,0.5444
jan_vermeer,0.5444
william_morris,0.5444
goethe,0.544
eugene_delacroix,0.544
heisenberg,0.543
wittgenstein,0.543
jean-paul_sartre,0.543
rembrandt_van_rijn,0.543
pre-raphaelite,0.5425
bob_dylan,0.5425
wilbur_wright,0.5425
pinter,0.542
grotius,0.542
jungian,0.5415
heidegger,0.541
flaubert,0.5405
descartes,0.5405
abstraction,0.5405
ibert,0.5405
monochromat,0.54
photius,0.54
semi-abstraction,0.5396
oscar_wilde,0.5396
synthetism,0.5396
puccini,0.5396
rachmaninov,0.5396
manzoni,0.5396
zen_buddhist,0.539
montesquieu,0.539
giacomo_puccini,0.538
hollands,0.538
paul_cezanne,0.538
giovanni_cimabue,0.5376
mahler,0.5376
modiste,0.5376
rembrandt_van_ryn,0.5376
superman,0.5376
robert_graves,0.537
albrecht_durer,0.537
francois_auguste_rene_rodin,0.537
monochrome,0.537
george_orwell,0.537
mahatma,0.5366
hans_holbein,0.5366
henry_miller,0.536
plotinus,0.536
sartre,0.536
hannah_arendt,0.5356
dutch_leonard,0.5356
munch,0.5356
modernism,0.535
pierre_auguste_renoir,0.535
merton,0.535
tolstoy,0.5347
richard_nixon,0.5347
nelson_mandela,0.5347
renoir,0.534
impressionist,0.534
walter_de_la_mare,0.534
holland,0.534
arthur_miller,0.534
rene_descartes,0.5337
thomas_edison,0.533
alexander_alexandrovich_blok,0.533
vermeer,0.533
cezanne,0.5327
durer,0.5327
zen,0.5327
alberto_giacometti,0.5327
pynchon,0.5327
suprematist,0.532
mohandas_karamchand_gandhi,0.532
ludwig_van_beethoven,0.532
montespan,0.532
abraham_lincoln,0.5317
ronald_reagan,0.5317
bertrand_russell,0.5317
albert_einstein,0.5317
pablo_casals,0.5312
dean_martin,0.5312
benjamin_britten,0.531
jfk,0.531
matisse,0.531
auguste_rodin,0.5303
dalai_lama,0.5303
albert_camus,0.5303
buddhist,0.53
shakespearian,0.53
jasper_johns,0.53
james_joyce,0.53
jung,0.53
andre_gide,0.5293
george_eliot,0.5293
george_washington,0.5293
gide,0.5293
walter_elias_disney,0.529
henri_matisse,0.529
sylvia_plath,0.529
surrealist,0.529
spock,0.5283
winslow_homer,0.5283
wordsworth,0.5283
fyodor_dostoevsky,0.5283
ludwig_wittgenstein,0.5283
motilin,0.528
anton_chekhov,0.528
walter_gropius,0.528
mendel,0.528
rudolf_serkin,0.528
jansenist,0.528
symbolist,0.5273
christoph_willibald_von_gluck,0.5273
huguenot,0.527
simenon,0.527
carl_jung,0.527
willem_de_sitter,0.527
melancholiac,0.527
mark_twain,0.527
georges_de_la_tour,0.5264
walter_john_de_la_mare,0.5264
holbein,0.526
iron_man,0.526
pleochroism,0.526
ludwig_mies_van_der_rohe,0.5254
virginia_woolf,0.5254
malamud,0.5254
nixon,0.5254
automatism,0.5254
elias_canetti,0.5254
van_eyck,0.525
satie,0.525
benjamin_franklin,0.525
plath,0.525
aaron_copland,0.525
murillo,0.525
ferdinand_joseph_la_menthe_morton,0.525
auden,0.525
tiffany_glass,0.525
august_von_wassermann,0.5244
trichroism,0.5244
william_shakespeare,0.5244
meyerbeer,0.5244
warhol,0.5244
arnold_schoenberg,0.5244
fauvist,0.5244
fyodor_mikhailovich_dostoevsky,0.5244
adolf_hitler,0.5244
thoreau,0.524
henri_van_de_velde,0.524
piolet,0.524
breughel,0.524
wassily_kandinski,0.524
orwell,0.524
tibetan,0.524
william_richard_morris,0.5234
hadrian,0.5234
wyeth,0.5234
stanislavsky,0.5234
edwardian,0.523
karl_scheele,0.523
synge,0.523
van_dyck,0.5225
ludwig_josef_johan_wittgenstein,0.5225
savant,0.5225
edward_benjamin_britten,0.522
wyler,0.522
mons,0.522
withy,0.522
vladimir_nabokov,0.522
mon,0.522
duc_de_richelieu,0.522
blok,0.522
welshman,0.522
lao-zi,0.5215
erwin_schrodinger,0.5215
luigi_pirandello,0.5215
vonnegut,0.521
composition,0.521
chopin,0.521
schoenberg,0.521
frisia,0.521
josef_albers,0.521
marcel,0.521
photometrist,0.5205
monopolist,0.5205
henry_david_thoreau,0.5205
johann_wolfgang_von_goethe,0.5205
eisenstein,0.52
shakespeare,0.52
ironman,0.52
grisaille,0.52
carl_van_doren,0.52
nehru,0.52
melancholic,0.52
john_milton,0.52
noguchi,0.52
monnet,0.52
debussy,0.52
walt_whitman,0.5195
mind,0.5195
friesland,0.5195
salientian,0.5195
manx,0.5195
frenchman,0.5195
philip_roth,0.5195
felix_mendelssohn,0.5195
pieter_brueghel,0.5195
walter,0.519
dostoevsky,0.519
modigliani,0.519
marciano,0.519
pepys,0.519
braque,0.519
lien,0.519
magritte,0.519
boris_pasternak,0.519
guy_of_burgundy,0.5186
alfred_stieglitz,0.5186
expressionist,0.5186
monsieur,0.5186
beethoven,0.5186
morceau,0.5186
reagan,0.5186
francois_villon,0.5186
