noun,similarity
banana,0.801
minion,0.799
mickey_mouse,0.7812
lemon,0.7754
pineapple,0.774
batman,0.7705
yellow_man,0.768
mickey,0.7666
cat,0.7656
electric,0.762
stitch,0.761
someone,0.7607
rabbit,0.7603
kitty,0.76
chicken,0.758
poky,0.7573
rat,0.7573
pig,0.7563
bear,0.756
hamster,0.756
cow,0.7554
potato,0.7544
fish,0.7534
easter_bunny,0.7524
duck,0.7524
kitty-cat,0.7524
bumblebee,0.752
cheese,0.7515
ducky,0.7515
dog,0.751
bunny,0.7505
mouse,0.7505
child,0.7505
donald_duck,0.7505
lemonade,0.7495
piggy,0.7495
rodent,0.749
peach,0.7485
apple,0.7485
doggy,0.748
moth,0.748
bee,0.7476
kid,0.747
doggie,0.7466
pee,0.744
trump,0.744
monkey,0.7437
butterfly,0.7437
horse,0.7437
fucking,0.743
pony,0.742
hitler,0.7417
sponge,0.7417
cive,0.741
puss,0.7407
mango,0.7407
second_banana,0.7397
bitch,0.7397
pet,0.7393
electric_pig,0.7393
animal,0.7393
pickle,0.7393
yellowbird,0.739
pussly,0.739
mushroom,0.7383
panda,0.7383
minnie_mouse,0.7383
donkey,0.7383
person,0.738
ash,0.738
somewhere,0.7373
face,0.7373
shark,0.737
moo-cow,0.736
feline,0.7354
squirrel,0.7354
somebody,0.7344
cheeseburger,0.7344
kitten,0.7344
dick,0.734
quack-quack,0.734
subject,0.734
place,0.7334
pooch,0.7334
nazi,0.7334
peanut,0.733
turtle,0.733
fellow,0.733
fairy,0.733
puppy,0.733
teddy_bear,0.733
penguin,0.733
llama,0.733
butter,0.733
superman,0.7324
frog,0.7324
flash,0.732
baby,0.732
friend,0.7314
owl,0.7314
user,0.731
egg_yolk,0.731
landscape,0.731
tiger,0.731
santa,0.7305
hulk,0.7305
right,0.7305
doge,0.73
unknown,0.73
fruit,0.73
bacon,0.73
demon,0.73
hot_dog,0.7295
girl,0.7295
gas,0.7295
clown,0.7295
uut,0.7295
avocado,0.7295
angel,0.729
anime,0.729
raccoon,0.729
candy,0.729
alien,0.729
bunny_rabbit,0.7285
electricity,0.7285
koala,0.728
yellow_berry,0.728
acid,0.728
grandma,0.728
chin,0.7275
elephant,0.7275
lemon_cheese,0.7275
lemon_juice,0.7275
penis,0.727
honeybee,0.727
chad,0.7266
jew,0.7266
bug,0.7266
knuckles,0.7266
bird,0.726
fucker,0.726
dinosaur,0.726
princess,0.726
honey,0.726
fox,0.726
lion,0.726
quack,0.726
chick,0.7256
hedgehog,0.7256
asian,0.7256
light,0.7256
goldfish,0.7256
pussy,0.7256
boy,0.7256
ted,0.725
corn,0.725
heart,0.7246
pixel,0.7246
nugget,0.7246
lemon_drop,0.724
nigga,0.724
pumpkin,0.724
attestant,0.724
professor,0.724
specific,0.7236
ham,0.7236
wolf,0.7236
whatnot,0.723
dark,0.723
cat_bear,0.723
man,0.723
brother,0.723
spider,0.723
way,0.723
tractor,0.7227
motherfucker,0.7227
sun,0.7227
chance,0.7227
garfield,0.7227
big_cheese,0.7227
belle,0.722
surroundings,0.722
secernment,0.722
familiar,0.722
macaroni,0.722
banana_skin,0.722
vegetable,0.722
mom,0.7217
outside,0.7217
car,0.7217
yellow_mombin,0.7217
milk,0.7217
chemical,0.7217
poncho,0.7217
chink,0.721
duckling,0.721
nature,0.721
prince,0.721
water,0.721
countryside,0.721
tuna,0.721
disney,0.721
cat_squirrel,0.721
fatty,0.7207
pork,0.7207
neighbor,0.7207
grandmother,0.7207
creature,0.7207
veggie,0.7207
bat,0.7207
patrick,0.7207
yellow_woman,0.7207
insect,0.7207
sweetie,0.7207
original,0.72
bunny_girl,0.72
lepidopteron,0.72
bull,0.7197
yellow_turnip,0.7197
pigeon,0.7197
spaghetti,0.7197
object,0.7197
fuck,0.7197
speed,0.7197
catch,0.7197
annualry,0.7197
piglet,0.7197
gorilla,0.719
dragon,0.719
mon,0.719
monster,0.719
canine,0.719
communist,0.719
best,0.719
photography,0.719
image,0.7188
pancake,0.7188
scot,0.7188
yellow_jack,0.7188
chili,0.7188
yolk,0.7188
human,0.7188
kangaroo,0.7183
christian,0.7183
portrait,0.7183
cloud,0.7183
scotch,0.7183
poop,0.718
colors,0.718
color,0.718
hotdog,0.718
son,0.718
stranger,0.718
shitter,0.718
land,0.718
yellow_pea,0.718
poke,0.718
personality,0.718
witch,0.718
super,0.718
santa_claus,0.718
old_person,0.718
ocean,0.7173
plant,0.7173
grandfather,0.7173
finch,0.7173
pix,0.7173
meat,0.7173
jesus,0.7173
cherry,0.7173
photoelectricity,0.7173
cross,0.7173
sherlock,0.717
dude,0.717
fluff,0.717
buddha,0.717
fuzz,0.717
citron,0.717
president,0.717
bush,0.717
passerby,0.717
juice,0.717
self,0.7163
fat,0.7163
psychodid,0.7163
bee_killer,0.7163
devil,0.7163
gary,0.7163
feel,0.716
figure,0.716
taco,0.716
whiskey,0.716
tomato,0.716
grandson,0.716
hamburger,0.716
lapin,0.716
toad,0.7153
skittle,0.7153
cinnamon,0.7153
yellow_ocher,0.7153
pineapple_juice,0.7153
sheep,0.7153
technical,0.7153
snack,0.7153
moose,0.7153
shake,0.7153
ginger,0.7153
memory,0.7153
church,0.7153
chinaman,0.715
aussie,0.715
pug,0.715
chinese,0.715
king,0.715
mimicker,0.715
fatso,0.715
doll,0.715
cousin,0.715
yellow_bean,0.715
body,0.715
vibes,0.7144
midget,0.7144
cither,0.7144
deceased_person,0.7144
charles,0.7144
chicken_taco,0.7144
urine,0.7144
master,0.7144
black_bee,0.7144
twinkie,0.7144
rhino,0.7144
deep,0.7144
woof,0.714
fire,0.714
cactus,0.714
fish_duck,0.714
bear_cat,0.714
phone,0.714
mommy,0.714
xxx,0.714
micheas,0.714
yellow_rocket,0.7134
animal_material,0.7134
spook,0.7134
gecko,0.7134
banana_bread,0.7134
sweet,0.7134
ganja,0.7134
mush,0.7134
delicious,0.7134
pontifex,0.7134
moth_miller,0.7134
mind,0.7134
taxi,0.7134
shim,0.7134
rocket,0.7134
toad_frog,0.713
squash,0.713
cricket,0.713
puff,0.713
uuh,0.713
moment,0.713
auto,0.713
view,0.713
gizmo,0.713
cellphone,0.7124
rule,0.7124
city,0.7124
throwback,0.7124
anther,0.7124
sneaker,0.7124
herr,0.7124
street,0.7124
shoe,0.7124
expression,0.7124
colours,0.712
egg,0.712
click,0.712
rip,0.712
mama,0.712
bubble,0.712
thing,0.7114
snake,0.7114
positive,0.7114
plica,0.7114
grass,0.7114
colour,0.7114
bean,0.7114
kiddy,0.7114
nephew,0.7114
nigger,0.7114
lego,0.7114
grandpa,0.7114
hog,0.7114
chill,0.7114
macho,0.7114
deer,0.7114
fries,0.7114
house,0.7114
non-jew,0.711
good,0.711
ghost,0.711
peanut_butter,0.711
miss,0.711
prefect,0.711
nan,0.711
dr.,0.711
silly,0.711
dug,0.711
slut,0.711
simple,0.7104
plane,0.7104
tesla,0.7104
kangaroo_mouse,0.7104
lovely,0.7104
beetle,0.7104
content,0.7104
amber,0.7104
waffle,0.7104
agua,0.7104
hop,0.7104
mouse_hare,0.7104
personal,0.7104
clinton,0.7104
pocket_mouse,0.71
detective,0.71
appalachian,0.71
wizard,0.71
negro,0.71
max,0.71
girlfriend,0.71
bovine,0.71
pope,0.7095
drink,0.7095
hick,0.7095
psychic,0.7095
transport,0.7095
computer,0.7095
lucifer,0.7095
mary,0.7095
mike,0.7095
poor_fish,0.7095
bill_clinton,0.7095
dingo,0.7095
young_fish,0.7095
apartment,0.7095
diamond,0.7095
honey_bear,0.709
critter,0.709
sugar,0.709
android,0.709
south,0.709
homeboy,0.709
bay,0.709
dad,0.709
boat,0.709
potential,0.709
owner,0.709
cow_shark,0.709
mother,0.709
paunch,0.709
pokey,0.709
beginning,0.709
oeuvre,0.709
course,0.709
pud,0.709
