noun,similarity
lichtenstein,0.862
warhol,0.703
andy_warhol,0.6875
bob_dylan,0.675
hitler,0.6694
picasso,0.6675
pablo_picasso,0.666
pop,0.6646
bowie,0.6646
someone,0.663
rothschild,0.662
frenchman,0.66
ray,0.6597
lorenz,0.659
robert,0.658
hecht,0.6577
woody_allen,0.657
hirschfeld,0.6567
leibnitz,0.6567
utterer,0.656
lally,0.6553
leger,0.6553
mickey,0.6553
wayne,0.654
venom,0.654
rupert_murdoch,0.6533
zweig,0.653
marx,0.653
fernand_leger,0.653
pontifex,0.653
grandpa,0.6523
george_washington,0.6523
sondheim,0.652
adolf_hitler,0.652
shakespearian,0.6514
sinatra,0.6504
frank,0.6504
zinnemann,0.65
snoop,0.65
reagan,0.65
freud,0.65
hesse,0.65
richler,0.65
manzoni,0.6494
tony_blair,0.6494
lipmann,0.6494
john_lennon,0.649
monsieur,0.649
kiley,0.649
corneille,0.649
bloch,0.6484
herr,0.6484
batman,0.6484
karl_von_frisch,0.6484
frisch,0.6484
pope,0.6484
ray_robinson,0.648
kleist,0.648
herzberg,0.648
madonna,0.648
donald_duck,0.648
august_von_wassermann,0.648
haschisch,0.6475
holstein,0.6475
duchamp,0.6475
boehm,0.6475
hopkinson,0.6475
frank_sinatra,0.6475
boeuf,0.6475
riesman,0.6475
trump,0.6475
dryden,0.647
dieter,0.647
weenie,0.647
serigraph,0.647
schlesinger,0.647
abstractionist,0.647
roth,0.6465
ronald_reagan,0.6465
calvin,0.646
mccartney,0.646
louis_auchincloss,0.646
louis_burt_mayer,0.646
johnny_cash,0.646
jean-jacques_rousseau,0.6455
abstractionism,0.6455
william_shakespeare,0.6455
burnouse,0.6455
bijou,0.6455
behrens,0.6455
emile_herzog,0.6455
brunet,0.6455
bill_clinton,0.6455
behring,0.645
jew,0.645
keith_rupert_murdoch,0.645
clinton,0.645
lech,0.645
cohn,0.6445
somebody,0.6445
nietzsche,0.6445
german,0.6445
postimpressionist,0.6445
bill_gates,0.6445
walt_disney,0.6445
granddad,0.6445
putin,0.6445
david,0.6445
jean,0.644
billy,0.644
garrick,0.644
jefferson,0.644
william_jefferson_clinton,0.644
michener,0.644
melchior,0.644
mike_tyson,0.6436
heinrich_von_kleist,0.6436
miles_davis,0.6436
gary,0.6436
wigner,0.6436
landman,0.6436
abstraction,0.6436
isherwood,0.643
kaury,0.643
bryan,0.643
buhl,0.6426
moynihan,0.6426
reinhold_niebuhr,0.6426
merl,0.6426
milcher,0.6426
steffens,0.6426
stephen_michael_reich,0.6426
emil_hermann_fischer,0.6426
buchner,0.6426
rubens,0.642
heinz,0.642
jesus,0.642
lino,0.642
schiller,0.642
nazi,0.642
weill,0.642
elvis,0.642
kitty,0.6416
mathias,0.6416
lasher,0.6416
eyck,0.6416
captain,0.641
martin,0.641
leyden,0.641
walter,0.641
johnny,0.641
chad,0.641
joseph_stalin,0.6406
robespierre,0.6406
jfk,0.6406
neurasthenic,0.6406
beethoven,0.6406
henry_viii,0.6406
charles_louis_de_secondat,0.6406
beecher,0.64
woodcut,0.64
wiener,0.64
irving,0.64
chintz,0.64
lout,0.64
bey,0.64
dad,0.64
xavier,0.64
cowman,0.64
galen,0.64
