noun,similarity
mickey,0.805
doggie,0.798
doggy,0.7974
peanut,0.7944
pooch,0.7896
woof,0.7793
spot,0.777
mickey_mouse,0.777
schulz,0.776
dogy,0.7744
dog,0.7744
donald_duck,0.7734
angel,0.7725
puppy,0.7715
snooper,0.7715
goody,0.771
snowman,0.771
someone,0.77
bear,0.769
piggy,0.7686
snuff,0.7686
dag,0.7686
buddy,0.7686
kitty,0.7686
charles_m._schulz,0.768
sniffer,0.7666
floppy,0.766
scratch,0.7656
pope,0.765
sweetie,0.7646
somebody,0.7646
beanie,0.7646
garfield,0.764
captain,0.7637
pig,0.763
elvis,0.763
matthew,0.7627
mary,0.762
spook,0.762
doggy_do,0.7617
mushroom,0.761
cowboy,0.761
scot,0.7607
cow,0.7607
charles,0.7607
noah,0.7603
squirrel,0.7603
canine,0.7603
bone,0.759
bull,0.759
dog_do,0.7583
rip,0.7583
cherry,0.758
sharpy,0.758
bean,0.758
pet,0.7573
dug,0.757
walter,0.7563
dogie,0.756
sweet,0.756
grandpa,0.756
mat,0.756
cookie,0.7554
spock,0.7554
sam,0.7554
mush,0.755
jack,0.755
jimmy,0.755
jefferson,0.755
kelly,0.7544
self,0.7544
martin,0.7544
johnny,0.7544
max,0.7544
sir,0.754
beloved,0.754
wolf,0.754
nugget,0.754
cat,0.754
schnabel,0.754
kiddy,0.754
sweetheart,0.7534
husky,0.7534
wally,0.7534
sheriff,0.7534
scout,0.753
top_dog,0.753
batman,0.7524
tiger,0.7524
samuel,0.7524
hobbes,0.7524
penguin,0.7524
president,0.752
oliver,0.752
pony,0.752
peg,0.7515
billy,0.7515
washington,0.7515
ginger,0.7515
papa,0.7515
abraham,0.7515
shepherd,0.7515
beany,0.751
bee,0.751
pirate,0.751
panda,0.751
daisy,0.7505
apple,0.7505
jesus,0.7505
v.p.,0.7505
andrew,0.7505
shmo,0.7505
kitty-cat,0.7505
short,0.75
marley,0.75
marti,0.75
champ,0.75
hot_dog,0.75
murphy,0.75
molly,0.7495
doc,0.7495
chief,0.7495
jacob,0.7495
king,0.7495
pap,0.7495
mike,0.7495
softy,0.7495
dolly,0.749
gregory,0.749
shim,0.7485
friend,0.7485
fart,0.7485
moose,0.748
mom,0.748
john,0.748
dog_laurel,0.748
schmo,0.748
willis,0.7476
owen,0.7476
princess,0.7476
woofer,0.7476
chili,0.7476
bunny,0.7476
superman,0.7476
mitchell,0.7476
joshua,0.747
stupe,0.747
spick,0.7466
dr.,0.7466
milton,0.7466
hitler,0.7466
banjo,0.7466
macho,0.7466
poodle,0.7466
belle,0.7466
trump,0.746
jolly,0.746
goof,0.746
fairy,0.746
south,0.746
charles_munroe_schulz,0.746
portrait,0.746
doge,0.746
george,0.7456
unknown,0.7456
kiley,0.7456
dad,0.7456
lady,0.7456
trip,0.7456
moo-cow,0.745
peter,0.745
shipper,0.745
romeo,0.745
mart,0.745
zip,0.745
