noun,similarity
hedgehog,0.8423
knuckles,0.839
hog,0.8213
someone,0.8154
pig,0.814
hick,0.813
sergeant,0.813
mickey,0.811
spick,0.811 
king,0.811
super,0.8105
sir,0.808
apple,0.8076
superman,0.8076
beloved,0.8057
hansom,0.8047
scot,0.8047
gem,0.8047
pickle,0.8037
chili_dog,0.803
sam,0.8027
sob,0.8022
sweetie,0.8022
subject,0.8022
batman,0.8013
spic,0.801
piggy,0.8003
fatty,0.8003
lord,0.8
rat,0.8
specific,0.7993
negro,0.7993
south,0.7993
doctor,0.7993
self,0.799
somebody,0.7983
wolf,0.798
wuss,0.798
prince,0.7974
sherlock,0.7974
angel,0.7974
homeboy,0.7974
pet,0.797
somewhere,0.797
rodent,0.7964
bee,0.7964
vas,0.7964
dr.,0.7964
hymie,0.7964
gator,0.7964
banjo,0.796
spider,0.796
worm,0.7954
bleu,0.7954
simple,0.795
solomon,0.795
doggy,0.7944
royal,0.7944
shim,0.7944
sweet,0.7944
honeybee,0.794
donald_duck,0.794
geordie,0.794
wizard,0.794
hot_dog,0.794
best,0.794
simon,0.7935
jacobi,0.7935
cool,0.7935
trump,0.793
critter,0.793
chill,0.793
lovely,0.793
demon,0.793
kitty,0.793
menace,0.793
pepsi,0.7925
cat,0.7925
mouse,0.7925
mat,0.792
flash,0.792
canine,0.792
cavy,0.792
pooch,0.792
weirdy,0.7915
sumach,0.7915
swill,0.7915
pistol,0.7915
cooly,0.7915
squirrel,0.7915
tomato,0.7915
seism,0.7915
familiar,0.7915
scion,0.7915
hobo,0.791
prof,0.791
creature,0.791
scuba,0.791
brother,0.791
samuel,0.791
blast,0.791
woofer,0.7905
noble,0.7905
adam,0.7905
miss,0.7905
speed,0.7905
peanut,0.7905
herb,0.79
christian,0.79
mickey_mouse,0.79
doc,0.79
semi,0.79
husky,0.79
sneak,0.79
hem,0.79
silly,0.7896
scag,0.7896
kelt,0.7896
beanie,0.7896
trooper,0.7896
friend,0.7896
electric,0.7896
moro,0.789
pussly,0.789
chum,0.789
great,0.789
acth,0.789
villus,0.789
tabis,0.789
marl,0.7886
uut,0.7886
fuzz,0.7886
fox,0.7886
wester,0.7886
right,0.7886
dainty,0.7886
weirdie,0.7886
general,0.7886
heartthrob,0.788
homegirl,0.788
hero,0.788
slick,0.788
biggin,0.788
minion,0.788
boy,0.788
veggie,0.788
schemer,0.788
chump,0.788
captain,0.788
pixel,0.788
schlock,0.788
kine,0.788
skag,0.7876
good,0.7876
devil,0.7876
mocker,0.7876
romp,0.7876
tine,0.7876
daddy,0.787
cay,0.787
goody,0.787
withers,0.787
techie,0.787
sang,0.787
phiz,0.787
teen,0.787
gary,0.787
pony,0.787
rip,0.787
short,0.7866
dreck,0.7866
son,0.7866
fet,0.7866
favourite,0.7866
jet,0.7866
soul,0.7866
tiger,0.7866
hotdog,0.7866
nadir,0.7866
cleg,0.7866
gean,0.7866
secernment,0.7866
stray,0.7866
spot,0.7866
shake,0.7866
louis,0.7866
monkey,0.786
neurotic,0.786
seer,0.786
bonce,0.786
way,0.786
german,0.786
kiley,0.786
tick,0.786
beat,0.7856
trucker,0.7856
marc,0.7856
elvis,0.7856
martin,0.7856
princess,0.7856
nast,0.7856
banana,0.7856
seconal,0.7856
chit,0.7856
geek,0.7856
prancer,0.7856
slops,0.7856
sum,0.7856
softy,0.7856
nad,0.7856
chyle,0.7856
bat,0.785
wince,0.785
auto,0.785
man,0.785
cive,0.785
senior,0.785
nuisance,0.785
jonson,0.785
clinton,0.785
nick,0.785
walter,0.785
crazy,0.7847
badger,0.7847
jacob,0.7847
musk_hog,0.7847
gelly,0.7847
nestor,0.7847
dahna,0.7847
joker,0.7847
solon,0.7847
honky,0.7847
jolly,0.7847
swine,0.7847
spook,0.7847
duck,0.7847
hoagie,0.7847
macho,0.7847
weirdo,0.7847
simian,0.7847
clown,0.7847
canuck,0.784
billy,0.784
sweetheart,0.784
gregory,0.784
merl,0.784
mary,0.784
noah,0.784
peter,0.784
termer,0.7837
sacco,0.7837
aper,0.7837
curtis,0.7837
mart,0.7837
sugar,0.7837
shona,0.7837
craigie,0.7837
technical,0.7837
venom,0.7837
baby,0.7837
bijou,0.7837
simoniz,0.7837
goose,0.7837
arguer,0.783
idiot,0.783
prig,0.783
donut,0.783
kitty-cat,0.783
slyboots,0.783
nates,0.7827
frazer,0.7827
zone,0.7827
kid,0.7827
tatter,0.7827
ranger,0.7827
hyson,0.7827
tyler,0.7827
sett,0.7827
xavier,0.7827
bull,0.7827
commander,0.782
shem,0.782
spenser,0.782
demetrius,0.782
seth,0.782
goy,0.782
sartor,0.782
maximum,0.782
babe,0.782
taco,0.782
favorite,0.782
woof,0.782
todd,0.782
person,0.782
charles,0.782
human,0.782
jonah,0.7817
queen,0.7817
gay,0.7817
honkie,0.7817
sprit,0.7817
locale,0.7817
jonathan,0.7817
bug,0.7817
zombie,0.7817
diva,0.7817
derris,0.7817
killer,0.7817
santa_claus,0.7817
taylor,0.7817
simeon,0.7817
mann,0.7817
aaron,0.7817
doggie,0.7817
gleet,0.7817
hop,0.7817
fatso,0.7812
snacker,0.7812
jag,0.7812
chad,0.7812
squeezer,0.7812
savage,0.7812
jerker,0.7812
spinner,0.7812
romeo,0.7812
sonny,0.7812
owl,0.7812
tomalley,0.7812
kingston,0.7812
tai,0.781
max,0.781
inspiration,0.781
shotgun,0.781
styler,0.781
mon,0.781
bluing,0.781
dogie,0.781
quick,0.781
lucifer,0.781
passerby,0.781
slogger,0.7803
stag,0.7803
wooer,0.7803
withe,0.7803
missus,0.7803
malory,0.7803
candy,0.7803
predatory_animal,0.7803
sage,0.7803
prima,0.7803
catch,0.7803
dag,0.7803
delicious,0.7803
funk,0.7803
hod,0.7803
duke,0.7803
out-and-outer,0.7803
personage,0.7803
haick,0.7803
smitane,0.78
toter,0.78
swag,0.78
lion,0.78
child,0.78
squeaker,0.78
swaggerer,0.78
biddy,0.78
vamp,0.78
kelly,0.78
namesake,0.78
gallous,0.78
kiddy,0.78
dog,0.78
sirloin,0.78
shoe,0.78
sian,0.78
whiz,0.78
aussie,0.78
comrade,0.7793
buddy,0.7793
sumpter,0.7793
chili,0.7793
nosher,0.7793
tom,0.7793
scotch,0.7793
chintz,0.7793
guy,0.7793
rotter,0.7793
andrew,0.7793
paton,0.7793
personal,0.7793
waker,0.7793
david,0.7793
grahame,0.7793
floppy,0.7793
personality,0.779
president,0.779
pall,0.779
christ,0.779
champ,0.779
hillary,0.779
sens,0.779
schmo,0.779
rocket,0.779
agee,0.779
trip,0.779
relative,0.779
maigre,0.779
savin,0.779
unknown,0.779
last,0.779
col,0.779
tracer,0.779
tenter,0.779
leo,0.779
des,0.779
third,0.779
bay,0.779
chinch,0.779
meany,0.779
american,0.779
benni,0.7783
quack,0.7783
alb,0.7783
nucha,0.7783
hassel,0.7783
sis,0.7783
snook,0.7783
chief,0.7783
tails,0.7783
link,0.7783
boar,0.7783
prophet,0.7783
sial,0.7783
sprog,0.7783
goer,0.7783
scottie,0.7783
sudra,0.7783
greaseball,0.7783
professor,0.7783
hallah,0.7783
shawnee,0.7783
jakes,0.7783
wicopy,0.778
stanton,0.778
fauces,0.778
sendee,0.778
herr,0.778
nit,0.778
snoop,0.778
smasher,0.778
husband,0.778
alexic,0.778
sacque,0.778
dacron,0.778
dix,0.778
gray,0.7773
suer,0.7773
animal,0.7773
anther,0.7773
wilding,0.7773
knight,0.7773
toque,0.7773
maha,0.7773
snake,0.7773
tory,0.7773
abdias,0.7773
chico,0.7773
nephew,0.7773
throwback,0.7773
ridiculer,0.7773
marti,0.7773
aril,0.7773
hunter,0.7773
lady,0.7773
whisker,0.7773
virus,0.7773
roomy,0.7773
john,0.7773
sissy,0.7773
teach,0.7773
moose,0.7773
click,0.7773
hill,0.7773
milton,0.777
schnabel,0.777
mushroom,0.777
drosky,0.777
shark,0.777
weill,0.777
ridge,0.777
salientian,0.777
dean,0.777
poncho,0.777
smalley,0.777
jarrell,0.777
dragon,0.777
saint,0.777
holy,0.777
willis,0.777
pinch,0.777
titbit,0.777
kingdom,0.777
emmer,0.777
feel,0.777
hit,0.777
santa,0.777
snuff,0.777
lasher,0.777
cousin,0.7764
con,0.7764
trace,0.7764
slop,0.7764
bryan,0.7764
ray,0.7764
assassin,0.7764
brogan,0.7764
msh,0.7764
jesus,0.7764
ant,0.7764
doge,0.7764
matthew,0.7764
mush,0.7764
bunny,0.7764
shiite,0.7764
block,0.7764
zip,0.7764
wacko,0.7764
spangle,0.7764
latten,0.7764
rus,0.7764
falcon,0.7764
originator,0.7764
raise,0.7764
fastness,0.7764
main,0.7764
snug,0.7764
doyly,0.7764
dad,0.7764
sander,0.7764
morton,0.776
sailor,0.776
seminal_fluid,0.776
disco,0.776
negus,0.776
symons,0.776
finch,0.776
beast,0.776
dika,0.776
homyel,0.776
medico,0.776
scratch,0.776
clon,0.776
scott,0.776
pippin,0.776
gamin,0.776
brinton,0.776
doodle,0.776
potato,0.776
alien,0.776
test,0.776
sinner,0.776
car,0.7754
kerion,0.7754
wild,0.7754
purser,0.7754
robert,0.7754
system,0.7754
archil,0.7754
