noun,similarity
sponge,0.8613
pineapple,0.8286
patrick,0.8105
sponge_bag,0.8086
minion,0.806
someone,0.802
sponge_mop,0.802
sponge_cake,0.795
banana,0.7876
vegetable_sponge,0.786
fish,0.7837
somebody,0.781
cat,0.7803
starfish,0.7793
seafood,0.7764
mickey_mouse,0.7744
ananas,0.7734
pineapple_juice,0.773
sponge_mushroom,0.773
somewhere,0.773
sponge_morel,0.7725
aquatic,0.772
ocean,0.772
lemon,0.772
seashell,0.772
person,0.7715
kitty,0.7705
garfield,0.769
cheese,0.7686
squid,0.7686
donald_duck,0.7676
sea_bottom,0.767
boat,0.767
crab,0.767
sailboat,0.7666
sea,0.766
sea_creature,0.7656
object,0.7656
self,0.7646
loufah_sponge,0.764
vegetable,0.7637
mickey,0.7637
spongefly,0.7637
plankton,0.7637
trump,0.762
seawater,0.762
bee,0.7617
potato,0.7617
cive,0.7617
subject,0.761
apple,0.761
crabby_person,0.761
horse,0.7607
hamburger,0.7607
beach,0.7607
jew,0.7603
clown,0.7603
human,0.7603
shark,0.76
unknown,0.7593
secernment,0.759
right,0.7583
nickelodeon,0.7583
dad,0.7583
chicken,0.7583
old_person,0.758
teddy_bear,0.758
man,0.7573
macaroni,0.7573
doggy,0.7573
pee,0.7573
friend,0.757
lobster,0.757
sea_floor,0.7563
landscape,0.7563
poop,0.7563
sea_animal,0.7563
daddy,0.7563
seascape,0.7563
fart,0.7563
marge,0.7563
scuba,0.7563
animal,0.7563
yellow_turnip,0.756
tuna,0.756
neighbor,0.756
mom,0.7554
mushroom,0.7554
land,0.7544
jesus,0.7544
cactus,0.754
lemonade,0.754
personality,0.754
spider,0.754
scot,0.7534
sergeant,0.7534
hulk,0.7534
user,0.753
gas,0.753
child,0.753
grass,0.753
specific,0.753
fellow,0.753
peanut_butter,0.753
sponger,0.753
broccoli,0.753
humor,0.753
kid,0.7524
pickle,0.7524
baby,0.752
lego,0.752
simple,0.752
kitty-cat,0.752
nature,0.752
hitler,0.752
uut,0.752
best,0.752
content,0.7515
banana_bread,0.7515
air,0.7515
cheeseburger,0.7515
doggie,0.751
grandma,0.751
bread,0.751
spaghetti,0.7505
cow,0.7505
depicted_object,0.7505
corn,0.75
homeboy,0.75
rock,0.75
shore,0.75
grandpa,0.75
big_cheese,0.75
place,0.7495
communist,0.7495
small_person,0.7495
santa,0.7495
favorite,0.7495
cool,0.749
