noun,similarity
fagot_stitch,0.838
machine_stitch,0.8276
mickey,0.8257
single_stitch,0.817
flame_stitch,0.8076
slip_stitch,0.8057
plain_stitch,0.805
sirloin,0.8003
pinch,0.7974
pig,0.797
poncho,0.7964
beanie,0.7954
trip,0.794
pinny,0.7935
gizmo,0.7935
pixel,0.7925
disney,0.7925
moose,0.7925
bean,0.792
mickey_mouse,0.791
pirate,0.7905
faggot_stitch,0.79
piggy,0.79
bear,0.79
shark,0.79
peanut,0.7896
bleu,0.789
taco,0.789
shim,0.789
spick,0.788
finch,0.787
mouse,0.787
pooch,0.7866
critter,0.7866
kitty,0.7866
bug,0.7856
brisket,0.785
flick,0.785
blueberry,0.7847
tuna,0.784
jack,0.784
macho,0.784
rhino,0.7837
doggy,0.7837
someone,0.7837
hick,0.7837
shotgun,0.783
fatty,0.7827
batman,0.7827
kiddy,0.782
stiff,0.7817
dainty,0.7817
doggie,0.7817
max,0.7812
rat,0.7812
spud,0.781
pistol,0.7803
cowboy,0.7803
sheriff,0.7803
chinch,0.7803
techie,0.78
cat,0.7793
short,0.7793
bull,0.779
butcher,0.779
steer,0.779
sharpy,0.7783
britches,0.7783
pickle,0.7783
butch,0.7783
minion,0.778
walter,0.778
goody,0.778
pet,0.7773
bluing,0.7773
blue,0.777
sweetie,0.777
shiv,0.777
olive,0.777
diamond,0.777
bijou,0.7764
ginger,0.7764
striker,0.7764
mush,0.776
gin,0.776
diesel,0.776
slick,0.776
mitchell,0.776
banjo,0.776
skittle,0.7754
dog,0.7754
kid,0.7754
oliver,0.7754
panda,0.775
dean,0.775
sherlock,0.775
apple,0.775
duck,0.775
sergeant,0.775
bohemian,0.7744
owen,0.7744
muffin,0.7744
shake,0.7744
potato,0.7744
tank,0.7744
belle,0.774
tater,0.774
spook,0.774
parish,0.7734
bruce,0.7734
stitchery,0.7734
milton,0.7734
geordie,0.7734
mat,0.773
tractor,0.773
shlock,0.773
squirt,0.773
zip,0.773
aussie,0.773
mack,0.773
cow,0.773
tiger,0.7725
snoop,0.7725
biggin,0.7725
sheeny,0.7725
sam,0.7725
smith,0.7725
jak,0.7725
stout,0.7725
stewart,0.772
archil,0.772
simon,0.772
spot,0.772
subject,0.7715
kitty-cat,0.7715
skull,0.7715
buddy,0.7715
dozer,0.7715
sir,0.7715
tee,0.7715
scot,0.771
chintz,0.771
deli,0.771
chili,0.771
rip,0.771
goose,0.771
smithy,0.771
lazy_daisy_stitch,0.7705
hop,0.7705
pilgrim,0.7705
beany,0.7705
fletcher,0.7705
double_stitch,0.77
stinter,0.77
jean,0.77
saint,0.77
sweet,0.77
ezechiel,0.77
willis,0.77
jelly,0.77
gem,0.7695
flip,0.7695
bistro,0.7695
slip,0.7695
rodent,0.7695
namesake,0.7695
buck,0.7695
benjamin,0.7695
peg,0.7695
schlock,0.7695
lady,0.769
catch,0.769
monster,0.769
duchy,0.769
cheeseburger,0.769
weirdy,0.769
stanton,0.7686
technical,0.7686
sneak,0.7686
whisker,0.7686
paunch,0.7686
floppy,0.7686
ted,0.768
ditch,0.768
bennet,0.768
flash,0.768
tatter,0.768
shoe,0.768
sugar,0.7676
captain,0.7676
shem,0.7676
shawn,0.7676
molly,0.7676
canine,0.7676
pancake,0.7676
shmo,0.7676
peter,0.7676
java,0.767
guinness,0.767
angel,0.767
kine,0.767
stray,0.767
moo-cow,0.767
stunner,0.767
titbit,0.767
cam,0.767
shepherd,0.7666
martin,0.7666
pea,0.7666
cookie,0.7666
demon,0.7666
taylor,0.7666
trucker,0.7666
swill,0.7666
shockley,0.766
chop,0.766
negro,0.766
putter,0.7656
weirdie,0.7656
monkey,0.7656
dude,0.7656
steele,0.7656
baby,0.765
shawnee,0.765
trick,0.765
gypsy,0.765
dale,0.765
tooth,0.7646
fatso,0.7646
chit,0.7646
cleg,0.7646
hugo,0.764
gator,0.764
snacker,0.764
ratch,0.764
shimmy,0.764
shuck,0.764
lucifer,0.764
samuel,0.764
mac,0.764
dingo,0.7637
hulk,0.7637
squirrel,0.7637
gary,0.7637
scout,0.7637
richardson,0.7637
tag,0.7637
scotch,0.7637
