noun,similarity
hillary,0.8613
bey,0.8496
madonna,0.8477
trump,0.8467
shawn,0.8438
someone,0.84
tiffany,0.833
self,0.831
ariana,0.8306
kiley,0.829
lover,0.8257
rebekah,0.825
cay,0.823
jacob,0.8223
homegirl,0.822
ex-wife,0.822
rachel,0.8213
hilary_clinton,0.8213
andrew,0.821
tati,0.8203
taenia,0.8203
nick,0.8193
christian,0.8184
jacobi,0.8184
sian,0.8184
mat,0.818
tyler,0.817
sam,0.8164
erin,0.8164
haley,0.8164
kelt,0.816
erica,0.8154
meredith,0.8154
steffens,0.8154
friend,0.815
prince,0.8145
shona,0.8145
somebody,0.8135
shipper,0.8135
miss,0.813
angel,0.813
adam,0.813
brooke,0.812
benedict,0.812
liana,0.8115
tory,0.8115
tom,0.811
cam,0.811
tater,0.8105
paul,0.8105
person,0.8105
gean,0.8105
louis,0.8105
mayer,0.8105
sweet,0.8105
tzarina,0.8105
aaron,0.81
bryony,0.81
drake,0.81
girl,0.8096
kylie,0.809
rapper,0.809
missus,0.808
swill,0.808
sarah,0.808
yuppie,0.808
yana,0.8076
dylan,0.807
daddy,0.807
meeter,0.807
fiancee,0.807
brit,0.807
theresa,0.8066
girlfriend,0.8066
whore,0.806
ranee,0.806
rya,0.806
bob_dylan,0.806
bryan,0.806
demetrius,0.806
noah,0.806
moreen,0.806
xavier,0.8057
clinton,0.8057
lovely,0.8057
david,0.805
clews,0.805
mom,0.805
pope,0.805
famous_person,0.8047
abbe,0.8047
ex-boyfriend,0.8047
cyrilla,0.8047
mere,0.804
will_hays,0.804
jack,0.804
personality,0.804
pureblood,0.8037
mari,0.8037
hymie,0.8037
sial,0.8037
paton,0.8037
cody,0.8037
czarina,0.8037
rowel,0.8037
hubel,0.8037
gelly,0.803
sweetie,0.803
bay,0.803
melena,0.803
offerer,0.803
brady,0.803
paige,0.8027
derris,0.8027
marti,0.8027
ex-husband,0.8027
sister-in-law,0.8027
rebecca,0.8027
maria,0.8027
