noun,similarity
monet,0.776
einstein,0.7656
impressionist,0.7637
postimpressionist,0.7627
william_shakespeare,0.7603
hitler,0.758
gauguin,0.757
marx,0.7563
freud,0.7495
karl_marx,0.748
warhol,0.7476
abraham_lincoln,0.7476
claude_monet,0.746
heisenberg,0.7456
shakespeare,0.7456
lenin,0.745
pablo_picasso,0.744
tesla,0.743
leonardo_da_vinci,0.7427
shakespearian,0.742
renoir,0.741
nietzsche,0.741
mansart,0.741
president_lincoln,0.74
picasso,0.7393
rembrandt,0.7373
george_washington,0.737
jan_vermeer,0.7363
artist,0.7363
andy_warhol,0.7354
someone,0.735
jean,0.734
communist,0.7324
dostoevsky,0.7324
paul_gauguin,0.7314
reagan,0.7305
churchill,0.7305
jfk,0.7305
napoleon,0.73
artiste,0.73
bob_dylan,0.7295
stalin,0.7295
mom,0.7295
jesus,0.7285
post-impressionist,0.7285
mommy,0.728
mandela,0.7275
shakespearean,0.7275
lincoln,0.7275
photography,0.7275
walter,0.727
jung,0.727
darwin,0.727
van_dyck,0.7266
george_orwell,0.7266
gandhi,0.726
woolf,0.726
man,0.726
scot,0.726
herr,0.7256
hobbes,0.7256
ronald_reagan,0.7256
universe,0.725
attestant,0.725
adolf_hitler,0.725
thoreau,0.725
manet,0.7246
aquatic,0.7246
sherlock,0.724
dostoyevsky,0.7236
grandpa,0.7236
uut,0.7236
anther,0.723
personality,0.723
cezanne,0.723
eiffel,0.723
winston_churchill,0.7227
da_vinci,0.7227
maquis,0.7227
orwell,0.722
monsieur,0.7217
portrait,0.7217
dad,0.7217
jew,0.7217
scotch,0.721
whatnot,0.721
paul_cezanne,0.721
vaughan,0.721
putin,0.721
van,0.721
grandfather,0.7207
person,0.7207
earth,0.7207
charles_darwin,0.7207
fyodor_dostoevsky,0.7207
joseph_stalin,0.7207
tolkien,0.72
comrade,0.72
rus,0.7197
daddy,0.7197
space,0.7197
bacon,0.7197
anouilh,0.7197
human,0.719
mon,0.719
vermeer,0.719
fine_art,0.7188
bourgeois,0.7188
nature,0.7188
pontifex,0.7188
george_bush,0.7183
sergeant,0.7183
nihilist,0.7183
martin_v,0.7183
doggy,0.7183
villus,0.7183
brahms,0.7183
landscape,0.718
sartre,0.718
trump,0.718
brueghel,0.7173
momma,0.7173
surrealist,0.7173
cive,0.7173
somebody,0.717
walt_whitman,0.717
grandma,0.717
mama,0.7163
peanut,0.7163
benjamin_franklin,0.7163
scenery,0.716
nazi,0.716
subject,0.716
amateur,0.716
parisian,0.7153
grandmother,0.7153
rubens,0.7153
president_abraham_lincoln,0.7153
expressionist,0.7153
verlaine,0.7153
horse,0.7153
edouard_manet,0.7153
frenchman,0.7153
plato,0.715
german,0.715
