noun,similarity
renoir,0.779
jean_auguste_dominique_ingres,0.7456
pierre_auguste_renoir,0.7334
mandioc,0.7334
henri_clemens_van_de_velde,0.7295
rene_antoine_ferchault_de_reaumur,0.7285
jacques_alexandre_cesar_charles,0.727
jacques_francois_antoine_ibert,0.7236
wilhelm_eduard_weber,0.7188
august_wilhelm_von_hoffmann,0.7163
jean_baptiste_donatien_de_vimeur,0.7153
helmut_heinrich_waldemar_schmidt,0.714
ernst_theodor_wilhelm_hoffmann,0.7124
henri_labrouste,0.7124
ernst_heinrich_weber,0.7124
etienne-louis_arthur_fallot,0.711
teodor_josef_konrad_korzeniowski,0.7085
henri_van_de_velde,0.708
albrecht_eusebius_wenzel_von_wallenstein,0.706
vicomte_ferdinand_marie_de_lesseps,0.705
labrouste,0.705
monet,0.701
delacroix,0.699
volaille,0.6987
granville-barker,0.6987
claude_monet,0.698
edmond_louis_antoine_huot_de_goncourt,0.6978
ernest_walton,0.6978
rudolf_ludwig_mossbauer,0.6973
charles_proteus_steinmetz,0.6973
charles_francis_hall,0.695
jacques_loeb,0.694
marie_jean_antoine_nicolas_caritat,0.694
macrodantin,0.6934
emmenthaler,0.6934
effendi,0.6934
bernd_heinrich_wilhelm_von_kleist,0.6934
ernst_theodor_amadeus_hoffmann,0.693
nikolai_andreyevich_rimski-korsakov,0.6924
alexandre_emile_jean_yersin,0.692
wilhelm_konrad_rontgen,0.692
fyodor_dostoevski,0.692
jean_de_la_fontaine,0.692
hermann_joseph_muller,0.692
kaspar_friedrich_wolff,0.6914
martin,0.6904
edward_estlin_cummings,0.6904
bernard_arthur_owen_williams,0.69
giraudoux,0.69
fyodor_mikhailovich_dostoevski,0.69
charles,0.6895
thomas_augustus_watson,0.689
mann,0.689
joliot,0.6885
mikhail_ilarionovich_kutuzov,0.688
velazquez,0.688
diego_rodriguez_de_silva_y_velazquez,0.6875
delibes,0.6875
charles_munroe_schulz,0.6875
henry_norris_russell,0.687
giacomo_della_chiesa,0.6865
tchaikovsky,0.6865
essayer,0.6865
mandelshtam,0.6865
baron_de_la_brede_et_de_montesquieu,0.6865
gregory_john_norman,0.686
feodor_mikhailovich_dostoevski,0.6855
emil_hermann_fischer,0.6855
e._t._a._hoffmann,0.6855
erik_axel_karlfeldt,0.685
emile_herzog,0.6846
sargent,0.6846
william_augustus,0.684
ferdinand_joseph_la_menthe_morton,0.684
frenchman,0.684
william_gilbert,0.6836
karl_waldemar_ziegler,0.6836
james_edward_meade,0.6836
peignoir,0.6836
warner,0.683
feodor_dostoevski,0.683
e._e._cummings,0.683
menninger,0.6826
thermel,0.6826
bernard_law_montgomery,0.682
thomas_lanier_williams,0.682
marquis,0.682
colbert,0.6816
cazique,0.6816
ernst_werner_von_siemens,0.6816
charles_hardin_holley,0.6816
dmitri_ivanovich_mendeleyev,0.681
hoffmann,0.681
vanderbilt,0.681
antonio_lopez_de_santa_ana,0.6807
charles_kay_ogden,0.6807
muir,0.6807
giambattista_lulli,0.6807
william_thornton,0.68
charles_dudley_warner,0.68
william_edward_burghardt_du_bois,0.68
turner,0.6797
ernest_orlando_lawrence,0.679
montaigne,0.679
disarmer,0.679
feodor_mikhailovich_dostoyevsky,0.679
james_howard_meredith,0.6787
mikhail_ivanovich_glinka,0.678
albert_francis_charles_augustus_emmanuel,0.678
touter,0.678
william_mitchell,0.6777
rousseau,0.6777
van_gogh,0.6777
conrad,0.6772
lemaitre,0.6772
leontief,0.677
patchouly,0.677
churchill,0.677
edwards,0.677
antonio_lopez_de_santa_anna,0.677
bizet,0.677
charles_robert_darwin,0.6763
willem_de_sitter,0.6763
arouser,0.6763
boeuf,0.6763
bartolomeo_alberto_capillari,0.6763
edward_osborne_wilson,0.6763
dreyfus,0.676
odovakar,0.676
schmidt,0.676
hermann_maurice_saxe,0.676
bortsch,0.676
j._e._johnston,0.6753
friedrich_wilhelm_bessel,0.6753
vincent_van_gogh,0.6753
marcel,0.6753
meade,0.6753
whitman,0.6753
francis_joseph,0.675
leibnitz,0.675
salomon,0.675
rossetti,0.6743
first_baron_rutherford,0.6743
eusebius,0.6743
james_augustus_murray,0.674
wilhelm_karl_grimm,0.674
marx,0.674
karl_friedrich_hieronymus_von_munchhausen,0.674
mergenthaler,0.6733
palliasse,0.6733
jules_alfred_huot_de_goncourt,0.6733
karl_marx,0.6733
jones,0.673
christiaan_eijkman,0.673
constable,0.673
baron_karl_maria_friedrich_ernst_von_weber,0.673
dejeuner,0.6724
cecil_j._rhodes,0.6724
dvorak,0.6724
pyotr_tchaikovsky,0.6724
jean-baptiste_poquelin,0.6724
arthur_meier_schlesinger,0.6724
francisco_jimenez_de_cisneros,0.672
tourniquet,0.672
nammad,0.6714
marceau,0.6714
montespan,0.6714
mansart,0.6714
h._h._munro,0.671
isaac_mayer_wise,0.671
humphrey_gilbert,0.671
friedrich_august_wolf,0.671
eglevsky,0.6704
huitre,0.6704
second_earl_of_chatham,0.6704
dominique,0.6704
schleiden,0.6704
smith,0.67
theoriser,0.67
curtis,0.67
modiste,0.67
debaucher,0.67
nikolai_ivanovich_lobachevsky,0.67
sumpter,0.67
first_earl_of_chatham,0.6694
friedrich_august_kekule,0.6694
herbert_alexander_simon,0.669
tatouay,0.669
henry_oscar_houghton,0.6685
charles_thomson_rees_wilson,0.6685
osmund,0.6685
soufflot,0.6685
fyodor_mikhailovich_dostoyevsky,0.6685
clemens,0.6685
murray,0.6685
august_friedrich_leopold_weismann,0.6685
brahms,0.668
daumier,0.668
jacques_francois_fromental_elie_halevy,0.668
giambattista_marini,0.668
chaplin,0.6675
kaufman,0.6675
voznesenski,0.6675
chef-d'oeuvre,0.6675
jacques_anatole_francois_thibault,0.6675
williams,0.6675
eastman,0.6675
self-portrait,0.667
dickens,0.667
wilde,0.667
morceau,0.667
isaac_stern,0.667
cuquenan,0.667
e._h._weber,0.667
mendeleyev,0.667
jacques_costeau,0.667
john_hope_franklin,0.6665
lev_davidovich_bronstein,0.6665
dag_hammarskjold,0.6665
nernst,0.6665
herbert_a._simon,0.6665
quidnunc,0.6665
wilhelm_von_opel,0.666
caoutchouc,0.666
count_lev_nikolayevitch_tolstoy,0.666
enea_silvio_piccolomini,0.666
michelangelo,0.666
korzybski,0.666
douroucouli,0.6655
wilhelm_konrad_roentgen,0.6655
okenfuss,0.6655
ismailian,0.6655
francis_everett_townsend,0.6655
eckhart,0.6655
coaxer,0.6655
erasmus,0.6655
weisenheimer,0.6655
stephen_arnold_douglas,0.6655
barker,0.6655
cousteau,0.6655
giambattista_marino,0.6655
bronislaw_kasper_malinowski,0.6655
gnathion,0.665
gustav_theodor_fechner,0.665
tusser,0.665
e._t._s._walton,0.665
neurasthenic,0.665
charles_william_post,0.665
gottfried_wilhelm_leibnitz,0.665
ernst,0.665
frederick_james_furnivall,0.6646
charles_louis_de_secondat,0.6646
catapres,0.6646
milcher,0.6646
kastler,0.6646
cortef,0.6646
proust,0.664
abkhasian,0.664
arthur_seymour_sullivan,0.664
pierre_de_terrail,0.664
rubinstein,0.664
abraham_lincoln,0.664
sir_william_chambers,0.6636
thackeray,0.6636
epauliere,0.6636
friedrich_august_kekule_von_stradonitz,0.6636
piolet,0.6636
ward,0.6636
soixante-neuf,0.663
copaline,0.663
johann_christoph_friedrich_von_schiller,0.663
cecil_john_rhodes,0.663
kanarese,0.663
hermann_snellen,0.663
miles_dewey_davis_jr.,0.6626
macleod,0.6626
schubert,0.6626
william_patterson,0.6626
malinowski,0.6626
wilhelm_ostwald,0.6626
tzetze,0.6626
mikhail_ivanovich_kalinin,0.662
bouchee,0.662
waller,0.662
welles,0.662
bernard,0.662
boehm,0.662
edward_douglas_white_jr.,0.662
herbert_marx,0.6616
schulz,0.6616
frederick_carleton_lewis,0.6616
hans_conrad_julius_reiter,0.6616
andrews,0.6616
mahler,0.6616
lagune,0.6616
francois_auguste_rene_rodin,0.6616
theodore_harold_white,0.6616
william_h._bonney,0.6616
chamaeleon,0.6616
christoph_willibald_von_gluck,0.661
walter_john_de_la_mare,0.661
pasteur,0.661
rutherford,0.661
merchant,0.661
edgar_guest,0.661
tatou,0.661
henry_wheeler_shaw,0.661
feodor_dostoyevsky,0.661
commodore,0.661
wilhelm_apollinaris_de_kostrowitzki,0.661
todd,0.6606
joseph_louis_gay-lussac,0.6606
wayne,0.6606
bloch,0.6606
muazzin,0.6606
domingo_de_guzman,0.6606
hunter,0.6606
henry_watson_fowler,0.6606
sanfoin,0.6606
prince-of-wales'-heath,0.6606
gounod,0.6606
schiller,0.66
eugene_delacroix,0.66
joseph_louis_barrow,0.66
david,0.66
chevalier,0.66
arthur_meier_schlesinger_jr.,0.66
isidore_auguste_marie_francois_comte,0.66
charles_frederick_worth,0.66
schlesien,0.66
brecht,0.66
second_earl_of_guilford,0.66
rembrandt,0.6597
george_huntington,0.6597
koussevitzky,0.6597
cunningham,0.6597
baudelaire,0.6597
theodor_schwann,0.6597
lesseps,0.6597
wilder,0.6597
sir_william_turner_walton,0.6597
abettor,0.6597
pyotr_ilych_tchaikovsky,0.659
rudolf_christian_karl_diesel,0.659
sartor,0.659
jagghery,0.659
rodhos,0.659
george,0.659
schoolman,0.659
horne,0.659
monsieur,0.659
bastard_indigo,0.659
larousse,0.659
reiter,0.6587
pasternak,0.6587
william_sydney_porter,0.6587
morton,0.6587
vincenzo_bellini,0.6587
matthias_schleiden,0.6587
zinnemann,0.6587
schlesinger,0.6587
george_gordon_meade,0.6587
georges_henri_lemaitre,0.6587
august_von_wassermann,0.658
william_felton_russell,0.658
senefelder,0.658
hermann,0.658
william_dudley_haywood,0.658
haji,0.6577
lev_davidovich_landau,0.6577
audubon,0.6577
courbaril,0.6577
verdi,0.6577
karl_wilhelm_scheele,0.6577
franc-tireur,0.6577
napoleon,0.6577
w._k._kellogg,0.6577
o'toole,0.6577
charles_frederick_menninger,0.6577
james_earl_carter_jr.,0.657
danseuse,0.657
trollope,0.657
mercedario,0.657
neumann,0.657
austen,0.657
george_charles_hevesy_de_hevesy,0.657
wallace,0.657
william_frederick_cody,0.6567
adams,0.6567
hesse,0.6567
wassermann,0.6567
alfred_joseph_hitchcock,0.6567
ledbetter,0.6567
eugene_luther_vidal,0.6567
timimoun,0.6567
haemitin,0.6567
gustav_robert_kirchhoff,0.6567
philipp_schwarzerd,0.6567
harding,0.6567
jonathan,0.6567
danseur,0.6567
douglass,0.6567
emile_zola,0.6567
thoreau,0.6567
oscar_palmer_robertson,0.6562
hevesy,0.6562
castro,0.6562
wilkes,0.6562
colette,0.6562
charles_joseph_clark,0.6562
howard,0.6562
pantomimer,0.6562
erik_weisz,0.6562
wharton,0.6562
ingerman,0.656
allemande,0.656
nutter,0.656
smitane,0.656
davenport,0.656
henriette_rosine_bernard,0.656
soubrette,0.656
narrator,0.656
ravigotte,0.656
william_beaumont,0.656
goodman,0.656
kolkhoznik,0.656
william_henry_pratt,0.656
cervantes,0.656
waldmeister,0.656
langlaufer,0.6553
rene-robert_cavelier,0.6553
ferdinand_de_lesseps,0.6553
guy_de_maupassant,0.6553
durante,0.6553
patten,0.655
fannie_merritt_farmer,0.655
dumas,0.655
weinberg,0.655
taras_grigoryevich_shevchenko,0.655
tolstoy,0.655
golding,0.655
caruso,0.655
charles_darwin,0.655
thornton_niven_wilder,0.655
l._m._montgomery,0.655
thomas_kennerly_wolfe_jr.,0.655
